6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
2	2.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9999331859138993	3.578796920210674e-23	1.0122705464178932e-22	5.2674861407376805e-24	1.000200000000001	6.952750833528716e-22	4.996170899820287e-25	4.705003324201621e-24	0.999933880058929	1.7716624438435247e-06	-494.1626033374343	2741.2009144919657	-494.2944616908195	14158906.776136514	727.4803459865117	2741.202817410091	727.2867876713428	8.009213994682796e-06	1599.565890624997	1.7714253087443666e-06	-494.2283009124429	2740.8359103816797	-494.2283009124376	14160789.16430932	727.3834784730676	2740.835910381673	727.3834784730408	8.00814752924688e-06	-6.681631826113055e-05	0.0	0.0	0.0	0.00019998000266735472	0.0	0.0	0.0	-6.612212709063832e-05	14160790.041959919	0.00017763326904614854
4	4.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998663539893824	-2.6282836783259902e-23	4.20737146768972e-23	1.271211165371493e-23	1.0003999999999935	-5.390504441436567e-22	-1.674213559807328e-24	2.1519930816179567e-23	0.9998677425139987	-4.469823252748028e-06	-988.361400609825	5482.5942598316215	-988.8889062273013	28326310.375507675	1455.4063112580732	5482.601873566144	1454.631970090161	-5.538075173717516e-06	1599.565890624997	-4.468627047711676e-06	-988.624261783264	5481.13463076912	-988.6242617832415	28333843.942864627	1455.018838968682	5481.134630769006	1455.018838968634	-5.536600773991602e-06	-0.00013365494204145713	0.0	0.0	0.0	0.0003999200213200107	0.0	0.0	0.0	-0.00013226623279384865	28333845.69716532	0.0003552546439159467
6	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997995042228787	3.4397478592405105e-23	8.499049183410844e-22	1.9164120431628545e-23	1.000599999999987	9.048297110146055e-22	9.793818452627847e-25	-6.487742980375907e-23	0.999801587361715	9.449941626371583e-07	-1482.5963387111897	8224.179771044071	-1483.7833888181522	42502212.496072784	2183.7779609294203	8224.196906587753	2182.0354505124265	-5.5252647143788636e-08	1599.565890624997	9.446149296807876e-07	-1483.1879358578872	8220.89647713873	-1483.1879358580213	42519172.06017293	2182.9061433051284	8220.896477138527	2182.90614330507	-5.5230588934511374e-08	-0.00020051587908660723	0.0	0.0	0.0	0.0005998200719544568	0.0	0.0	0.0	-0.00019843232467659503	42519174.690094195	0.0005328641403783065
8	8.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997326360653671	8.05707003851151e-23	-1.3850312176587895e-22	2.9460864696688633e-23	1.0008000000000035	1.6781840267475825e-22	8.827671497165912e-24	-3.2001963538451537e-23	0.9997354120515544	0.00020614472959550766	-1978.9314649811977	10962.605289876798	-1981.0442699438267	56685956.78840969	2917.7480346772836	10962.635730056241	2914.644318256103	0.00020621723422846117	1599.565890624997	0.00020603445987404129	-1979.9845814411283	10956.771661686222	-1979.9845814410714	56716123.02468274	2916.1953875885656	10956.771661686198	2916.195387588576	0.00020610749802623844	-0.0002673996827416414	0.0	0.0	0.0	0.000799680170567794	0.0	0.0	0.0	-0.00026462295801218987	56716126.528119944	0.0007104628026926065
10	10.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996654122655956	5.307190810140225e-23	1.388842865921434e-21	2.440513679276453e-23	1.0010000000000028	3.1558330032327096e-21	-2.991085094991748e-24	-5.463362509790237e-23	0.9996675900825317	-8.57519655109433	-3185.423830066382	9952.84360880766	-3189.676475924191	70458848.17903116	7226.145137509202	9952.865284193003	7216.526577580612	-13.507706712368751	1599.565890624997	-8.569478500814336	-3187.549563620386	9946.228594190732	-3187.5495590240857	70505867.5854715	7221.342383885468	9946.228586854822	7221.3423928402735	-13.498729009025315	-0.00033464372136914647	0.0	0.0	0.0	0.0009995003330863068	0.0	0.0	0.0	-0.00033246517789110945	70505882.04983652	0.0008887040785478156
12	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995954195243824	1.181610961419749e-22	-5.759426994635217e-21	3.218725199566341e-23	1.0012000000000076	3.679722881109494e-21	-2.969909271310391e-23	3.7523559563365505e-22	0.9995809391357494	471.0174577236485	-3130.1122259123986	-49387.67264102851	-3135.1340431575795	79631539.03879155	50585.74300067527	-49386.95733238638	50503.94006087997	1978.270419771404	1599.565890624997	470.650145283215	-3132.691909345378	-49348.44388376537	-3132.6891789225174	79697167.40837538	50545.562612998925	-49348.44401716658	50545.56290634752	1976.699074414393	-0.00040466234037960376	0.0	0.0	0.0	0.0011992805754899491	0.0	0.0	0.0	-0.0004191486947927568	79696037.85086443	0.001074156623665502
14	14.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995248781800488	-1.190081290892292e-22	2.0604023502401653e-20	1.283254915090265e-22	1.001400000000011	1.2051373015297372e-20	1.2086101366134798e-22	-3.94717353420504e-22	0.9994728876311016	-2043.4478208404769	3648.721871751451	-156221.67251512432	3655.57547876258	84122974.8331364	137298.03945556152	-156213.55189203002	137033.8209472241	-575.8284744289866	1599.565890624997	-2041.6671814741542	3652.3814986482435	-156077.42372962233	3652.390047973664	84207349.22837901	137171.26398885186	-156077.4290132292	137171.26432453145	-575.2967776627406	-0.00047523472608733327	0.0	0.0	0.0	0.0013990209137187172	0.0	0.0	0.0	-0.0005272513414608814	84209427.04572321	0.0012671985490920429
16	16.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994557659577044	-1.190081290892292e-21	-1.2927205082758318e-20	-2.515687853345272e-22	1.0016000000000203	-3.349676493211856e-20	-5.158960044370723e-23	-3.300040362502754e-21	0.999355428050949	-539.4407833484903	14371.51107226859	-251569.4899721416	14402.344603249312	86893051.88060357	236286.56967205406	-251544.23932108885	235757.05095315326	679.6686722139896	1599.565890624997	-538.9264337192849	14388.611292083751	-251304.39018140794	14388.612158771559	86996443.25539337	236037.57477136012	-251304.39522657968	236037.57103026976	678.9524485463576	-0.0005443821913963349	0.0	0.0	0.0	0.0015987213637170255	0.0	0.0	0.0	-0.000644779774860551	86998426.32161936	0.0014633500288724014
18	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993875413433639	7.767292126321934e-22	1.0718354914555916e-20	2.117582368135751e-23	1.001799999999988	-1.5039069978500103e-21	2.6469779601696886e-25	-2.952756854128491e-21	0.9992338704925356	-327.1270726777994	30920.573127134536	-329328.9226431401	30995.21433237603	88968460.23080507	326282.8211003441	-329278.28876962065	325447.0419184799	778.3352545060199	1599.565890624997	-326.78966513951934	30963.24416040077	-328938.65701889386	30963.245046310087	89091238.55417395	325896.1652067908	-328938.6624100125	325896.1655972359	777.4129015844036	-0.0006126462860531907	0.0	0.0	0.0	0.0017983819413672068	0.0	0.0	0.0	-0.00076642313465645	89094639.25806463	0.0016609856184126213
20	20.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993196436903369	1.0969076666943189e-21	6.961229103935141e-20	6.3019251275719945e-22	1.0020000000000044	-9.788312738470694e-21	4.4998625322884704e-23	-1.2925722775100623e-21	0.999110253005372	50.64825013196033	49893.51689652361	-394274.65792698757	50027.34339597186	90661198.15854947	400768.3442421563	-394192.04987527546	399612.53821212874	868.2562512358749	1599.565890624997	50.59217005157453	49971.94776656594	-393755.5766529029	49971.95081218421	90803714.40300268	400240.7137222649	-393755.5822423989	400240.7151978643	867.1131507295092	-0.0006805878570462761	0.0	0.0	0.0	0.001998002662677933	0.0	0.0	0.0	-0.0008901430544306252	90808504.11104412	0.0018595188288228228
22	22.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9992516986011115	-5.10930273783794e-21	6.972669342678993e-22	1.4450382080158363e-21	1.002199999999994	-4.033570894824978e-21	-5.899584477626202e-22	-2.668153783851046e-22	0.998985471072621	320.28574409171193	68299.27937532295	-447184.2761516968	68500.79894789407	92082419.65648219	458831.34465135337	-447065.13663299085	457359.6546800289	686.47351893602	1599.565890624997	319.9072173608872	68419.84000167264	-446536.7744578787	68419.84191511024	92244961.8427412	458166.97855289554	-446536.77685502043	458166.9774942609	685.4795377296648	-0.0007485815161304073	0.0	0.0	0.0	0.0021975835434812196	0.0	0.0	0.0	-0.0010150439101906468	92251190.90774958	0.002058687063910765
24	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991834357720674	-9.110686380667255e-21	4.783459750941051e-20	4.418123852878431e-21	1.002399999999991	5.29306653574476e-20	-2.3085882977415954e-21	-1.5712461171567271e-21	0.9988600641884933	586.472804624958	84969.58639406462	-488555.0207773723	85243.11983589691	93288790.90521994	502096.3036564808	-488396.902580708	500323.16632569715	411.93024187366905	1599.565890624997	585.7363417212581	85136.07588260455	-487783.60270775954	85136.0758347775	93471581.05100559	501303.5041869143	-487783.5984373682	501303.5000145058	411.27981271321204	-0.0008168977981018134	0.0	0.0	0.0	0.002397124599712591	0.0	0.0	0.0	-0.0011405860325212473	93479049.68681812	0.0022583233979695133
