6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	2.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9999331859138993	3.760363064666064e-24	1.0782795592996247e-22	-2.4418371682565377e-24	1.000200000000001	4.734649477355522e-22	-2.0183206946293875e-24	2.5556572205438344e-23	0.9999338800589287	-9.69649644889614e-06	-494.1626033522683	2741.2009144829563	-494.29446170563557	14158906.776138123	727.4803459827067	2741.2028174010616	727.2867876675289	-3.4493660755288148e-06	1599.565890624997	-9.695198583347365e-06	-494.2283009272791	2740.8359103726716	-494.2283009272519	14160789.164310936	727.3834784692632	2740.835910372646	727.3834784692266	-3.4489067758150183e-06	-6.681631826113055e-05	0.0	0.0	0.0	0.0001999800026669107	0.0	0.0	0.0	-6.612212709119347e-05	14160790.041972999	0.00017763326904603684
4	4.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998663539893825	-3.238412098145103e-23	-1.3592893569961393e-22	-1.0647468844782572e-23	1.0003999999999935	3.259091613458929e-23	-3.745473813640109e-24	1.0654086289682997e-23	0.9998677425139986	2.172502275698207e-06	-988.3614005930773	5482.594259828146	-988.8889062105633	28326310.37551085	1455.4063112584158	5482.60187356281	1454.6319700905121	1.14632487657218e-06	1599.565890624997	2.171920875043336e-06	-988.624261766512	5481.134630765646	-988.6242617665082	28333843.942867804	1455.0188389690245	5481.134630765675	1455.0188389689852	1.146019690919979e-06	-0.0001336549420413461	0.0	0.0	0.0	0.00039992002132067657	0.0	0.0	0.0	-0.00013226623279395967	28333845.69716184	0.0003552546439163903
6	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997995042228782	5.975883617328093e-23	2.567568621364598e-24	-1.3354003809056077e-23	1.000599999999987	1.0871006133518902e-21	-4.07634605866132e-24	1.4081922748102744e-23	0.9998015873617152	-4.569215739138599e-06	-1482.5963387102813	8224.17977104497	-1483.783388817138	42502212.49607872	2183.777960926743	8224.1969065886	2182.035450509725	-5.508725429535843e-06	1599.565890624997	-4.5673820799550885e-06	-1483.1879358569788	8220.896477139631	-1483.1879358570072	42519172.060178876	2182.906143302453	8220.896477139373	2182.906143302368	-5.506526211482191e-06	-0.0002005158790870514	0.0	0.0	0.0	0.0005998200719546787	0.0	0.0	0.0	-0.00019843232467659503	42519174.69010562	0.000532864140378603
8	8.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997326366108241	7.652082410605548e-23	2.302341429755595e-22	1.4201036756310379e-23	1.0008000000000166	6.58872518955638e-22	1.2215803286183113e-23	4.986906476959693e-23	0.9997354145986067	-1.1599637918152438e-05	-1976.867365449621	10965.957183064416	-1978.9779655979576	56686614.83612889	2912.5953601426895	10965.987654506529	2909.49713222445	-1.251592680819158e-05	1599.565890624997	-1.1593433078794034e-05	-1977.9193773513405	10960.121765221229	-1977.919377351298	56716781.24714769	2911.045453403968	10960.121765221316	2911.0454534040164	-1.2509266590446394e-05	-0.0002673991371387541	0.0	0.0	0.0	0.0007996801705808841	0.0	0.0	0.0	-0.0002646204102861928	56716784.75169437	0.0007104617742035951
10	10.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996657508829858	-8.11133308669499e-23	3.0151725944292922e-22	3.4463653041409346e-23	1.0010000000000054	-1.79263935374532e-21	6.061579528788587e-24	-2.2411962388756754e-22	0.9996692233101802	7.325028502691566e-05	-2471.845640047396	13706.643992532358	-2475.144800651534	70879267.97007848	3643.9106216151	13706.6916037695	3639.0662346869826	6.762564491509693e-05	1599.565890624997	7.32013212097208e-05	-2473.4903014572383	13697.52942860758	-2473.490301457215	70926428.0333525	3641.487515250407	13697.529428607366	3641.4875152504137	6.758067560941723e-05	-0.00033430499070113105	0.0	0.0	0.0	0.0009995003330889687	0.0	0.0	0.0	-0.0003308314084956613	70926432.41107675	0.0008880479529359443
12	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995988370783221	1.4038909356249986e-22	-1.9047388703585063e-21	1.0177630256852453e-22	1.0011999999999954	1.371716918519136e-21	-1.2149628837178871e-23	6.183340514956392e-23	0.999602976589012	0.001020656828080064	-2978.091370662372	16354.910471887897	-2982.861693817732	85070158.36376552	4468.037467751987	16354.978200385429	4460.910459725715	0.001079732403235539	1599.565890624997	0.0010198384075938316	-2980.4698662719234	16341.86385201391	-2980.46986627045	85138100.87223433	4464.473230177914	16341.863852014549	4464.473230179162	0.0010788710803774988	-0.0004012434090491948	0.0	0.0	0.0	0.0011992805754773078	0.0	0.0	0.0	-0.0003971022456495041	85138106.08397262	0.0010656382840415612
14	14.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995317622111064	1.2983426894632323e-22	-5.291838337971242e-22	1.3359297764976417e-22	1.0013999999999923	2.1446344828886852e-21	-1.6173035336636797e-23	-2.0514079191315086e-22	0.9995361760255763	-0.0016304047986359365	-3625.4894416777643	17662.104404481877	-3632.2658910678165	99124021.41350652	6605.664103520092	17662.1823982508	6593.369520776357	0.003209690280873474	1599.565890624997	-0.001628880937073794	-3628.870985449431	17645.674399207535	-3628.8709854716444	99216475.74901779	6599.519247076268	17645.674399204836	6599.519247039788	0.003206704496901412	-0.00046834744643894726	0.0	0.0	0.0	0.0013990209136998698	0.0	0.0	0.0	-0.0004639315740358919	99216481.3132145	0.0012434428963287983
16	16.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994636850833031	-5.193370757852929e-22	4.456716791537705e-22	1.3287829360051835e-22	1.001600000000003	-1.236721042550482e-21	-2.999026028872257e-23	1.07149667827669e-22	0.9994654645706739	-4.318037614203526	-4997.315576994093	8298.568388675894	-5007.997150469473	112139255.22550969	17998.818799053675	8298.583157997093	17960.461059457833	-5.086174160920349	1599.565890624997	-4.313445479970162	-5002.671255076217	8289.75781042196	-5002.671260051194	112259436.09904142	17979.709478737193	8289.757804627567	17979.709483168313	-5.080774177048544	-0.0005364587849832969	0.0	0.0	0.0	0.0015987213637001772	0.0	0.0	0.0	-0.0005346783443197562	112259446.36828946	0.001422860323548659
18	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993931978994111	2.9603801506537795e-22	2.2227732722728944e-21	2.0964065444543934e-23	1.0018000000000118	3.8402356246141845e-21	-8.576208590949791e-23	-3.7618850769931613e-22	0.9993832223914791	47.70918694321105	-6314.806684223205	-35700.61749147467	-6330.0144042303955	122170477.61574759	55110.411076464035	-35700.26115651844	54977.46079685112	127.86662379507065	1599.565890624997	47.65285592125265	-6322.540450141716	-35658.10925775901	-6322.540452078872	122320100.22864458	55044.79186876365	-35658.10927081303	55044.79188612408	127.7143747666046	-0.0006069862794941162	0.0	0.0	0.0	0.0017983819413909228	0.0	0.0	0.0	-0.000616967894076869	122320065.78331324	0.001606916352546608
