6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
2	4.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998663539893813	2.1847494338750566e-23	1.549342374536323e-22	4.493245087388047e-24	1.0003999999999935	-1.0976355856333656e-22	2.7330047438752033e-24	-1.1792286812555963e-23	0.9998677425139979	-8.212383258523915e-06	-988.3614003719418	5482.59425986328	-988.8889059892707	28326310.3755059	1455.4063112364104	5482.601873597771	1454.6319700684196	2.514766762033105e-06	1599.565890624997	-8.210185477166494e-06	-988.6242615453197	5481.134630800778	-988.6242615452757	28333843.942862906	1455.0188389470268	5481.134630800631	1455.0188389468897	2.5140972565987595e-06	-0.00013365494204256752	0.0	0.0	0.0	0.0003999200213200107	0.0	0.0	0.0	-0.00013226623279484798	28333845.697161447	0.0003552546439166501
4	8.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999732636316341	5.427959179572968e-23	-8.291526111333541e-22	2.1546400595781263e-23	1.000799999999975	3.223754457690664e-22	-3.520480687025686e-24	-7.414185266435298e-23	0.9997354136619563	9.895793665236851e-06	-1978.276469115617	10965.365599122513	-1980.3885742751295	56686352.86886402	2915.254871975321	10965.396061876869	2912.153812314262	-3.76958807464689e-07	1599.565890624997	9.890500249783575e-06	-1979.329233324951	10959.530499313163	-1979.3292333249262	56716519.21031816	2913.7035508639633	10959.530499312817	2913.703550863723	-3.7675821294343056e-07	-0.00026739943170061377	0.0	0.0	0.0	0.0007996801705396169	0.0	0.0	0.0	-0.0002646213471840625	56716522.71507848	0.0007104621838242855
6	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995982940653536	-2.4529544756892502e-22	7.884553249957451e-22	4.1875191329884475e-23	1.0011999999999817	1.770881194912725e-21	1.61465655570351e-24	1.9158826475708207e-22	0.9996008563362265	-6.1638958725203965	-3478.890297076385	10804.88693556384	-3484.4646990198726	84501102.68324073	9539.32435520058	10804.914626363698	9524.087891560299	-8.111345375575313	1599.565890624997	-6.15896637524917	-3481.6780392893656	10796.273538782676	-3481.678042726394	84568816.02596714	9531.71983456232	10796.273533414034	9531.71983726372	-8.104879205538962	-0.0004017866400893159	0.0	0.0	0.0	0.0011992805754633357	0.0	0.0	0.0	-0.00039922334280859665	84568827.05179447	0.0010665247380514996
8	16.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994571426628004	2.5622746654442585e-23	-8.698498972709631e-22	2.543216424131037e-22	1.0015999999999927	8.665147050411492e-22	-4.036641389258775e-23	-2.3589867581032267e-22	0.9994270072879616	1812.412931023309	-2212.6422950218016	-100541.54773493455	-2217.3714329682007	102486911.08119908	101509.03184367409	-100538.5202390877	101288.80614243311	4900.77868498955	1599.565890624997	1810.5551375975908	-2215.11334033337	-100435.46036033289	-2215.09854139916	102601366.9070206	101401.92361897236	-100435.4643632801	101401.92394285472	4895.607581541202	-0.0005430047375912216	0.0	0.0	0.0	0.0015987213636899794	0.0	0.0	0.0	-0.0005731569350975766	102598311.73915833	0.001437973511784164
10	20.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993147506755067	6.903318520122547e-22	4.45056521475827e-20	5.166900978251232e-22	1.0019999999999833	1.338989683019598e-20	-1.7470054537119945e-23	-1.8761779781682753e-22	0.9992041879747784	-5928.379330141051	17765.138367334435	-287515.7313729737	17812.90266446898	109722920.49905637	282520.0779575092	-287483.9453151174	281731.78943775507	-2854.3970336307584	1599.565890624997	-5921.2584463418625	17791.47893692115	-287138.6092156242	17791.50666348182	109885607.90192945	282149.50838628924	-287138.6334423914	282149.5163167148	-2850.6530424337748	-0.0006854842151235729	0.0	0.0	0.0	0.0019980026626568808	0.0	0.0	0.0	-0.0007961288517116147	109892210.26773573	0.0018269899335861322
12	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991751608825734	1.8550021544869177e-22	-2.3593467471058096e-20	7.572474548453445e-22	1.002399999999996	4.816441096324765e-20	3.8878812278972387e-22	2.3479753297889204e-21	0.9989634705846409	-1102.766852062465	53154.33983981751	-440698.1349462413	53325.895407187614	113656167.75110869	453869.13345446	-440604.7875763622	452313.1401504129	1461.124270639929	1599.565890624997	-1101.2680450693474	53253.41854728901	-440005.92586555803	53253.41841461111	113868020.74807712	453156.2365513285	-440005.9470004186	453156.2434874787	1458.8292677616732	-0.000825179484389603	0.0	0.0	0.0	0.002397124599717464	0.0	0.0	0.0	-0.0010370669834760338	113873134.73523492	0.0022222016986563
14	28.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999036484869739	2.1616280813929745e-21	2.9709680624944585e-22	-6.657678965418801e-22	1.0028000000000115	8.570702876792637e-21	-6.047815243395704e-22	1.954952042262925e-21	0.9987164998220533	395.55610974554133	89594.35446358252	-555832.6398121557	89931.8721898647	116403460.37843819	580445.1913703989	-555654.6031137352	578081.5584904731	622.3847844946085	1599.565890624997	394.95857453985064	89796.0164389319	-554815.2268465685	89796.0192516262	116665465.18775862	579382.7268420246	-554815.2198268025	579382.7238339393	621.2455524596869	-0.0009639796093432214	0.0	0.0	0.0	0.0027960873020129234	0.0	0.0	0.0	-0.0012843245697798109	116673334.20556451	0.002620029054759149
16	32.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9988972896605248	-1.196010521523072e-21	1.5464301693845442e-19	-2.3835507135736012e-21	1.0032000000000207	1.1767574626319818e-19	-9.075958029829827e-22	1.1528118412131028e-21	0.9984671613482703	2126.452432290664	119891.04672256333	-637796.7920637857	120407.48454894609	118475835.39880118	662709.6407153653	-637522.1356845192	659583.1352405801	1686.7952806821945	1599.565890624997	2122.9235892551465	120207.65670669082	-636464.1881766666	120207.66859876418	118788708.07270405	661324.9842632829	-636464.1691321824	661324.9717804055	1683.2709137117404	-0.0011033187718458065	0.0	0.0	0.0	0.003194890896540094	0.0	0.0	0.0	-0.001534014650794004	118797624.96868132	0.0030192954648819866
18	36.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9987569117463606	-3.945479468310531e-21	7.367450223570542e-20	-4.7095031867339096e-21	1.0036000000000098	-4.380007370251987e-20	-6.954140496957805e-22	9.588412962918679e-22	0.9982171529451581	1329.5977379841745	143734.92676789983	-696135.834324918	144431.91704165426	120100947.8759741	712187.2171432866	-695759.5876235703	708367.3379179952	19.79908563523204	1599.565890624997	1327.194540781145	144170.85894375065	-694502.0622350383	144170.8618599653	120465200.80117899	710515.7738117331	-694502.0287039132	710515.7379058345	19.752618851134727	-0.0012438615287417847	0.0	0.0	0.0	0.003593535510139732	0.0	0.0	0.0	-0.0017844382181343573	120477077.4813465	0.0034193967853637123
