6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
2	5.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998329313366076	2.5404370972728586e-23	4.911732302890874e-22	5.082197683525802e-24	1.000499999999992	5.1901943843007255e-22	5.346895479542771e-24	9.071193469501523e-23	0.9998346671389883	-2.1724505059033534e-11	-0.0012354743551374336	0.006853363011275272	-0.001236298639076265	35.41319901455864	0.0018195364214909236	0.006853374909346911	0.0018183264291139738	3.800347745178123e-11	1599.565890624997	-2.171723880813834e-11	-0.0012358851311014551	0.006851082643474235	-0.0012358851311015434	35.42497335119606	0.0018189309943069916	0.006851082643474249	0.0018189309943068641	3.799083228674846e-11	-0.0001670826209161866	0.0	0.0	0.0	0.0004998750416425594	0.0	0.0	0.0	-0.0001653465299960539	35.42497554342332	0.00044406087596456003
4	10.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996657465925788	3.477467295172928e-22	1.105457405505667e-21	-2.4113969217145864e-23	1.000999999999998	-2.220973327259979e-21	2.625802136488331e-23	3.094317235438366e-23	0.9996692068925407	2.660860588202946e-10	-0.0024783090723446135	0.013668525629289403	-0.002481616870311632	70.87485227509009	0.003682760503322697	0.013668572942302873	0.0036778644071246013	2.3138023931557061e-10	1599.565890624997	2.659081991812337e-10	-0.0024799580856207063	0.013659436471715025	-0.0024799580856205697	70.92201086949098	0.003680311578586318	0.013659436471715245	0.0036803115785862617	2.312263784302222e-10	-0.0003343092825427142	0.0	0.0	0.0	0.000999500333080983	0.0	0.0	0.0	-0.000330847831568302	70.9220152319589	0.0008880548420951395
6	15.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994951765702348	7.824466850261599e-23	-9.521232662289573e-21	-4.341043854678289e-23	1.0015000000000047	-3.698357605949089e-21	5.413069928547013e-23	-6.786851489875082e-23	0.9994876475262829	0.001071860799325834	-0.004940548278401093	-0.025963449400070938	-0.004950460578153527	102.25968227725632	0.04138861678885851	-0.025963253978906857	0.0413054537784658	0.0011258682508193886	1599.565890624997	0.0010708040453030038	-0.004945577521523365	-0.0259376564929473	-0.004945579889230006	102.36377776925401	0.041347500035365505	-0.025937656650312294	0.04134750076548459	0.001124749777893108	-0.0005049508960132685	0.0	0.0	0.0	0.0014988761237406045	0.0	0.0	0.0	-0.0005124837710948829	102.362715261596	0.0013384027043752405
8	20.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993170558325629	1.4187801866509531e-21	2.8506258565133035e-20	-1.3044307387716225e-22	1.0019999999999902	-2.7994438906754628e-21	6.2998075452038585e-24	-1.708888971085551e-21	0.9992308569088781	-0.010543789801829857	0.00954000286523467	-0.24115895533233506	0.009565672694666797	115.94020806333339	0.23467684189524055	-0.24113818351949878	0.23402822156222822	-0.004676647023898237	1599.565890624997	-0.010530844039139939	0.009553870900965489	-0.2408420818271305	0.009553927873212456	116.10874710580268	0.23436848563544832	-0.24084211182630366	0.23436842185194431	-0.004670502091262313	-0.0006831774800373685	0.0	0.0	0.0	0.001998002662663529	0.0	0.0	0.0	-0.0007694390334266646	116.11780794329017	0.0018168899896046607
10	25.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.99914152360157	2.2725893974832877e-21	1.2144123123021717e-20	3.8370592510619807e-22	1.0025000000000026	-2.2990591770849846e-20	1.3936868355885444e-21	-1.382357769919018e-21	0.9989383693369848	-0.003867186881940677	0.049463850002160005	-0.4329596492767938	0.04963012400464273	122.43341642881886	0.4531665325260284	-0.4328716511341679	0.45155652711078365	-0.0011369556236781198	1599.565890624997	-0.0038616426626399843	0.049558963350357664	-0.4322510267079104	0.049558971433070025	122.6688419399207	0.45242483746750045	-0.4322510616886079	0.4524248188671297	-0.0011350947749452112	-0.0008588451003229683	0.0	0.0	0.0	0.002496880198589582	0.0	0.0	0.0	-0.0010621945920059855	122.67615780802069	0.0023079214632594964
12	30.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9989666930514934	-1.5246593050577405e-23	1.2233273340720233e-20	4.861969117239684e-22	1.003000000000004	7.068913461310763e-21	3.3855906901754384e-21	-3.9979955110402974e-21	0.9986361096649785	-0.0008253814753117106	0.09544857695917273	-0.5719387337218319	0.09583390974320331	126.9135118176951	0.6128472192189465	-0.571749430624929	0.6101807918996924	-0.002887131839215129	1599.565890624997	-0.0008240366326994484	0.0956778006826777	-0.5708178796544889	0.09567776191413593	127.21829988964704	0.6116461949521489	-0.570817845629578	0.6116461664247655	-0.002881473797061066	-0.0010338411781786738	0.0	0.0	0.0	0.002995508979802577	0.0	0.0	0.0	-0.001364821280012222	127.22851306652231	0.002803081260886149
14	35.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9987904406812144	4.0081599064073494e-21	4.5403189434317044e-20	-1.2061749168901236e-21	1.0034999999999992	7.296807675769533e-20	3.836635734588353e-21	8.942126824163649e-21	0.9983309508115069	0.0026412609175141036	0.13236472241784997	-0.6677786443350151	0.13298885711093145	130.3772795583704	0.7118844141592449	-0.6674713908761987	0.7082174368072429	0.0006677510528956602	1599.565890624997	0.002636449110147751	0.13274657986129704	-0.6662554463208749	0.13274658011434776	130.753403451099	0.7102606112192384	-0.6662554020527732	0.7102605650281455	0.0006662279178173836	-0.0012102914260694684	0.0	0.0	0.0	0.0034938892542551747	0.0	0.0	0.0	-0.001670443602870011	130.76283358648053	0.0033002151363589307
16	40.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9986120212427796	3.0552478407462615e-21	6.262347513111537e-20	-5.000882520589389e-21	1.0039999999999885	-2.045093288509728e-19	2.634272465960874e-22	1.3668570669842645e-20	0.9980253817097483	0.001186100940255468	0.15969404302492599	-0.7359897040413839	0.1605556684130262	133.2120409245708	0.7691271640555177	-0.735557295874582	0.7645501854822436	-0.0004897556996799554	1599.565890624997	0.0011837128194852366	0.16023240086953314	-0.7340763565338598	0.16023240222757582	133.66112309363254	0.7671276693149881	-0.7340763092263503	0.7671276240776581	-0.0004884824850654943	-0.0013889428919712907	0.0	0.0	0.0	0.0039920212695261775	0.0	0.0	0.0	-0.0019765704191776483	133.67371463955013	0.003798367139370261
18	45.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9984315611222918	-6.735605996566196e-21	-2.0190724363700757e-20	-6.8152270936081e-21	1.0044999999999922	1.8590679126337384e-20	-3.97089045672816e-21	6.181646449061884e-21	0.9977204917253126	6.551267416283488e-05	0.1795829275909554	-0.7876785292866002	0.18067441260150363	135.66800043080553	0.801639770440275	-0.7871175167565896	0.7962293712471727	-0.0010501723522911392	1599.565890624997	6.536819515942325e-05	0.18027597548227908	-0.7853816780971465	0.18027596055526648	136.1915714789	0.7993022086155078	-0.7853816396024044	0.7993021860974227	-0.0010471100755795016	-0.001569670165599692	0.0	0.0	0.0	0.004489905272844264	0.0	0.0	0.0	-0.002282110308665045	136.20624975148232	0.004296929665802706
20	50.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9982494020926423	3.3034284942917712e-21	1.376987581033426e-19	-1.9498698445793994e-21	1.0050000000000108	-1.438685460911429e-19	-8.063753657860939e-21	4.980553729855286e-21	0.9974166289266048	-6.61762496977611e-05	0.19326222805998344	-0.8285369093355535	0.19456913113787996	137.89327743386272	0.8199120839784129	-0.8278456941387554	0.813725313683995	-0.0008687712434994126	1599.565890624997	-6.601756248589945e-05	0.19410258482362383	-0.8258605849715662	0.19410256446062568	138.492874931601	0.8172636193633136	-0.8258605631339822	0.8172636128020592	-0.0008659649549448405	-0.0017521319945155522	0.0	0.0	0.0	0.004987541511049352	0.0	0.0	0.0	-0.00258671373457786	138.50836943810174	0.0047955782450172044
24	116.66666666666667	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9957583024399831	3.717204089025497e-20	5.862755485079585e-19	8.320404640878993e-21	1.0116666666666567	6.350036598976039e-20	1.968504569418994e-20	-5.231614295421461e-20	0.9934395101435832	0.009089890238702415	0.23460198181291622	-1.0747838795726121	0.23835091773781306	162.0040659651769	0.86700967308188	-1.0722802885140086	0.8513881432740988	0.008418345738523644	1599.565890624997	0.00904440018201309	0.2371571988025962	-1.0669148674942712	0.23715809841050356	163.76856743508162	0.8606618763581028	-1.0669140970826023	0.8606612168930631	0.008356710961937273	-0.004250719079187437	0.0	0.0	0.0	0.011599135843341844	0.0	0.0	0.0	-0.006582104456770756	163.77759268725183	0.011423277965963218
28	183.33333333333334	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9932541816068667	2.8799120206646214e-22	1.8864914513340436e-18	1.1655173354219172e-21	1.0183333333333282	-4.924446267429161e-19	-3.263448539181368e-20	3.560248883899275e-20	0.9895302621556494	-0.0067808094362595195	0.26130875020155897	-1.242124466481464	0.26790402527432394	184.02804545658782	0.950495045939032	-1.237467407124734	0.9236113397965368	-0.005833842335495312	1599.565890624997	-0.006729185478497192	0.2658670214847567	-1.2280463377839794	0.26586440652155907	187.23823169895718	0.9397222192665523	-1.228046265628549	0.9397228211142612	-0.005767722083124321	-0.006768674271758526	0.0	0.0	0.0	0.018167303955444355	0.0	0.0	0.0	-0.010524931127085005	187.26420087805974	0.018007139508427403
32	250.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9907609357458202	-9.492528833289493e-20	-8.720238073300911e-19	1.2973156620146865e-20	1.025000000000019	1.6084003703550898e-18	-4.689174395999806e-21	-5.181131131765104e-20	0.985671571219916	0.01616627323027478	0.2894602021237012	-1.39940261382891	0.2994651093159681	205.2349710011088	1.061510533423931	-1.3922135023187743	1.0207791617938475	0.012394347183906687	1599.565890624997	0.01600124660557516	0.2964065220954311	-1.3780022945011905	0.296408145258651	210.16009634650314	1.0452774178355193	-1.3780016742817074	1.0452753053958759	0.01220480702943428	-0.00928200912661446	0.0	0.0	0.0	0.02469261259039026	0.0	0.0	0.0	-0.014432071936037323	210.16797226854732	0.024547183622326888
36	316.6666666666667	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9882814123685142	-7.488110066906916e-20	-1.3218254073764369e-18	-1.0960606337470646e-20	1.0316666666667051	1.1700845370735125e-18	-1.1384122811097797e-21	9.324816309733141e-20	0.9818592192089033	0.011879116165355239	0.3160085525692075	-1.5501740026931488	0.32988312869997405	225.6933844565293	1.1826359687459365	-1.5400999045300077	1.1255378697459866	0.008972056895361962	1599.565890624997	0.01172723176959548	0.32566342584219593	-1.5204089708263264	0.3256652980990696	232.5888972765579	1.159928068061615	-1.52040844431082	1.1599259437648597	0.008799783615757588	-0.011787791458223198	0.0	0.0	0.0	0.031175617468486815	0.0	0.0	0.0	-0.018307342199279614	232.6029025698963	0.031044492608551053
