6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
2	2.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999933185913899	5.017677595746666e-24	-7.032027823435799e-23	-1.674213559807328e-24	1.000200000000001	1.1263883837257088e-22	-9.562207881113e-25	4.301339185275744e-25	0.9999338800589291	-1.2556794538182147e-11	-0.0004941626033931727	0.002741200914480076	-0.0004942944617465825	14.158906776126344	0.0007274803459873233	0.0027412028173981846	0.0007272867876721531	7.609189545815242e-12	1599.565890624997	-1.2555113824832275e-11	-0.0004942283009681888	0.002740835910369792	-0.0004942283009681932	14.160789164299151	0.0007273834784738794	0.002740835910369768	0.0007273834784738513	7.608176345562212e-12	-6.681631826146364e-05	0.0	0.0	0.0	0.00019998000266735472	0.0	0.0	0.0	-6.612212709030524e-05	14.160790041957116	0.0001776332690461494
4	4.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998663539893818	2.5138018815486512e-23	4.2430394957030065e-22	4.480010197587198e-24	1.0003999999999935	-1.0100735547109523e-21	6.670384459627615e-24	4.0207595214977567e-23	0.9998677425139983	-3.0789476888198884e-12	-0.0009883614006080748	0.005482594259823943	-0.0009888889062255905	28.32631037554813	0.0014554063112484862	0.005482601873558634	0.001454631970080593	-3.463160522243491e-13	1599.565890624997	-3.0781237070798364e-12	-0.0009886242617815142	0.005481134630761447	-0.0009886242617815316	28.33384394290512	0.0014550188389590986	0.005481134630761501	0.0014550188389590647	-3.4622385262846425e-13	-0.00013365494204201233	0.0	0.0	0.0	0.00039992002132067657	0.0	0.0	0.0	-0.00013226623279395967	28.333845697202523	0.0003552546439166133
6	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997995042228786	4.661328187858821e-23	-2.6865502806742253e-22	2.4021324988539923e-23	1.000599999999987	-1.4682786745061262e-22	1.138200522872966e-23	2.8349133953417363e-23	0.9998015873617155	9.347734125381841e-12	-0.0014825963387170705	0.00822417977104352	-0.001483783388823916	42.502212496069085	0.0021837779609255783	0.008224196906587614	0.0021820354505086167	1.213701053548455e-11	1599.565890624997	9.343982812352721e-12	-0.0014831879358637697	0.008220896477138178	-0.001483187935863782	42.519172060169204	0.002182906143301288	0.008220896477138383	0.002182906143301258	1.2132165143746001e-11	-0.00020051587908671828	0.0	0.0	0.0	0.0005998200719549005	0.0	0.0	0.0	-0.0001984323246758177	42.51917469008017	0.0005328641403783813
8	8.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997326366108235	9.18534439403384e-23	-3.9753638494808466e-22	3.973113918214702e-23	1.0008000000000166	-2.1723748119112632e-21	3.6528295850341705e-24	2.6072732907671432e-23	0.9997354145986063	-9.978195574487925e-12	-0.0019768673654839775	0.010965957183085264	-0.0019789779656322836	56.68661483619863	0.0029125953601494485	0.010965987654527174	0.0029094971322312147	-7.2443753149076255e-12	1599.565890624997	-9.972858071629048e-12	-0.0019779193773857176	0.010960121765242073	-0.0019779193773856066	56.716781247217526	0.0029110454534107258	0.010960121765241953	0.0029110454534107878	-7.240520297395624e-12	-0.0002673991371394204	0.0	0.0	0.0	0.0007996801705802186	0.0	0.0	0.0	-0.0002646204102864149	56.716784751760756	0.0007104617742034481
10	10.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996657491670821	9.210490684655452e-23	-1.4235447469792585e-21	2.959321359469712e-23	1.001000000000002	2.21178831373819e-21	-9.529120656610878e-24	-4.182225177068108e-24	0.9996692167745175	8.754158059651879e-11	-0.002474762105266356	0.013691857905870545	-0.0024780651627162556	70.87750843995019	0.003659620334139837	0.013691905399733764	0.0036547550380835177	7.451534081437395e-11	1599.565890624997	8.748306440024626e-11	-0.0024764087276096737	0.013682753197797347	-0.002476408727609639	70.92466791794105	0.0036571867874999175	0.013682753197797423	0.0036571867874998576	7.446579016684635e-11	-0.00033430670717861605	0.0	0.0	0.0	0.0009995003330854194	0.0	0.0	0.0	-0.0003308379463213648	70.92467228993577	0.0008880506980791374
12	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995987677173077	-5.5407866151252e-23	-5.189664988708692e-22	3.4463653041409346e-23	1.0011999999999819	-4.396550982503048e-21	-2.5199230180815434e-23	-1.5828928201814737e-23	0.9996027006975955	2.2049060633072896e-09	-0.003071633765122669	0.015708426283287214	-0.003076554138477573	84.99638347819221	0.005133033651902477	0.015708488089017602	0.005124844487829588	2.283485305464711e-09	1599.565890624997	2.2031386527404062e-09	-0.003074088031472928	0.01569589646513738	-0.0030740880314699343	85.06429644562762	0.00512893929024871	0.01569589646513839	0.005128939290250243	2.281663884584649e-09	-0.00040131279790221275	0.0	0.0	0.0	0.0011992805754633357	0.0	0.0	0.0	-0.0003973782466831613	85.06430141816085	0.001065753152771758
14	14.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995307488438387	-1.1953752468126314e-22	2.263139686165482e-21	-3.3881317890172014e-24	1.0013999999999936	4.3198680309969315e-23	-1.4028983188899349e-24	-1.5479527111072338e-22	0.9995317952761422	8.669753039087104e-06	-0.004656172816390687	0.005877946792262636	-0.004664880455664048	97.9691283992663	0.016753168519416505	0.005877952935481291	0.0167219139306136	9.63376438451733e-06	1599.565890624997	8.661687796934956e-06	-0.004660540843861875	0.005872484841724201	-0.004660540840646627	98.0610347483326	0.016737601012419744	0.0058724848311916015	0.01673760101575843	9.624812424517208e-06	-0.0004693612889396705	0.0	0.0	0.0	0.0013990209137007567	0.0	0.0	0.0	-0.0004683143659141219	98.06103075015409	0.0012452393074501957
16	16.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994599606439172	-8.216219588366714e-23	2.92996637389143e-21	1.3891340334970526e-22	1.0016000000000025	-6.965575441745738e-21	-6.54862347345981e-23	-1.0482032722271967e-23	0.9994453855008656	0.00018450358888240657	-0.005230747693824013	-0.05154668703336485	-0.005241947368971491	107.03488677547512	0.06186856621089321	-0.05154593533427882	0.06173547510790311	0.0005635262008034765	1599.565890624997	0.00018431107631013501	-0.005236478256538542	-0.051492151871372134	-0.005236477877685031	107.15214919515437	0.06180311074760835	-0.051492151878566914	0.061803109609225894	0.0005629300035613904	-0.0005401852298566313	0.0	0.0	0.0	0.0015987213636990687	0.0	0.0	0.0	-0.0005547683546455846	107.15186654632087	0.0014308235430067532
18	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993878865489791	1.6686549060909717e-22	6.944611376301195e-21	4.1250504531284426e-22	1.0017999999999778	-6.958375661694077e-22	-7.975344593991271e-23	-3.631653761352813e-22	0.9993426258233357	-0.00033601855496749936	-0.0006344555031611315	-0.14907691593719558	-0.0006359837285055295	112.31938727035391	0.14049206451518242	-0.14907016592463912	0.14014743891581782	0.00018460970184204167	1599.565890624997	-0.00033563544638777275	-0.0006352617044138098	-0.14890020344725494	-0.0006352586172896309	112.46211127584563	0.1403255283188753	-0.14890020489509861	0.14032552396709508	0.00018439086957096457	-0.0006123008689439076	0.0	0.0	0.0	0.001798381941357011	0.0	0.0	0.0	-0.0006575903418078577	112.46274525769226	0.0016224290844907478
