6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
2	2.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9999331859138989	1.862728021408163e-23	5.19370163009795e-23	-3.811648262644351e-24	1.000200000000001	-5.36873304771417e-23	-8.933550615572699e-26	-1.6073773663130433e-23	0.9999338800589291	-4.325060658141172e-12	-0.0004941626033780961	0.0027412009144840432	-0.0004942944617314999	14.158906776130978	0.0007274803460015957	0.0027412028174021623	0.0007272867876864421	1.588930039625458e-11	1599.565890624997	-4.3244817534559396e-12	-0.0004942283009531103	0.0027408359103737595	-0.0004942283009531125	14.16078916430379	0.00072738347848815	0.002740835910373745	0.0007273834784881423	1.588718465934396e-11	-6.681631826157467e-05	0.0	0.0	0.0	0.0001999800026675767	0.0	0.0	0.0	-6.612212709008318e-05	14.160790041953499	0.00017763326904626081
4	4.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998663539893824	5.4577376816248765e-24	6.1996194294114365e-22	-3.414601568618898e-24	1.0003999999999935	-1.0727539928077704e-22	-8.9335506155727e-25	-2.286988957586611e-23	0.9998677425139983	1.8598371115743916e-12	-0.0009883614006096178	0.005482594259831491	-0.0009888889062271214	28.3263103755279	0.0014554063112461229	0.005482601873566069	0.0014546319700782142	4.632458265943495e-12	1599.565890624997	1.8593393857409048e-12	-0.0009886242617830573	0.00548113463076899	-0.0009886242617830623	28.333843942884872	0.0014550188389567352	0.005481134630768934	0.0014550188389566847	4.631224968275357e-12	-0.00013365494204145713	0.0	0.0	0.0	0.00039992002132045463	0.0	0.0	0.0	-0.00013226623279440384	28.333845697177317	0.00035525464391642696
6	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997995042228781	4.5061491049438735e-23	7.656383749790824e-23	1.4545143891132438e-23	1.000599999999987	8.790878503519552e-22	2.5808035111654464e-24	-1.5961277099823221e-23	0.9998015873617156	5.0992092349815e-12	-0.0014825963387206978	0.00822417977103947	-0.0014837833888275299	42.50221249606817	0.002183777960936655	0.008224196906583655	0.0021820354505197714	7.887738370446206e-12	1599.565890624997	5.097162885591591e-12	-0.0014831879358673992	0.008220896477134134	-0.0014831879358673946	42.51917206016831	0.0021829061433123616	0.008220896477134428	0.002182906143312418	7.884589392184584e-12	-0.00020051587908716245	0.0	0.0	0.0	0.0005998200719546787	0.0	0.0	0.0	-0.00019843232467592876	42.51917469008352	0.0005328641403784189
8	8.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997326366108237	6.639944213085664e-23	7.82181987230143e-23	1.6371558683649525e-23	1.0008000000000166	1.827473583701153e-22	-9.118839072784576e-24	1.3896634290890865e-22	0.9997354145986066	-1.879689352952962e-12	-0.0019768673654864165	0.010965957183087651	-0.0019789779656347573	56.68661483619427	0.0029125953601457995	0.010965987654529606	0.002909497132227581	9.031260843339606e-13	1599.565890624997	-1.878683875836776e-12	-0.001977919377388156	0.010960121765244454	-0.0019779193773880777	56.71678124721313	0.0029110454534070776	0.010960121765244378	0.00291104545340715	9.026454953643111e-13	-0.0002673991371391983	0.0	0.0	0.0	0.000799680170581106	0.0	0.0	0.0	-0.0002646204102860817	56.716784751748236	0.0007104617742038547
10	10.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996657491670881	7.331467205179995e-23	-1.1781698900715283e-22	2.2393433543035565e-23	1.0009999999999997	-2.503299996491678e-21	-4.182225177068108e-24	-1.368487605407729e-23	0.9996692167745357	1.0474476037827113e-10	-0.002474762092737849	0.013691857916517726	-0.002478065150170984	70.87750844558457	0.0036596202770792455	0.013691905410381103	0.0036547549810989114	9.181640675537395e-11	1599.565890624997	1.046747449077566e-10	-0.0024764087150727708	0.013682753208437398	-0.002476408715072714	70.92466792357746	0.0036571867304772566	0.01368275320843743	0.003657186730477247	9.17553513759221e-11	-0.00033430670717261884	0.0	0.0	0.0	0.000999500333083645	0.0	0.0	0.0	-0.00033083794630292903	70.92467229555493	0.0008880506980698263
12	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995987677311591	-2.005085804828539e-23	-1.4954101985978655e-21	5.2463103170563227e-23	1.001199999999995	3.570508570472893e-22	6.352747104407253e-25	-2.548510380051376e-22	0.999602700736629	2.219557455339187e-09	-0.0030716077482846804	0.015708455610397576	-0.003076528079921175	84.9963947821409	0.0051329190336965366	0.01570851741663875	0.005124730052683844	2.2933942524262785e-09	1599.565890624997	2.217778300409778e-09	-0.003074061993684588	0.015695925768637292	-0.0030740619936814977	85.06430775410787	0.005128824763396787	0.015695925768637962	0.00512882476339832	2.291564927647982e-09	-0.0004013127840452884	0.0	0.0	0.0	0.0011992805754773078	0.0	0.0	0.0	-0.0003973782076336487	85.06431272662086	0.001065753135176636
14	14.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995307544170604	-7.289777302307322e-23	1.7814161671942005e-23	2.0011153378882846e-23	1.0013999999999705	3.377226239821302e-21	4.3198680309969315e-23	-1.3621348583033217e-22	0.9995318124159899	8.049351428465428e-06	-0.004646169410550451	0.005903842629000244	-0.0046548583162997325	97.97399175300265	0.016709994192754686	0.005903848868132607	0.016678820435473828	8.931860805725289e-06	1599.565890624997	8.041863191636705e-06	-0.004650527947995196	0.00589835658244679	-0.004650527944867154	98.06590043603451	0.016694466711449696	0.0058983565723969246	0.016694466714586492	8.923561024164634e-06	-0.0004693557131015556	0.0	0.0	0.0	0.0013990209136781398	0.0	0.0	0.0	-0.00046829721803789997	98.06589707931306	0.0012452317361255343
16	16.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994600198634572	-4.976318565119014e-23	5.503596574784817e-22	-5.166900978251232e-23	1.0015999999999952	-6.755087754353045e-23	7.400950376634449e-23	1.9947625907838772e-22	0.9994455854237159	0.00016678817215487054	-0.005174898494526765	-0.05115335771107129	-0.005185978308259639	107.09048186190722	0.061501831262019364	-0.051152618943220596	0.06136954143858849	0.0005193891685212719	1599.565890624997	0.00016661411066663941	-0.00518056652822369	-0.051099235654386	-0.005180566179266273	107.20777739155969	0.06143676015531679	-0.05109923565551415	0.061436759110433975	0.0005188396364616325	-0.0005401259783201747	0.0	0.0	0.0	0.0015987213636921964	0.0	0.0	0.0	-0.000554568320873231	107.2075243852443	0.00143073664005238
18	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993880707197103	-8.288217388883329e-22	9.163943577225869e-21	5.336307567702092e-23	1.0017999999999878	-1.0811740296990704e-20	5.495126245312274e-23	1.7277354541619593e-21	0.9993433060008383	-0.0002982302064693892	-0.0006093425614805328	-0.14804832141392876	-0.0006108104325230594	112.50468088150558	0.13967985177540174	-0.14804169125387012	0.13933731382283646	0.0001716060881084748	1599.565890624997	-0.0002978899791892074	-0.0006101163240770108	-0.1478728009467382	-0.0006101136071591092	112.64754290936604	0.1395142526479913	-0.1478728021847007	0.1395142487828167	0.00017140263844778373	-0.0006121165854273481	0.0	0.0	0.0	0.0017983819413674284	0.0	0.0	0.0	-0.000656909717111799	112.64815650984393	0.0016221362253059021
20	20.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999316655658229	-6.056285572868247e-22	-1.6302207861093078e-21	4.946672411965114e-22	1.0020000000000109	3.836635734588353e-21	-1.0191526891143343e-22	5.793705359219415e-22	0.9992317595808519	-0.00018010683831207758	0.007610465605271964	-0.24818325479807687	0.007630903855803336	116.03692971308249	0.234644372929725	-0.2481621726977608	0.2339961131906228	0.00022266557120470537	1599.565890624997	-0.00017988553896668044	0.007621524893569603	-0.2478572508899568	0.007621527676398356	116.2055509151783	0.23433615317228926	-0.24785725297963668	0.23433614895328486	0.00022237308633711998	-0.0006835779279349411	0.0	0.0	0.0	0.0019980026626843597	0.0	0.0	0.0	-0.0007685356670426494	116.20703223360945	0.00181670193306865
22	22.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9992460054223824	6.259573480209279e-22	1.1990174884858248e-20	8.57197342621352e-22	1.0022000000000097	-4.183707484725803e-21	2.8259136702771595e-22	1.147729643529577e-21	0.9991153349884454	-8.224680061165541e-05	0.019826524069347908	-0.33671503685159626	0.019885137092368946	118.67635396401445	0.3312266651920267	-0.3366710068257022	0.3302071817874582	0.0002829333256890145	1599.565890624997	-8.21389202798409e-05	0.01985905305042465	-0.33622940504206394	0.019859054434177403	118.87106388184216	0.33074894906064567	-0.3362294069135041	0.33074894609925576	0.00028252526127877574	-0.0007542789744939266	0.0	0.0	0.0	0.0021975835434967284	0.0	0.0	0.0	-0.0008850565585882715	118.87377560571795	0.0020129174570813215
24	24.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9991758462730257	1.5424469969500809e-21	7.895935255186181e-21	1.3925221652860697e-21	1.0023999999999857	-7.19505784298061e-20	7.318364664277155e-22	-1.1697525001581888e-21	0.9989961866255674	-2.511700739986715e-05	0.035651853086273076	-0.41357760676151667	0.035766895931812766	120.82533095255465	0.42065415051654204	-0.41350324402999117	0.4192257486721424	0.0002846631123962305	1599.565890624997	-2.5082048605532673e-05	0.03571711324559927	-0.4129277129222776	0.035717114222592515	121.04649983063578	0.4199931366308732	-0.4129277146831008	0.4199931348465941	0.0002842157941662771	-0.0008244935283690364	0.0	0.0	0.0	0.0023971245997068315	0.0	0.0	0.0	-0.0010043175324936573	121.05068480530412	0.0022101266235376687
