6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
2	2.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9999331859138989	3.1681844641393515e-23	-2.1121891505419052e-22	-1.882663074170691e-24	1.000200000000001	3.3351260553648034e-22	-1.4492204331929045e-24	-6.2733377656021616e-24	0.999933880058929	-9.383580550602344e-12	-0.0004941626033701021	0.0027412009144807685	-0.0004942944617235103	14.158906776134494	0.0007274803460088972	0.0027412028173989123	0.0007272867876937209	1.0761723504525145e-11	1599.565890624997	-9.382324568508554e-12	-0.0004942283009451153	0.002740835910370485	-0.000494228300945124	14.160789164307305	0.0007273834784954505	0.0027408359103704956	0.0007273834784954221	1.0760290529184972e-11	-6.681631826157467e-05	0.0	0.0	0.0	0.0001999800026675767	0.0	0.0	0.0	-6.612212709086038e-05	14.160790041962105	0.00017763326904651888
4	4.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998663539893822	4.5984624613047913e-23	8.432146815467556e-22	1.2308447514789052e-24	1.0003999999999935	-6.232111083872519e-22	6.610827455523797e-24	-4.8373522222101056e-23	0.9998677425139982	5.706109445623858e-12	-0.000988361400603337	0.005482594259828151	-0.000988888906220839	28.326310375529797	0.0014554063112504445	0.005482601873562724	0.001454631970082546	8.491165336826923e-12	1599.565890624997	5.70458238818804e-12	-0.0009886242617767752	0.005481134630765652	-0.0009886242617767817	28.333843942886777	0.0014550188389610558	0.00548113463076559	0.0014550188389610178	8.488904736988063e-12	-0.00013365494204167923	0.0	0.0	0.0	0.0003999200213200107	0.0	0.0	0.0	-0.00013226623279451486	28.33384569717537	0.0003552546439162422
6	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997995042228782	4.0012380590415055e-23	3.757517563358881e-22	8.457094582742155e-24	1.000599999999987	-4.86143972164765e-22	1.3645171384674743e-23	-2.736975210815458e-23	0.9998015873617153	-5.4290127662545705e-12	-0.0014825963387171412	0.008224179771043855	-0.001483783388823919	42.50221249606213	0.0021837779609261945	0.008224196906587915	0.002182035450509238	-2.6420360968448796e-12	1599.565890624997	-5.426834064328726e-12	-0.0014831879358638415	0.008220896477138516	-0.0014831879358637855	42.519172060162276	0.002182906143301905	0.008220896477138688	0.0021829061433018813	-2.6409813313538056e-12	-0.0002005158790870514	0.0	0.0	0.0	0.0005998200719551225	0.0	0.0	0.0	-0.0001984323246758177	42.519174690088015	0.0005328641403786409
8	8.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997326366108237	1.009789004580234e-22	-4.349514184150832e-22	1.0998193424505055e-23	1.0008000000000141	-5.029469882559222e-21	3.766649637321467e-23	-9.185013521788819e-24	0.9997354145986064	-1.105229799607671e-11	-0.0019768673654611425	0.01096595718309417	-0.0019789779656094898	56.686614836205955	0.002912595360147803	0.010965987654536175	0.0029094971322295915	-8.260030555373721e-12	1599.565890624997	-1.1046385937958468e-11	-0.001977919377362869	0.010960121765250998	-0.001977919377362829	56.71678124722482	0.0029110454534090873	0.010960121765250973	0.0029110454534091623	-8.25563506769422e-12	-0.0002673991371391983	0.0	0.0	0.0	0.000799680170577778	0.0	0.0	0.0	-0.00026462041028674807	56.71678475176909	0.0007104617742018575
10	10.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996657491670878	9.3765885516561e-23	1.2944781016413846e-21	-1.9852334701272663e-24	1.0009999999999997	-3.5095221982705836e-21	4.573977915173222e-23	-1.387016451128917e-23	0.9996692167745357	9.329790051811059e-11	-0.0024747620926088695	0.0136918579163971	-0.002478065150041876	70.8775084455299	0.0036596202769735827	0.013691905410260446	0.003654754980993397	8.031878284339711e-11	1599.565890624997	9.32355365738216e-11	-0.002476408714943706	0.013682753208316856	-0.002476408714943692	70.92466792352276	0.0036571867303716653	0.013682753208316852	0.0036571867303716635	8.026537306690023e-11	-0.00033430670717284094	0.0	0.0	0.0	0.000999500333083645	0.0	0.0	0.0	-0.0003308379463024848	70.9246722955117	0.0008880506980697532
12	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995987677309045	2.0617311331761703e-22	2.55949533858608e-21	1.4611318340136682e-23	1.0011999999999983	4.577948382113477e-22	4.58985978293424e-23	2.625272740896297e-22	0.999602700736369	2.236187908373835e-09	-0.003071607481788481	0.015708455319023856	-0.0030765278129987537	84.99639467265511	0.0051329188245105226	0.01570851712526367	0.005124729843830273	2.309980418162272e-09	1599.565890624997	2.2343954227910517e-09	-0.003074061726977038	0.015695925477499928	-0.0030740617269738256	85.06430764457839	0.005128824554378919	0.015695925477500473	0.005128824554380512	2.308137863437756e-09	-0.00040131278429996473	0.0	0.0	0.0	0.001199280575481078	0.0	0.0	0.0	-0.00039737820789354417	85.06431261707456	0.0010657531353506665
14	14.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995307541973407	-2.9646153153900515e-23	-7.305659170068341e-24	1.3023131564034868e-23	1.001399999999991	-2.2290730798180982e-21	5.513655091033462e-23	4.290221877843031e-22	0.9995318121801263	8.046413677945813e-06	-0.00464574720968308	0.0059035431496875165	-0.004654435327174766	97.97389422467582	0.016709811352206144	0.005903549388441259	0.016678637932255564	8.934162637320193e-06	1599.565890624997	8.038928175975911e-06	-0.004650105353183793	0.005898057382716589	-0.004650105350342249	98.06580286091517	0.016694284044472107	0.005898057372700419	0.0166942840477725	8.925860718783136e-06	-0.0004693559329243934	0.0	0.0	0.0	0.0013990209136983177	0.0	0.0	0.0	-0.0004682974540117088	98.06579950430907	0.001245231888066607
16	16.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994600139052893	-6.433215234396411e-22	3.0486303958458373e-21	7.686823996332775e-23	1.0016000000000074	-6.877907531704919e-22	1.0392035471626198e-22	-3.832824086325709e-22	0.9994455781206111	0.00016755537037019678	-0.005149995723783383	-0.05114770769894832	-0.005161022248070656	107.08763730249723	0.06150442070013403	-0.051146968951081846	0.06137212485711216	0.0005197381656262633	1599.565890624997	0.00016738050945076368	-0.005155636550040293	-0.05109359192476319	-0.00515563620109694	107.20493113897493	0.06143934721997757	-0.05109359193310121	0.06143934617377026	0.0005191882674104532	-0.000540131939707182	0.0	0.0	0.0	0.001598721363704611	0.0	0.0	0.0	-0.000554575628029239	107.20467757029876	0.0014307410673616299
18	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993880471013611	-7.284483346386982e-23	-1.8674905965029984e-20	-7.199780051661553e-24	1.0017999999999871	4.129285617864714e-21	2.549569171235444e-22	3.006966962752766e-22	0.9993432694832586	-0.00030095931203048956	-0.0003683161749569997	-0.14790757395397222	-0.0003692023592624304	112.49178112244061	0.13976221221949198	-0.14790094823852268	0.13941946719501383	0.00016951143197716076	1599.565890624997	-0.00030061598231437454	-0.000368783896760804	-0.1477322238429526	-0.00036878117893629476	112.63463354749602	0.13959651874772516	-0.14773222513030823	0.13959651487609787	0.00016931046966250915	-0.0006121402182384015	0.0	0.0	0.0	0.0017983819413665417	0.0	0.0	0.0	-0.0006569462586888384	112.63524936936005	0.00162215639972055
