6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
2	2.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9999331859138989	2.319249001476179e-23	-3.362323753905547e-23	-4.3013391852757437e-26	1.000200000000001	-4.9088206271346875e-23	-8.999725064576942e-25	-5.0438165031033415e-23	0.9999338800589288	-1.4349952423813733e-11	-0.0004941626033788484	0.0027412009144786305	-0.0004942944617322396	14.158906776135039	0.000727480345995467	0.0027412028173967357	0.0007272867876803041	5.80796926091115e-12	1599.565890624997	-1.4348031698222751e-11	-0.0004942283009538629	0.002740835910368347	-0.0004942283009538523	14.160789164307854	0.0007273834784820221	0.00274083591036832	0.0007273834784820037	5.8071959018182276e-12	-6.681631826157467e-05	0.0	0.0	0.0	0.0001999800026671327	0.0	0.0	0.0	-6.612212709108245e-05	14.160790041967614	0.0001776332690462966
4	4.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999866353989382	4.205882542587124e-23	2.2707762175805714e-22	-3.441071348220595e-25	1.0003999999999935	1.8874938089480006e-22	-1.9190590211230243e-25	3.127404459940487e-23	0.9998677425139986	-2.7452182159437565e-12	-0.000988361400597631	0.00548259425981696	-0.0009888889062151574	28.326310375518883	0.0014554063112454233	0.005482601873551463	0.001454631970077504	5.124176256920965e-14	1599.565890624997	-2.744483546209679e-12	-0.0009886242617710673	0.005481134630754466	-0.0009886242617711011	28.33384394287586	0.0014550188389560363	0.005481134630754331	0.0014550188389559748	5.122812049356601e-14	-0.0001336549420419013	0.0	0.0	0.0	0.00039992002132089856	0.0	0.0	0.0	-0.00013226623279351553	28.333845697172897	0.0003552546439165767
6	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997995042228787	-4.776140856881182e-23	1.0131837538141517e-21	5.029258124322408e-25	1.000599999999987	-9.775686653600685e-22	-6.842438027038645e-24	3.6501826070740005e-23	0.9998015873617153	-7.168579750204546e-12	-0.0014825963387123135	0.00822417977105055	-0.0014837833888191557	42.50221249605322	0.0021837779609158578	0.008224196906594265	0.00218203545049887	-4.4171496339090456e-12	1599.565890624997	-7.165702947514321e-12	-0.0014831879358590111	0.008220896477145205	-0.0014831879358590241	42.519172060153345	0.002182906143291571	0.008220896477145035	0.002182906143291508	-4.415386199636457e-12	-0.00020051587908660723	0.0	0.0	0.0	0.0005998200719551225	0.0	0.0	0.0	-0.00019843232467559564	42.51917469008084	0.0005328641403784185
8	8.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997326366108237	-1.2583733222646698e-22	7.0289176243326e-22	-3.308722450212111e-24	1.0008000000000166	1.3315622628633618e-22	-1.3354003809056077e-23	1.6795075157276673e-22	0.9997354145986064	-1.2361278613551296e-11	-0.0019768673654638326	0.010965957183092269	-0.001978977965612133	56.6866148361858	0.00291259536012154	0.010965987654534217	0.0029094971322033442	-9.5566770330624e-12	1599.565890624997	-1.2354666359904614e-11	-0.0019779193773655605	0.01096012176524907	-0.001977919377365466	56.71678124720466	0.002911045453382831	0.01096012176524899	0.0029110454533829012	-9.551591548708133e-12	-0.0002673991371391983	0.0	0.0	0.0	0.000799680170581106	0.0	0.0	0.0	-0.0002646204102860817	56.71678475175023	0.0007104617742038547
10	10.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996657511496491	-1.9324924342708853e-22	-5.563418276684652e-22	4.687797967460518e-23	1.0010000000000063	2.1891037126195358e-21	-3.3590150314553345e-23	-3.74017985771977e-23	0.9996692242211909	4.219974890362632e-13	-0.002471174428092078	0.013707926230729035	-0.002474472692172665	70.879519093886	0.003641858574019827	0.013707973855255727	0.0036370169184951296	3.2598723165300216e-12	1599.565890624997	4.217154063579673e-13	-0.0024728186399927696	0.0136988108104948	-0.002472818639992665	70.92667924069096	0.0036394368312429055	0.01369881081049456	0.0036394368312428604	3.2577045848408413e-12	-0.0003343047239487223	0.0	0.0	0.0	0.000999500333089856	0.0	0.0	0.0	-0.0003308304971837317	70.92668361882467	0.0008880475610898968
12	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995988478355927	-1.2407709188295415e-22	9.23742368540018e-22	9.01031297641762e-23	1.0012000000000214	-3.851273522708092e-21	-5.656591900882624e-23	2.5273345563700186e-22	0.9996030162258774	-1.108580539692372e-11	-0.002965517196510626	0.016450083283235238	-0.002970267346321379	85.08092690325677	0.004371569039243494	0.016450151881120617	0.004364596081968972	-8.183955423068933e-12	1599.565890624997	-1.1076915730670481e-11	-0.0029678854999511412	0.016436960565330318	-0.002967885499951173	85.14887371946283	0.0043680817093427185	0.016436960565330165	0.004368081709342688	-8.177426839807859e-12	-0.0004012326474614729	0.0	0.0	0.0	0.001199280575503256	0.0	0.0	0.0	-0.00039706259304159776	85.14887897019626	0.0010656215169247613
14	14.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995319248583828	-2.1149353901755813e-23	-8.136545551765606e-22	1.2520205751602628e-22	1.0014000000000116	2.073298426862112e-21	-8.981196218855753e-23	-8.713851444878614e-23	0.9995367837906919	6.078371022309736e-11	-0.0034629375098714343	0.019177732133816183	-0.0034694095667595496	99.28899298961292	0.0051178657549366775	0.019177825360755303	0.005108343395807654	5.1961276469059126e-11	1599.565890624997	6.072686166494715e-11	-0.0034661647676065685	0.01915988911244315	-0.0034661647676065346	99.38152459600951	0.0051131040767876425	0.01915988911244278	0.005113104076787558	5.1912931536499856e-11	-0.00046818472298248417	0.0	0.0	0.0	0.0013990209137187172	0.0	0.0	0.0	-0.00046332352707856463	99.38153071267566	0.0012431865272688834
16	16.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994649582126914	-2.119898473850899e-22	9.636058566201735e-22	1.4481616420088366e-22	1.0015999999999887	3.1847380025577626e-21	-8.165927007123489e-23	5.029258124322408e-24	0.999470432055983	8.256424207479796e-10	-0.003994401571162307	0.021667978425361525	-0.004002934350824454	113.47820154059531	0.006111114895775028	0.021668097095973685	0.00609812165058333	6.756531242060882e-10	1599.565890624997	8.247602697433367e-10	-0.003998657447809966	0.02164494599188539	-0.003998657447808755	113.59910806923318	0.006104618957642784	0.02164494599188547	0.006104618957642958	6.749349245046318e-10	-0.0005351849732415649	0.0	0.0	0.0	0.0015987213636855457	0.0	0.0	0.0	-0.0005297082146449985	113.59911495796489	0.0014207821570118608
18	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993977289620835	1.0434387118988913e-22	-1.152705962094696e-21	1.2011985983250047e-22	1.0018	4.894738704386585e-21	-4.6030946727350887e-23	-2.0254675351218457e-22	0.9994030777044679	6.62176913697153e-08	-0.004838001085924401	0.021766039554916086	-0.004849630279828004	127.4113611414508	0.009475328117815013	0.02176615604607871	0.00945265729998108	1.2443908686161215e-07	1599.565890624997	6.613819304709816e-08	-0.00484380800680204	0.021740024466073447	-0.004843808006888784	127.56428952652563	0.009464003067055264	0.021740024466138468	0.009464003066972353	1.2429035544485466e-07	-0.0006024524759716842	0.0	0.0	0.0	0.0017983819413793973	0.0	0.0	0.0	-0.0005971005245747835	127.56429631793864	0.0015987752804092947
