6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
2	5.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998326457547673	4.858528045891463e-23	1.9770278384507405e-22	-5.479244377551255e-24	1.000499999999997	1.880280794006538e-21	3.441071348220595e-25	-9.224718191191364e-23	0.9998334807312355	2.8915126370990556e-06	-0.0015373236456980134	0.0037454799253021785	-0.0015383497550326855	35.10097694683909	0.004583941559012798	0.003745483051478354	0.0045808878003036155	-8.394474949329662e-07	1599.565890624997	2.890548935392465e-06	-0.0015378370459004918	0.0037442347348195884	-0.001537837044050469	35.11269916858604	0.00458241762068824	0.0037442347330852734	0.004582417620475697	-8.391684193399391e-07	-0.00016736825051701448	0.0	0.0	0.0	0.0004998750416481077	0.0	0.0	0.0	-0.00016653313463751063	35.11269973987319	0.0004445507509530659
4	10.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999656497970126	-8.80067232197218e-22	-8.405902028992472e-21	-4.108109794183357e-23	1.0010000000000205	-1.0965053260443731e-20	4.564978190108645e-22	-7.930345968668387e-22	0.9995704922691643	0.005306535148337466	0.0194096531895155	-0.17053175930783632	0.019435752967106028	47.88492978993324	0.17541407894795102	-0.17051707146525072	0.1751635659366454	0.0037763682342833757	1599.565890624997	0.005303511813747517	0.0194246657799093	-0.17041993750438664	0.019424679680566964	47.921966867821915	0.17529905568930385	-0.17041992141424256	0.17529904794869625	0.0037738919781996902	-0.0003435610402100852	0.0	0.0	0.0	0.0009995003331040528	0.0	0.0	0.0	-0.00042959999570129465	47.919311074711665	0.0009253881232748931
6	15.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994786206058831	-5.954641619197731e-22	5.2233345483620497e-20	-9.732408563951911e-22	1.0015000000000012	2.2289036732286474e-20	1.6563729283557843e-21	7.702070589383353e-21	0.9992621269087224	-0.0013867865943944682	0.0564844649093424	-0.2730951315332577	0.056598701379007334	50.61629915197062	0.2780129940593702	-0.2730359902207602	0.2773917893384389	0.0005889322702710985	1599.565890624997	-0.001385732024471897	0.05655566100839877	-0.27282834945922685	0.05655566138397698	50.68009869497904	0.2777414078075528	-0.27282836235340835	0.2777414290728838	0.0005883569521698766	-0.0005215153596149924	0.0	0.0	0.0	0.0014988761237366137	0.0	0.0	0.0	-0.0007381454536147024	50.68507808332005	0.0014246384243933926
8	20.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9992952770948033	4.194083638329668e-21	4.401352600522796e-20	1.767757760919725e-21	1.0020000000000018	3.342857877986459e-20	7.204015216397825e-22	2.6317313671191113e-21	0.9989520824859385	-0.006241861434875623	0.07569923064854608	-0.314833431286631	0.07590406282035234	51.74671687059608	0.29845264457514065	-0.3147253222621282	0.2975448172695749	-0.005412258541356261	1599.565890624997	-0.006235937377610968	0.07583208101746841	-0.3144266048746005	0.0758320234104008	51.83753114133411	0.29806698534556864	-0.3144266211693259	0.29806700142397813	-0.005405264844040308	-0.0007049713391081986	0.0	0.0	0.0	0.001998002662675052	0.0	0.0	0.0	-0.001048466963504777	51.848948841720755	0.0019267148137889485
10	25.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9991080675872306	1.1423086326671495e-20	5.630905626757137e-20	4.894156369235347e-21	1.0024999999999658	-2.636813564802637e-20	1.1350241493207625e-22	3.913292216314868e-21	0.9986443206933652	0.003615147914473925	0.08333152116171744	-0.33395774016746493	0.08361443603953372	52.42643141371178	0.29596268978161777	-0.33380273225024437	0.29482440415019934	0.003959731522140087	1599.565890624997	0.003611027978923213	0.08351913876760866	-0.33342231802043987	0.08351914641494802	52.54446743909734	0.2954881836997323	-0.33342232022394347	0.2954881895712962	0.003953383030405283	-0.0008923304211658803	0.0	0.0	0.0	0.0024968801985528147	0.0	0.0	0.0	-0.001356599071190987	52.54655062303229	0.0024290645884352427
12	30.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9989185386490305	6.531682814514723e-21	-1.5528146802244737e-19	6.362911499774304e-21	1.002999999999998	1.1925546270982745e-19	-1.1443415117405597e-21	2.552703193140285e-20	0.9983382540745686	-0.0039035412128081955	0.08631366860933459	-0.3434600884656486	0.08666628079018118	52.927249078498875	0.2887681920082077	-0.3432605386883627	0.2874260661231913	-0.005234186282617986	1599.565890624997	-0.003898343672674321	0.08655094023646477	-0.342803518851978	0.08655088519215788	53.072743236153315	0.28821617322455756	-0.3428034894786978	0.2882161849014505	-0.005224180439782474	-0.0010820465522494477	0.0	0.0	0.0	0.002995508979796378	0.0	0.0	0.0	-0.001663128156682127	53.08318449114124	0.002931325635548388
14	35.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9987277988246742	1.7509970964759304e-20	1.2333138525201516e-19	4.455816819031247e-21	1.0034999999999796	1.4064304462799854e-19	4.048817487875556e-21	3.94717353420504e-21	0.9980336429503471	0.0017221040108468244	0.08749636059713924	-0.34868774822658116	0.08791440927116986	53.36947735116525	0.28160336603253383	-0.348445396827595	0.2800693997097478	0.0011493855760850472	1599.565890624997	0.0017194787782226272	0.0877804230164314	-0.3479142145074751	0.08778038962200697	53.54274470479305	0.2809786532339116	-0.34791421507681713	0.28097866257174914	0.001146835763239951	-0.0012730111102473478	0.0	0.0	0.0	0.003493889254235924	0.0	0.0	0.0	-0.0019682928677651115	53.547130068708086	0.0034332423722952385
16	40.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9985362785081521	1.0061745561756224e-20	-1.6772268795171852e-19	9.918755812347857e-22	1.0039999999999936	1.334483467740205e-19	1.1944858622180144e-20	6.51961259501635e-21	0.9977299456448523	0.0019793215548934823	0.0879333777413908	-0.3522200232149142	0.0884145079588055	53.7704013406479	0.27549546313901285	-0.35193560603124696	0.2737749734711239	0.0015343672778287281	1599.565890624997	0.0019759212603093017	0.0882626373723248	-0.35133100693576036	0.08826261986774113	53.97174038795099	0.27480010246835	-0.35133101263801597	0.27480010237029084	0.0015304944784468532	-0.0014647937786313107	0.0	0.0	0.0	0.0039920212695310426	0.0	0.0	0.0	-0.0022726348344939426	53.97573281546062	0.003934896687704516
18	45.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9983442967516905	1.666473796251792e-20	1.3891679148149426e-19	3.062447620797923e-21	1.004500000000012	1.289387433628386e-19	1.020505294851981e-20	-2.200761003556123e-20	0.9974269707456539	0.0008701027934606059	0.08806990151794543	-0.3550831662611464	0.08861291605402583	54.148793996043125	0.2706844216633015	-0.3547569157865892	0.2687784387888644	0.0005415450741262382	1599.565890624997	0.0008684393914986241	0.08844352875792975	-0.3540786994879838	0.08844351204851178	54.3785145259917	0.26991870384446925	-0.3540787162058258	0.26991870288046804	0.0005400131399631592	-0.0016570754397698508	0.0	0.0	0.0	0.004489905272863938	0.0	0.0	0.0	-0.002576345183327215	54.383493850212595	0.004436272816291058
