6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
2	2.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9999331859138991	5.069789974337506e-24	-6.520168460387985e-23	-1.670904837357116e-24	1.000200000000001	3.0881960989054733e-22	2.9149844786368695e-24	1.584878053651601e-23	0.9999338800589291	6.786390045841057e-13	-0.0004941626033711738	0.0027412009144679936	-0.0004942944617245771	14.158906776155405	0.0007274803459988812	0.002741202817386139	0.0007272867876837073	2.0839840552885903e-11	1599.565890624997	6.785481694881194e-13	-0.000494228300946187	0.0027408359103577116	-0.0004942283009461907	14.160789164328216	0.0007273834784854358	0.002740835910357724	0.000727383478485407	2.0837065627699198e-11	-6.681631826135261e-05	0.0	0.0	0.0	0.0001999800026675767	0.0	0.0	0.0	-6.612212709030524e-05	14.160790041972948	0.00017763326904626024
4	4.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999866353989382	-7.415343319292872e-23	-3.9277182461977923e-22	1.8793543517204787e-24	1.0003999999999935	-8.723777612229251e-23	4.6719160996995e-24	-5.955700410381799e-25	0.9998677425139985	-8.583299425813513e-12	-0.0009883614006171606	0.005482594259831628	-0.0009888889062346423	28.32631037553052	0.0014554063112486113	0.005482601873566219	0.0014546319700807365	-5.7782196718342285e-12	1599.565890624997	-8.581002380626355e-12	-0.0009886242617906022	0.00548113463076913	-0.0009886242617905808	28.3338439428875	0.0014550188389592235	0.005481134630769083	0.001455018838959208	-5.776681338526503e-12	-0.0001336549420419013	0.0	0.0	0.0	0.00039992002132045463	0.0	0.0	0.0	-0.00013226623279407072	28.333845697190373	0.00035525464391646507
6	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997995042228784	-1.750645048407228e-23	-1.3781490749623484e-22	-5.9557004103817994e-24	1.000599999999987	2.321664368864834e-22	7.808584982500581e-24	-1.8687664398798e-23	0.9998015873617156	-6.869877713575056e-13	-0.0014825963387136295	0.008224179771049672	-0.0014837833888204982	42.50221249604723	0.0021837779609363075	0.00822419690659346	0.002182035450519368	2.0860052817039956e-12	1599.565890624997	-6.867120782182853e-13	-0.0014831879358603273	0.00822089647714433	-0.0014831879358603653	42.51917206014734	0.0021829061433120134	0.008220896477144227	0.002182906143312014	2.085172497326902e-12	-0.0002005158790868293	0.0	0.0	0.0	0.0005998200719549005	0.0	0.0	0.0	-0.00019843232467615086	42.51917469006835	0.0005328641403785292
8	8.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997326366108238	3.42320424698945e-23	-5.344116152684592e-22	-2.658889360990452e-23	1.0008000000000166	-6.689045654246811e-22	1.5961277099823221e-23	-3.0969642133985358e-24	0.9997354145986067	7.988746062240204e-13	-0.001976867365473945	0.010965957183079652	-0.0019789779656222395	56.68661483613076	0.0029125953601303527	0.0109659876545216	0.0029094971322121484	3.553236177511465e-12	1599.565890624997	7.984472748968742e-13	-0.001977919377375678	0.010960121765236459	-0.0019779193773755664	56.71678124714956	0.0029110454533916386	0.010960121765236376	0.0029110454533917084	3.5513453605546473e-12	-0.0002673991371390873	0.0	0.0	0.0	0.0007996801705813279	0.0	0.0	0.0	-0.0002646204102857486	56.71678475168201	0.000710461774203855
10	10.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996657491670881	-1.766526916168246e-23	1.0326125720417973e-21	-1.4187801866509532e-23	1.0009999999999997	1.7951010432482775e-21	7.570356966085309e-24	-1.4103098571784101e-22	0.9996692167745361	1.0358210392798911e-10	-0.00247476209258753	0.01369185791633076	-0.0024780651500204247	70.87750844537892	0.00365962027639977	0.013691905410194119	0.0036547549804203435	9.061955617145622e-11	1599.565890624997	1.0351286562226817e-10	-0.0024764087149223503	0.013682753208250556	-0.002476408714922254	70.92466792337164	0.003657186729798233	0.013682753208250563	0.003657186729798226	9.055929666464962e-11	-0.00033430670717261884	0.0	0.0	0.0	0.0009995003330834232	0.0	0.0	0.0	-0.0003308379463022627	70.92467229535029	0.0008880506980694572
12	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995987677302837	8.01041705196352e-23	6.461273200774209e-23	-5.402482016706334e-23	1.0012000000000036	-7.403862052390636e-22	-7.358598729271735e-24	-1.0746730518288935e-22	0.9996027007358352	2.2078679779652737e-09	-0.003071607449010038	0.01570845519163029	-0.003076527780169798	84.99639442626948	0.005132917502044357	0.015708516997871038	0.005124728523471298	2.2817049047212103e-09	1599.565890624997	2.2060981930997668e-09	-0.003074061694175955	0.015695925350217643	-0.0030740616941728103	85.06430739809414	0.005128823232970777	0.015695925350218257	0.005128823232972481	2.279884903947241e-09	-0.00040131278492105065	0.0	0.0	0.0	0.0011992805754859571	0.0	0.0	0.0	-0.0003973782084277737	85.0643123706183	0.0010657531357391307
14	14.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999530753699301	6.702148195149652e-23	5.057316090700207e-22	-1.0466150854510949e-22	1.0013999999999952	1.6898836693315325e-21	-5.108667463127499e-24	-2.3663982963917016e-23	0.999531811804512	8.052217933493199e-06	-0.004645905138810591	0.005903822781083551	-0.004654593553872967	97.9737071773174	0.016708398994068292	0.005903829020749676	0.016677228202704963	8.935866833161589e-06	1599.565890624997	8.044727034902767e-06	-0.004650263434528159	0.00589833675720887	-0.004650263431591165	98.06561572380451	0.01669287300706156	0.005898336747086076	0.016692873010354943	8.92756333547789e-06	-0.00046935643119792685	0.0	0.0	0.0	0.0013990209137027523	0.0	0.0	0.0	-0.00046829782980174463	98.06561236280977	0.0012452321794587584
16	16.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994600011103553	-2.822737296724956e-22	5.432631095672667e-21	-1.4823076576950255e-22	1.0015999999999925	2.731893013131932e-21	6.360688038287762e-23	-4.2510466040325195e-22	0.9994455711386424	0.00016829688755076158	-0.0051650035618103765	-0.05111480941568362	-0.0051760622833412605	107.08339541047133	0.061449993756906275	-0.051114071441889085	0.06131781455079326	0.0005208596859533915	1599.565890624997	0.00016812125395787274	-0.005170660928572441	-0.051060729102519006	-0.005170660576696119	107.20068672202888	0.06138497864789332	-0.051060729112478456	0.06138497759566065	0.0005203086077971157	-0.0005401447415540844	0.0	0.0	0.0	0.0015987213636897578	0.0	0.0	0.0	-0.0005545826138710369	107.20043208812237	0.0014307476435686142
18	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993879782931383	-4.836558128822055e-22	3.641500519364644e-21	-1.9100592960584473e-22	1.0017999999999845	3.1414334431293866e-21	1.403957110074003e-22	-5.454892180317694e-22	0.9993432437017986	-0.00030365957418749455	-0.00048334450415935074	-0.14766746002632702	-0.00048450830462468277	112.47148750326429	0.13939021659914083	-0.14766085145068178	0.13904838020114804	0.00017159126064818502	1599.565890624997	-0.00030331317187918047	-0.00048395834533665407	-0.14749240473449787	-0.0004839555975494378	112.61432481641867	0.13922497372816206	-0.14749240604622849	0.13922496981925747	0.0001713878444168586	-0.0006122090685967328	0.0	0.0	0.0	0.0017983819413641038	0.0	0.0	0.0	-0.000656972057091292	112.61493872583144	0.0016221875491086357
