6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
2	2.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9999331859138991	-4.2069578773834436e-23	2.8355089653827744e-22	2.9679240378402634e-24	1.000200000000001	-5.431532599819196e-22	9.694556779121484e-25	-1.3003279229333596e-23	0.9999338800589291	-6.143745903512687e-12	-0.0004941626033690136	0.0027412009144703	-0.0004942944617224176	14.158906776127674	0.0007274803460053151	0.0027412028173884532	0.0007272867876901518	1.4040269447936071e-11	1599.565890624997	-6.142923569776313e-12	-0.0004942283009440266	0.0027408359103600175	-0.0004942283009440315	14.160789164300482	0.0007273834784918688	0.0027408359103600383	0.0007273834784918523	1.4038399918405809e-11	-6.681631826135261e-05	0.0	0.0	0.0	0.0001999800026669107	0.0	0.0	0.0	-6.612212709074936e-05	14.160790041952025	0.00017763326904596372
4	4.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998663539893822	2.2704453453355504e-23	5.684385169464406e-23	1.7959745459751337e-23	1.0003999999999935	-5.858357795896559e-22	-3.2226956665065957e-24	-2.5013941723603557e-24	0.9998677425139983	1.0278004098848715e-12	-0.0009883614006054768	0.0054825942598306365	-0.0009888889062230214	28.326310375510275	0.0014554063112548787	0.005482601873565154	0.0014546319700869767	3.7793807076969e-12	1599.565890624997	1.0275253520233877e-12	-0.0009886242617789156	0.005481134630768138	-0.0009886242617789633	28.333843942867247	0.001455018838965489	0.00548113463076802	0.00145501883896545	3.778374524554782e-12	-0.00013365494204167923	0.0	0.0	0.0	0.00039992002131978877	0.0	0.0	0.0	-0.0001322662327946259	28.333845697160537	0.00035525464391613113
6	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997995042228786	3.930431398606966e-23	-7.6590307277509935e-22	1.732447074931061e-23	1.000599999999987	-7.234720160735793e-22	4.1954600668689564e-24	6.058932550828417e-23	0.9998015873617153	9.90454639745314e-13	-0.0014825963387082052	0.008224179771047361	-0.0014837833888150735	42.50221249606664	0.002183777960936197	0.008224196906591241	0.002182035450519243	3.770474014605507e-12	1599.565890624997	9.9005716315878e-13	-0.0014831879358549013	0.008220896477142017	-0.0014831879358549434	42.51917206016677	0.0021829061433119024	0.008220896477142012	0.0021829061433118893	3.768968749071962e-12	-0.00020051587908671828	0.0	0.0	0.0	0.0005998200719546787	0.0	0.0	0.0	-0.00019843232467626188	42.51917469008609	0.000532864140378381
8	8.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999732636610824	-2.5460619254382193e-23	3.441203697118604e-22	1.4227506535912075e-23	1.0008000000000141	-3.3398376761339054e-21	1.3155480462043352e-23	7.763586357177696e-23	0.9997354145986065	2.2137940881503117e-12	-0.001976867365476206	0.010965957183075817	-0.001978977965624547	56.686614836139135	0.0029125953601365096	0.010965987654517903	0.002909497132218276	5.041987695408867e-12	1599.565890624997	2.2126098928558706e-12	-0.00197791937737794	0.01096012176523265	-0.0019779193773778784	56.71678124715795	0.0029110454533977986	0.01096012176523271	0.0029110454533978394	5.039304655117212e-12	-0.0002673991371388652	0.0	0.0	0.0	0.0007996801705779998	0.0	0.0	0.0	-0.000264620410286637	56.71678475168895	0.0007104617742018569
10	10.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999665749167088	-1.2549653381409515e-22	-8.602678370551488e-22	-4.7116207691020454e-24	1.0009999999999997	-8.582296640258182e-22	1.138200522872966e-23	-7.263307522705626e-23	0.9996692167745361	8.932652373772748e-11	-0.002474762092559032	0.0136918579163766	-0.002478065149991919	70.87750844568973	0.003659620277640879	0.013691905410240035	0.0036547549816597427	7.640438071804257e-11	1599.565890624997	8.92668144160642e-11	-0.0024764087148938336	0.013682753208296367	-0.0024764087148937673	70.92466792368265	0.003657186731038517	0.013682753208296448	0.00365718673103845	7.635357391105268e-11	-0.0003343067071727299	0.0	0.0	0.0	0.0009995003330832014	0.0	0.0	0.0	-0.0003308379463027069	70.92467229567552	0.0008880506980694938
12	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995987677316038	-1.2992691317492917e-22	-6.240779936692075e-22	1.987880448087436e-23	1.0011999999999843	3.412431046691559e-21	-2.9646153153900512e-24	9.502650877009182e-23	0.9996027007370478	2.2306202877072495e-09	-0.0030716073263945378	0.01570845521098956	-0.003076527657353889	84.99639496834725	0.005132920315866146	0.015708517017229053	0.005124731332810099	2.3044723745958837e-09	1599.565890624997	2.2288322650214853e-09	-0.0030740615714546947	0.015695925369541043	-0.0030740615714516784	85.0643079403895	0.0051288260445414464	0.015695925369542018	0.005128826044542977	2.302634213357981e-09	-0.00040131278360035455	0.0	0.0	0.0	0.001199280575466219	0.0	0.0	0.0	-0.00039737820721470616	85.06431291289138	0.0010657531348812535
14	14.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995307547416987	1.3631936494873897e-22	-1.2145923068034634e-21	8.168573985083659e-23	1.0013999999999843	1.92430003748416e-21	4.129285617864714e-24	3.3775438771765227e-23	0.9995318126352459	8.057194758678485e-06	-0.004645476346939922	0.005903282850221311	-0.004654163955060591	97.97410817854102	0.016711319454268788	0.005903289088188993	0.016680143228488566	8.940513886782263e-06	1599.565890624997	8.049699223506671e-06	-0.004649834231696574	0.00589779732191725	-0.004649834228565775	98.06601691742827	0.01669579073606394	0.005897797311917576	0.016695790739418653	8.932206061590226e-06	-0.0004693553883108328	0.0	0.0	0.0	0.0013990209136916657	0.0	0.0	0.0	-0.00046829699867914116	98.06601355293682	0.0012452315547215405
16	16.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994600269561311	1.0503208545953324e-22	-2.915381525330895e-21	1.1773757966834776e-22	1.0015999999999987	4.784465602565916e-21	1.1871696151361054e-22	1.6792428179316505e-22	0.9994455839163933	0.00016719341813091224	-0.00513534647634843	-0.051171341663967945	-0.005146341568012263	107.09167904944057	0.0615546301990019	-0.051170602198684516	0.061422226719603915	0.0005186379946388323	1599.565890624997	0.00016701893397658661	-0.005140971160239661	-0.05111720021687249	-0.005140970811995645	107.20897529124403	0.06148950279280089	-0.05111720022059959	0.06148950175368086	0.0005180892536710299	-0.000540118881814335	0.0	0.0	0.0	0.0015987213636955216	0.0	0.0	0.0	-0.0005545698290324217	107.20872256738946	0.0014307348062654838
18	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993881146932312	7.792703114739563e-23	-3.4701881057824616e-21	5.497243827680409e-22	1.0017999999999962	1.1070720620613705e-21	5.089079826222243e-22	-2.9053230090822504e-22	0.9993432736466772	-0.0002983709407372548	-0.00034743455249764505	-0.14804936524275836	-0.00034827033148816827	112.50716914710173	0.14006193381932655	-0.1480427237434153	0.1397184544127712	0.00016911624854199503	1599.565890624997	-0.0002980305625533285	-0.0003478757319166136	-0.1478738370315279	-0.0003478730286454234	112.6500330250819	0.13989587555447366	-0.14787383828383674	0.13989587173092188	0.0001689157433081637	-0.0006120725849822191	0.0	0.0	0.0	0.0017983819413747426	0.0	0.0	0.0	-0.0006569420925344185	112.65064934767761	0.0016221330544025938
