6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
2	2.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999933185913899	-1.1918845446276576e-23	7.897258744166265e-23	4.063111168860472e-24	1.000200000000001	5.185727608992939e-22	6.617444900424222e-26	3.0698326893067965e-23	0.9999338800589289	-1.799694013693981e-11	-0.0004941626033795957	0.002741200914488539	-0.0004942944617330121	14.158906776125884	0.0007274803460102924	0.0027412028174066258	0.0007272867876951314	2.1503674179843003e-12	1599.565890624997	-1.7994531265992746e-11	-0.0004942283009546101	0.002740835910378254	-0.0004942283009546246	14.160789164298693	0.0007273834784968454	0.002740835910378208	0.0007273834784968328	2.1500810862010383e-12	-6.681631826146364e-05	0.0	0.0	0.0	0.0001999800026675767	0.0	0.0	0.0	-6.612212709097142e-05	14.160790041962104	0.00017763326904651858
4	4.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999866353989382	5.130339595176388e-23	2.86647860751676e-22	1.368487605407729e-23	1.0003999999999935	-1.116561478048579e-22	-1.462455322993753e-24	1.843620149258188e-23	0.9998677425139986	9.895377108860847e-12	-0.0009883614006113688	0.005482594259835707	-0.0009888889062289	28.32631037552962	0.001455406311247961	0.005482601873570079	0.001454631970080071	1.2625945471425593e-11	1599.565890624997	9.892728928103902e-12	-0.0009886242617848091	0.005481134630773208	-0.0009886242617848401	28.3338439428866	0.0014550188389585734	0.005481134630772942	0.0014550188389585424	1.2622584070585388e-11	-0.0001336549420419013	0.0	0.0	0.0	0.0003999200213211205	0.0	0.0	0.0	-0.00013226623279351553	28.33384569717103	0.0003552546439167246
6	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997995042228782	-8.158316945488001e-23	5.064992326784699e-23	2.915646223126912e-23	1.000599999999987	7.957477492760126e-22	1.1024663204106752e-23	-1.0643498377842317e-22	0.9998015873617159	-4.697177053997886e-12	-0.0014825963387125937	0.008224179771042374	-0.0014837833888194645	42.50221249604965	0.0021837779609211465	0.008224196906586254	0.002182035450504211	-1.9339309147159423e-12	1599.565890624997	-4.695292043016537e-12	-0.001483187935859291	0.008220896477137035	-0.0014831879358593318	42.51917206014977	0.002182906143296859	0.008220896477137021	0.0021829061432968506	-1.933158842149286e-12	-0.0002005158790870514	0.0	0.0	0.0	0.0005998200719544568	0.0	0.0	0.0	-0.00019843232467570666	42.519174690074784	0.0005328641403781601
8	8.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997326366108241	9.817972126514396e-23	4.799765135175696e-22	2.7594745234769e-23	1.0008000000000166	5.92248083698167e-22	3.5548914005078917e-23	-7.808584982500581e-24	0.9997354145986067	-5.912557197312873e-12	-0.0019768673654664984	0.0109659571830795	-0.0019789779656148886	56.686614836138425	0.0029125953601297425	0.010965987654521479	0.002909497132211479	-3.095931566665655e-12	1599.565890624997	-5.90939447207004e-12	-0.001977919377368227	0.010960121765236305	-0.0019779193773682203	56.71678124715722	0.002911045453391028	0.010960121765236258	0.0029110454533910384	-3.094284099508175e-12	-0.0002673991371387541	0.0	0.0	0.0	0.0007996801705806623	0.0	0.0	0.0	-0.0002646204102861928	56.716784751696345	0.0007104617742034474
10	10.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996657491670814	8.033247236869984e-23	7.007874149549251e-22	2.0461139632111693e-23	1.001000000000002	-6.035639144778924e-22	5.960994366302138e-23	-1.0336448934462633e-22	0.9996692167745165	9.89078390864831e-11	-0.0024747621060015575	0.013691857905276186	-0.002478065163452442	70.87750843965878	0.003659620337399637	0.013691905399139304	0.0036547550413390424	8.591320571280092e-11	1599.565890624997	9.884172524112346e-11	-0.0024764087283453686	0.01368275319720339	-0.0024764087283453357	70.92466791764956	0.003657186790757552	0.013682753197203372	0.0036571867907575543	8.585607579931375e-11	-0.0003343067071792824	0.0	0.0	0.0	0.000999500333085863	0.0	0.0	0.0	-0.00033083794632214223	70.92467228963291	0.0008880506980799142
12	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995987677165373	-4.5064799771888945e-23	-2.551660283823978e-21	-2.72109334305444e-23	1.0011999999999845	-5.532713332346683e-22	4.663975165818991e-23	-3.245194979168038e-23	0.9996027006953853	2.1834315294070457e-09	-0.0030716352142951117	0.01570842485633783	-0.003076555589973678	84.9963828464833	0.005133040163577457	0.015708486662039767	0.005124850989104589	2.2620154055720542e-09	1599.565890624997	2.1816813324209676e-09	-0.0030740894818124414	0.01569589503933826	-0.003074089481809337	85.06429581366763	0.005128945796733597	0.01569589503933906	0.005128945796735123	2.260211110148342e-09	-0.0004013127986729057	0.0	0.0	0.0	0.0011992805754664406	0.0	0.0	0.0	-0.0003973782488940496	85.06430078622289	0.0010657531537659139
14	14.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995307485390841	-2.7846208140985125e-23	-2.20757961878152e-22	-6.162164691275035e-23	1.0014000000000152	-3.720592220814514e-21	2.776679880218003e-23	-2.0858186326137147e-23	0.9995317942945655	8.704087786803184e-06	-0.004656912134589188	0.005876283901940411	-0.004665621157706232	97.96885298137406	0.016755972602458025	0.005876290039469051	0.016724712765830343	9.663427412218584e-06	1599.565890624997	8.695990612482133e-06	-0.004661280861624932	0.005870823498395474	-0.004661280858210722	98.06075919826435	0.016740402494933592	0.005870823487892815	0.016740402498149416	9.654447891457088e-06	-0.0004693615938374101	0.0	0.0	0.0	0.0013990209137220433	0.0	0.0	0.0	-0.00046831534795084746	98.06075516937288	0.0012452397362527866
16	16.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994599578079121	-3.748120791600279e-23	9.04652363491274e-21	-3.726944967918921e-23	1.0015999999999998	4.287257262527641e-21	4.065758146820642e-23	-5.953582828013664e-22	0.9994453745637586	0.0001854901345991907	-0.005235186897869083	-0.05157054943767075	-0.005246396090735467	107.03193185162587	0.061890621442375296	-0.051569796972235286	0.06175748221365793	0.0005660883119666478	1599.565890624997	0.00018529659468468374	-0.005240922396191749	-0.051515989176003696	-0.005240922014968232	107.14919251062098	0.06182514282061436	-0.05151598918284145	0.06182514167693185	0.0005654894056768304	-0.0005401880673941147	0.0	0.0	0.0	0.00159872136369663	0.0	0.0	0.0	-0.0005547792978218865	107.14890816500008	0.0014308281640423041
18	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993878785648674	9.770525046578354e-22	-1.3480582295111393e-20	3.8963515573697815e-23	1.001799999999999	-1.0136443279792213e-20	-9.613823951336309e-23	5.135137242729195e-22	0.9993425895724937	-0.0003381396772348264	-0.0006459100539481754	-0.1491507332313025	-0.0006474659086616052	112.30990576655189	0.14054221724398497	-0.14914397566423548	0.1401974635068512	0.0001853884599929204	1599.565890624997	-0.0003377541625282507	-0.0006467308391007652	-0.14897393443011853	-0.0006467277295995185	112.45262270148496	0.14037562271919682	-0.1489739358851539	0.1403756183378122	0.0001851687060784072	-0.0006123088579458202	0.0	0.0	0.0	0.0017983819413785107	0.0	0.0	0.0	-0.0006576266164963315	112.45325788160858	0.001622444100426643
