6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
2	5.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999832931336607	-6.09797547574092e-23	-2.1918300999185106e-22	7.451242957877673e-24	1.000499999999992	-4.403909581232319e-22	-3.692534254436716e-24	6.972139947086959e-23	0.9998346671389882	-3.0671325268200736e-11	-0.0012354743551399136	0.0068533630112738025	-0.0012362986390787097	35.41319901457182	0.0018195364214911088	0.00685337490934538	0.0018183264291141716	2.9028069847142347e-11	1599.565890624997	-3.066106655142224e-11	-0.0012358851311039367	0.00685108264347277	-0.0012358851311039874	35.42497335120927	0.0018189309943071775	0.006851082643472719	0.0018189309943070632	2.9018411132771617e-11	-0.0001670826209167418	0.0	0.0	0.0	0.0004998750416434471	0.0	0.0	0.0	-0.00016534652999527661	35.42497554344549	0.00044406087596507963
4	10.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996657511496487	-9.066230385826204e-23	-1.2305535839032864e-21	-5.399835038746164e-24	1.0010000000000248	-2.6975352392089295e-21	-1.072026073868724e-23	-4.208694956669805e-24	0.9996692242211905	-1.686251082429896e-11	-0.0024711744279796474	0.013707926230642677	-0.0024744726920600444	70.87951909391444	0.003641858574018674	0.013707973855169434	0.003637016918493984	1.017587354656957e-12	1599.565890624997	-1.6851239140906773e-11	-0.002472818639880266	0.013698810810408251	-0.002472818639880075	70.92667924071945	0.0036394368312416877	0.013698810810408076	0.0036394368312417163	1.0169106851003013e-12	-0.0003343047239490555	0.0	0.0	0.0	0.0009995003331078236	0.0	0.0	0.0	-0.00033083049718406486	70.92668361886292	0.0008880475611020973
6	15.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994984508349236	-1.8528183976697777e-22	-7.523770153986323e-22	-6.405686663610646e-24	1.00149999999999	1.8481200117904764e-21	-3.216078221606172e-23	4.42045319348338e-23	0.9995036155625886	4.782716400143787e-06	-0.0038140948932412575	0.020604933479557955	-0.003821732820281249	106.38522169205618	0.005520280178653129	0.020605039950838497	0.005509276079437946	3.6998552992948857e-06	1599.565890624997	4.777924758031036e-06	-0.003817903957381448	0.020584396457858693	-0.003817903955177562	106.4914665927039	0.005514778092760571	0.020584396456869172	0.005514778088837288	3.696167638345088e-06	-0.0005016749829298664	0.0	0.0	0.0	0.001498876123726415	0.0	0.0	0.0	-0.0004965076769505116	106.4914689576874	0.001331981643466994
8	20.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993276974914655	-8.673617379884036e-22	-3.0490433244076235e-20	-2.8460307027744493e-22	1.0020000000000227	-1.6221527972867106e-20	3.195431793516848e-22	1.5720931501039815e-21	0.9992614872371004	0.0008628774634294271	0.0015376418258754914	-0.1862823891557391	0.0015417495618167067	124.78692426134431	0.14469453572422994	-0.18627003155955651	0.14429908088616844	0.0008527631496339467	1599.565890624997	0.0008617915972166653	0.0015398134536876004	-0.18603564024731056	0.001539809386266098	124.96316215417035	0.14450287392030237	-0.18603562477262212	0.1445028760041477	0.0008516335829729548	-0.0006725286052085281	0.0	0.0	0.0	0.001998002662694996	0.0	0.0	0.0	-0.0007387855977870517	124.96297155317747	0.0018028457273388835
10	25.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9991617887758432	-2.9629212494955428e-21	-1.2211885758802061e-20	-1.0672615135404184e-21	1.0025000000000148	3.778783384290885e-20	1.4854840312472292e-21	-7.979050363135509e-22	0.9989616692091021	-0.012317610481639556	0.014612553235168503	-0.425587884434021	0.014661317356581008	131.81395015148286	0.3823961255219219	-0.4255026848675391	0.3810464370686846	-0.008616874810949816	1599.565890624997	-0.01229966436874986	0.01464001309304189	-0.42488270947000767	0.01463995658561126	132.0616544560378	0.381762516850443	-0.42488274975683854	0.3817624981729058	-0.008602597138565414	-0.0008385627196170081	0.0	0.0	0.0	0.002496880198601986	0.0	0.0	0.0	-0.0010388702297565216	132.07581357389202	0.0022933155837953096
12	30.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9989970391247448	-4.8297818652440205e-21	1.23266798989787e-19	-3.322063219131366e-21	1.0030000000000074	-1.6920160747762454e-19	-5.846644918422808e-22	5.1990882302468954e-21	0.9986502691285593	0.01008730750408903	0.06105714257585849	-0.5853250225180647	0.06130179725289234	136.4661643824303	0.5687824688913828	-0.585121870341462	0.5663158127819452	0.0062857244063310065	1599.565890624997	0.010070728869454561	0.06120104692432116	-0.5841601894340869	0.06120104686943472	136.78779873418947	0.5676505565147326	-0.5841602141511363	0.5676505511045132	0.006273215425058066	-0.0010034641770700064	0.0	0.0	0.0	0.002995508979805898	0.0	0.0	0.0	-0.001350642578618629	136.78694365896777	0.0027889206403079957
14	35.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9988305091169013	1.7584403984999276e-21	4.589499793931657e-20	1.8973538018496328e-22	1.0034999999999688	-3.355775130432087e-20	1.624609192833748e-21	-1.5517643593698782e-20	0.9983350339634226	-0.0017941463592713544	0.10810356171057522	-0.7007882066821001	0.10860894980624206	139.88525739585938	0.6890617933779718	-0.7004406690900296	0.6855150881069229	0.0011506939281222	1599.565890624997	-0.0017908704871882086	0.10841063589451723	-0.6991616658668106	0.10841064434202423	140.28260925532314	0.6874624697585117	-0.699161757800594	0.6874623318695654	0.0011480231488166265	-0.001170175271203994	0.0	0.0	0.0	0.003493889254225082	0.0	0.0	0.0	-0.0016663536329430896	140.29333626341966	0.003287275045741407
16	40.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9986613473010872	7.03376159399971e-21	-2.2582957164983716e-21	-1.1045309632196077e-21	1.004	2.7029160160063624e-19	1.1384122811097797e-21	1.531435568635775e-20	0.9980191678402686	0.0002803907817001289	0.14692805040426093	-0.7727617834542693	0.14771369669828255	142.490801550119	0.7626796601347752	-0.7722648965866094	0.7581362921355871	0.007257367649931036	1599.565890624997	0.00027982797921273685	0.1474170080325653	-0.7707147706571043	0.1474172046545014	142.96499258572746	0.7606593544495552	-0.7707148006737226	0.7606592720724619	0.007238143194515119	-0.001339549494858463	0.0	0.0	0.0	0.003992021269537678	0.0	0.0	0.0	-0.0019827966023362336	142.9737645717297	0.00378704992952169
18	45.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9984893834822514	-8.331416069193298e-21	-1.6934433252923688e-19	-2.5309344463958494e-21	1.0044999999999857	-1.1255034989936242e-19	8.538092108323347e-22	1.1072414686508213e-20	0.9977040563557826	0.006584839816098274	0.1800313324196586	-0.8240836614571392	0.18111507460762763	144.57086398370697	0.8102660494147649	-0.8234355848517577	0.8047841455195639	0.007495082654201533	1599.565890624997	0.006570426110645308	0.18071862194180738	-0.8216330704042075	0.18071862770665603	145.1227792458369	0.8078565480205993	-0.8216331479951271	0.8078564980005072	0.0074727944044128015	-0.0015117586492405322	0.0	0.0	0.0	0.004489905272838075	0.0	0.0	0.0	-0.0022985833640318093	145.12981854810783	0.004287517824732572
