6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
2	2.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9999331859138989	7.485984543604901e-25	-3.392433128202477e-23	3.2392392787576563e-24	1.000200000000001	4.762144960916784e-22	1.6874484496081763e-25	3.924144825951563e-24	0.999933880058929	-2.1479446949378143e-12	-0.0004941626033769586	0.0027412009144813887	-0.0004942944617303597	14.158906776148312	0.0007274803460141094	0.0027412028173995347	0.0007272867876989431	1.806594357445235e-11	1599.565890624997	-2.14765719486669e-12	-0.0004942283009519726	0.002740835910371105	-0.0004942283009519725	14.160789164321127	0.000727383478500662	0.002740835910371118	0.0007273834785006451	1.8063538007014376e-11	-6.681631826157467e-05	0.0	0.0	0.0	0.0001999800026675767	0.0	0.0	0.0	-6.612212709063832e-05	14.160790041968658	0.00017763326904644513
4	4.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998663539893822	7.123183126939143e-23	-4.446261228595034e-22	8.397537578638336e-24	1.0003999999999935	-1.0873123715887038e-21	-1.6675961149069038e-24	-8.615913260352337e-24	0.9998677425139985	2.4201843788589082e-12	-0.0009883614006228167	0.005482594259830164	-0.0009888889062403608	28.326310375530987	0.0014554063112596043	0.0054826018735647745	0.0014546319700917242	5.144095019740668e-12	1599.565890624997	2.4195366940199835e-12	-0.0009886242617962598	0.005481134630767665	-0.0009886242617962978	28.33384394288796	0.001455018838970213	0.00548113463076764	0.0014550188389701982	5.142725509206905e-12	-0.00013365494204167923	0.0	0.0	0.0	0.0003999200213202327	0.0	0.0	0.0	-0.00013226623279451486	28.33384569717987	0.00035525464391639015
6	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997995042228784	9.711100391372545e-24	-8.59209045871081e-22	2.3836036531328045e-23	1.000599999999987	6.75111728741279e-22	6.088049308390284e-25	-4.0498762790596236e-23	0.9998015873617155	2.3901257539989118e-12	-0.0014825963387059694	0.008224179771045479	-0.0014837833888128186	42.50221249606819	0.002183777960928617	0.008224196906589319	0.0021820354505116724	5.174397424423383e-12	1599.565890624997	2.3891665793130817e-12	-0.0014831879358526646	0.008220896477140138	-0.0014831879358526894	42.519172060168316	0.0021829061433043264	0.00822089647714009	0.0021829061433043155	5.172331678294155e-12	-0.0002005158790868293	0.0	0.0	0.0	0.0005998200719544568	0.0	0.0	0.0	-0.00019843232467626188	42.51917469008624	0.0005328641403782703
8	8.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997326366108241	3.719004034038413e-24	1.9264705594114992e-22	5.769088464189836e-23	1.0008000000000166	2.373876009129181e-21	-8.960020395174396e-24	9.912932460835484e-23	0.9997354145986067	-9.180546074218088e-12	-0.001976867365464353	0.010965957183069343	-0.001978977965612725	56.686614836145075	0.0029125953601360248	0.010965987654511298	0.002909497132217787	-6.368006250784264e-12	1599.565890624997	-9.175635247344222e-12	-0.00197791937736608	0.010960121765226153	-0.0019779193773660575	56.71678124716388	0.002911045453397307	0.01096012176522608	0.0029110454533973493	-6.364617583777537e-12	-0.0002673991371387541	0.0	0.0	0.0	0.0007996801705806623	0.0	0.0	0.0	-0.0002646204102859707	56.71678475170628	0.0007104617742033735
10	10.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996657491670845	1.4002513409297653e-23	5.140431198649535e-23	6.643914680025918e-23	1.0009999999999997	1.4368325763393103e-21	-4.605741650695258e-24	-2.3928680759933985e-23	0.9996692167745288	1.1020446372914799e-10	-0.002474762093780198	0.01369185792375814	-0.002478065151214845	70.87750844322026	0.003659620314253186	0.013691905417621462	0.0036547550182234175	9.726421538666651e-11	1599.565890624997	1.1013079878063328e-10	-0.002476408716115839	0.013682753215673044	-0.0024764087161158943	70.92466792121233	0.003657186767626491	0.013682753215673043	0.003657186767626493	9.719953736465121e-11	-0.00033430670717617274	0.0	0.0	0.0	0.0009995003330834232	0.0	0.0	0.0	-0.0003308379463098147	70.92467229318436	0.000888050698073154
12	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995987677213573	-9.13869140748585e-23	-7.934581133404658e-22	7.432714112156485e-23	1.0012000000000225	-2.4667981704209378e-21	-7.040961374051372e-24	-9.206189345470177e-23	0.9996027007236844	2.2341566791907185e-09	-0.0030716100854227277	0.01570846686240533	-0.0030765304208331917	84.9963899241794	0.005132994258106914	0.015708528668641544	0.005124805157015841	2.3122930127641994e-09	1599.565890624997	2.232365821830735e-09	-0.003074064332759984	0.015695937011823365	-0.003074064332756808	85.0643028942005	0.005128899927854603	0.015695937011824198	0.005128899927856142	2.310448613421765e-09	-0.00040131279385104883	0.0	0.0	0.0	0.0011992805755050302	0.0	0.0	0.0	-0.00039737822058366113	85.06430786671712	0.0010657531427764886
14	14.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999530750115792	1.1620233245144932e-22	5.843203847074587e-22	8.549738811348094e-23	1.001400000000005	-2.6145789499372115e-21	-2.506688128280695e-23	1.5453057331470642e-22	0.9995318075928719	8.35161208646307e-06	-0.004647299051106921	0.005905338241741058	-0.004655990089402354	97.97203789877645	0.01673922237344556	0.005905344479013633	0.016707994008241907	9.262558332633759e-06	1599.565890624997	8.343842699615116e-06	-0.00465165869072262	0.00589985083080315	-0.004651658687537624	98.06394564410489	0.016723667804311	0.005899850820393849	0.016723667807533957	9.253951295775439e-06	-0.0004693600163893161	0.0	0.0	0.0	0.001399020913712287	0.0	0.0	0.0	-0.00046830204341533153	98.06394198665798	0.0012452347788884347
16	16.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994599641355003	3.324604317973129e-22	-5.162533464616952e-21	-3.3034284942917713e-23	1.0015999999999932	-2.9040524596613688e-21	-3.9413501826926665e-23	-2.384397746520855e-22	0.9994455420659215	0.00017444184153938557	-0.0051637013105859005	-0.05113512657172912	-0.005174757427051778	107.06922305217478	0.06176481673328448	-0.051134388703545204	0.06163195852334252	0.0005360619747201174	1599.565890624997	0.00017425980017946613	-0.005169357592567485	-0.05108102665241159	-0.005169357232517251	107.18650592364736	0.0616994708189208	-0.05108102665705396	0.06169946973584637	0.0005354948321016109	-0.0005401817363868926	0.0	0.0	0.0	0.0015987213636904228	0.0	0.0	0.0	-0.0005546117027200546	107.18624120977148	0.0014307696445033796
18	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993878648558594	-6.221456997582836e-22	4.4287647042783125e-21	-3.7269449679189215e-22	1.0017999999999667	8.618560238312505e-23	-4.8916152703935847e-23	-2.5876856538618877e-21	0.9993431891066118	-0.0003075107774583664	-0.0004439223919204006	-0.14770818089844961	-0.00044499100378191374	112.43548241033383	0.14036997050493796	-0.14770157919975435	0.14002572367928315	0.00017696987505932586	1599.565890624997	-0.0003071599986368077	-0.00044448624226744304	-0.14753309407926682	-0.00044448340069495537	112.57829292616003	0.14020358207949665	-0.1475330953946589	0.14020357808430625	0.0001767601027073353	-0.0006123225753506716	0.0	0.0	0.0	0.0017983819413461505	0.0	0.0	0.0	-0.0006570266881588968	112.57891005118273	0.0016222430467563718
20	20.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993162162069167	1.8736368793265125e-21	2.5715073245693305e-20	-4.476569126238977e-22	1.0020000000000038	1.1476025885874889e-20	1.7298000969708914e-23	2.270048298641525e-22	0.9992315656008555	-0.00018745291249946833	0.008243595176661522	-0.2468710310643652	0.008265737279156443	115.9010753770457	0.2357168267015564	-0.24685012123289557	0.23506555835025614	0.00022946925167841394	1599.565890624997	-0.00018722262329352545	0.008255579741913627	-0.24654685926193248	0.00825558267526596	116.06957273419127	0.23540730173118576	-0.2465468615094395	0.23540729741703456	0.0002291679305367686	-0.0006840176798458856	0.0	0.0	0.0	0.001998002662676825	0.0	0.0	0.0	-0.0007687297961961834	116.07105434418756	0.0018169093268725245
22	22.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9992452786318622	1.187540192050529e-21	7.414502903790519e-21	-3.049318610115481e-23	1.002199999999998	-4.076007245482419e-20	2.684565047204098e-22	1.1849990932087662e-21	0.9991150733181945	-8.495033123926664e-05	0.021339351103813957	-0.333794093809542	0.021402452087893608	118.46428736543224	0.3324547127524768	-0.3337506013181272	0.33143136273931517	0.0002944416282438816	1599.565890624997	-8.483892699773419e-05	0.021374383294326123	-0.3333129172010264	0.02137438481720727	118.65876673191738	0.33197546691160057	-0.33331291929784035	0.33197546394392563	0.00029401717967899763	-0.0007550063136882581	0.0	0.0	0.0	0.002197583543485429	0.0	0.0	0.0	-0.0008853184605687457	118.66146547152918	0.002013236911979798
24	24.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9991747948244658	-7.8181141031571925e-22	-9.570498216084252e-20	-6.700030612781516e-22	1.0024000000000033	-2.923195404269316e-20	1.715453476426772e-21	1.102413380851472e-21	0.9989958672558948	-2.380747001663787e-05	0.03844174417215163	-0.40854934638332924	0.0385658301551636	120.53114045068152	0.42170956383673247	-0.4084761872164013	0.42027744387458055	0.00029698355456748857	1599.565890624997	-2.3774341486054318e-05	0.03851216402238768	-0.4079077831757965	0.03851216509613461	120.7519364900419	0.4210473345544747	-0.40790778512027864	0.42104733284014606	0.000296517188084371	-0.0008255458447526198	0.0	0.0	0.0	0.0023971245997254386	0.0	0.0	0.0	-0.0010046372231259258	120.7560875913797	0.0022105636292296883
26	26.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9991044959867025	1.2197274440461924e-22	-4.530800410686934e-20	-1.5356707333720465e-21	1.0025999999999737	-4.440993742454297e-21	9.8975799886665e-22	4.8297818652440205e-21	0.9988750251325735	2.9629035732196773e-05	0.0575065550012786	-0.4733475801512731	0.057707750803151464	122.27444497234617	0.5000551320593778	-0.4732388649461747	0.4981972683829504	0.0002622475477930305	1599.565890624997	2.9585482936910635e-05	0.05762292284948495	-0.4725432323355647	0.05762292408520252	122.52187440107376	0.4992054007623948	-0.4725432339579526	0.4992053994404049	0.00026180191703228006	-0.0008959052165537373	0.0	0.0	0.0	0.0025966258472402237	0.0	0.0	0.0	-0.001125608126630757	122.52755394646431	0.002408575531752371
28	28.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9990341716353068	2.279365661061322e-21	-2.3494046978874123e-20	-2.2276966512788098e-21	1.0027999999999908	8.647655820050692e-20	1.0482032722271967e-21	-6.016475024347295e-21	0.9987531363783183	9.558380692253024e-05	0.07656058842017069	-0.5291963219845225	0.0768491821044477	123.77491987959561	0.5665570723781952	-0.5290474563905497	0.5642706928671379	0.0002082344875892831	1599.565890624997	9.543591511856054e-05	0.07673027648514648	-0.5282288880407741	0.07673027740143419	124.04925328115772	0.5655213385302463	-0.5282288890491735	0.5655213363636283	0.00020785381012955042	-0.0009662950774419959	0.0	0.0	0.0	0.0027960873019921093	0.0	0.0	0.0	-0.0012476416028856655	124.0564137794292	0.002607102286387853
