6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
2	2.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9999331859138989	5.159125480493234e-24	4.782758301781606e-23	-1.5617169965001162e-24	1.000200000000001	3.6709613840613324e-22	5.393217593845741e-25	-3.812310007134394e-23	0.999933880058929	-1.6163856241327435e-11	-0.0004941626033728486	0.0027412009144807395	-0.0004942944617262525	14.158906776126345	0.0007274803459986278	0.0027412028173989223	0.0007272867876834656	4.014683577767409e-12	1599.565890624997	-1.616169272667468e-11	-0.0004942283009478621	0.0027408359103704557	-0.0004942283009478659	14.160789164299155	0.0007273834784851824	0.0027408359103705056	0.0007273834784851654	4.014149003304186e-12	-6.681631826157467e-05	0.0	0.0	0.0	0.0001999800026669107	0.0	0.0	0.0	-6.612212709086038e-05	14.160790041960718	0.00017763326904607487
4	4.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998663539893822	2.4113969217145864e-23	1.9461905452147635e-22	-9.059282068680759e-24	1.0003999999999935	8.76182792040669e-22	-5.796881732771618e-24	3.57077326826891e-23	0.9998677425139983	7.668510449906907e-12	-0.000988361400619398	0.005482594259824296	-0.000988888906236938	28.326310375549514	0.0014554063112480863	0.005482601873558929	0.0014546319700801903	1.0419451745846686e-11	1599.565890624997	7.666458218689661e-12	-0.0009886242617928402	0.005481134630761799	-0.0009886242617928762	28.333843942906498	0.0014550188389586985	0.0054811346307617964	0.0014550188389586616	1.0416677779023195e-11	-0.00013365494204167923	0.0	0.0	0.0	0.00039992002132089856	0.0	0.0	0.0	-0.00013226623279395967	28.333845697193148	0.00035525464391664976
6	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997995042228783	-2.675432973241513e-23	2.8583391502892384e-22	-2.669477272831131e-23	1.000599999999987	1.3232772218480306e-21	-9.59529510561512e-24	-9.473534119447316e-23	0.9998015873617156	1.9138124813210256e-12	-0.0014825963387255312	0.008224179771034953	-0.0014837833888323394	42.50221249605764	0.002183777960933306	0.008224196906578907	0.0021820354505163327	4.719104771885862e-12	1599.565890624997	1.9130444545913955e-12	-0.0014831879358722343	0.008220896477129615	-0.0014831879358722022	42.519172060157764	0.002182906143309013	0.00822089647712968	0.0021829061433089776	4.7172207897296e-12	-0.00020051587908694035	0.0	0.0	0.0	0.0005998200719546787	0.0	0.0	0.0	-0.00019843232467592876	42.519174690076156	0.0005328641403783447
8	8.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997326366108241	4.108771538673399e-23	-1.7054478997373302e-22	-2.9871146280514937e-23	1.0008000000000166	2.8302811839114397e-22	-9.185013521788819e-24	-2.276401045745932e-23	0.9997354145986066	8.579778096318158e-12	-0.0019768673654522945	0.010965957183071013	-0.00197897796560063	56.686614836138894	0.002912595360127815	0.010965987654513067	0.002909497132209522	1.1376124042783431e-11	1599.565890624997	8.575188630233413e-12	-0.001977919377354015	0.010960121765227822	-0.0019779193773539687	56.71678124715769	0.0029110454533891016	0.01096012176522785	0.00291104545338908	1.1370070358994667e-11	-0.0002673991371387541	0.0	0.0	0.0	0.000799680170581106	0.0	0.0	0.0	-0.0002646204102858596	56.71678475168233	0.0007104617742036323
10	10.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996657491670857	-1.6007599214126192e-23	1.2967809724667321e-21	-2.7131524091739305e-23	1.001000000000002	3.671093732959341e-22	-4.3145740750765925e-24	-5.0107292786012205e-23	0.9996692167745191	9.822041544763765e-11	-0.0024747621066485196	0.013691857896931399	-0.002478065164100303	70.87750844114697	0.003659620311735834	0.013691905390794382	0.003654755015709303	8.530723672253715e-11	1599.565890624997	9.815476110297469e-11	-0.0024764087289927436	0.013682753188864095	-0.002476408728992757	70.92466791913826	0.003657186765110799	0.013682753188863993	0.0036571867651107367	8.525050976172313e-11	-0.00033430670717495107	0.0	0.0	0.0	0.000999500333086085	0.0	0.0	0.0	-0.0003308379463188105	70.92467229112225	0.0008880506980775064
12	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995987677238705	-1.188691627463203e-22	-7.521917269414204e-22	2.37963318619255e-23	1.001200000000032	3.4201602223352544e-22	-1.1805521702356811e-23	-2.8862647677690284e-22	0.9996027007021205	2.218067358066185e-09	-0.0030716354477592933	0.01570841042411939	-0.003076555823789124	84.99638585198598	0.005132988399798043	0.015708472229755074	0.0051247993079428684	2.2974004358113086e-09	1599.565890624997	2.2162893976467756e-09	-0.0030740897154198986	0.015695880618515783	-0.0030740897154165024	85.06429882037453	0.005128894074205666	0.015695880618516508	0.0051288940742074485	2.295567915519492e-09	-0.0004013127913368282	0.0	0.0	0.0	0.001199280575514123	0.0	0.0	0.0	-0.0003973782421556494	85.06430379287734	0.0010657531491054845
14	14.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995307519737048	3.4146015686188983e-23	-2.411582210171798e-21	9.18501352178882e-23	1.001399999999991	2.737239908611475e-21	7.332128949670038e-24	-3.9720551270306347e-22	0.9995317969127434	8.502321813978438e-06	-0.004656218516853644	0.00587187858887932	-0.00466492622706764	97.97014914719647	0.016735199322982744	0.0058718847171292205	0.016703978284796462	9.445552925001127e-06	1599.565890624997	8.494412314762147e-06	-0.004660586564972185	0.005866422258713382	-0.004660586561839209	98.06205598621328	0.016719648461104925	0.005866422248337234	0.016719648464504515	9.436775826738867e-06	-0.0004693581576042596	0.0	0.0	0.0	0.0013990209136983177	0.0	0.0	0.0	-0.00046831272854653416	98.06205215536741	0.001245237717462709
16	16.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994600059489743	1.946058196316755e-22	-8.451218291670579e-21	1.122318655111948e-22	1.0015999999999976	1.5223299644527913e-21	1.0482032722271967e-23	1.167105522198019e-21	0.9994453989994366	0.0001808146140071587	-0.005192355900765387	-0.05163268798171623	-0.005203473143312353	107.0475028077019	0.06173152845603584	-0.05163193338379542	0.06159873300188261	0.0005557591847310202	1599.565890624997	0.0001806259481022712	-0.00519804409739564	-0.05157805949476781	-0.005198043726146426	107.1647727438128	0.061666215180117286	-0.0515780595003904	0.06166621406677601	0.0005551711796405183	-0.0005401399003207746	0.0	0.0	0.0	0.0015987213636935265	0.0	0.0	0.0	-0.0005547548485844237	107.16449568796257	0.0014308040397126047
18	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993880687578505	-7.115076756936123e-23	-2.3873358920566437e-20	1.5500702934753696e-22	1.0017999999999956	2.681282794533488e-21	2.9116757561866577e-23	2.0879362149818503e-22	0.9993426602738293	-0.0003303083329253875	-0.00038654504913575945	-0.14951876062028557	-0.00038747494869807784	112.36585572635268	0.14034675694769716	-0.14951196844553077	0.14000249271864706	0.00017951511869146892	1599.565890624997	-0.00032993172343096004	-0.0003870361471970684	-0.14934149714938258	-0.00038703315922446673	112.50861438806082	0.14018036743802414	-0.14934149855048323	0.14018036319689084	0.00017930229273647305	-0.0006121185484883903	0.0	0.0	0.0	0.0017983819413747426	0.0	0.0	0.0	-0.0006575558686534541	112.50924903994716	0.0016223582073581298
