6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
2	2.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999933185913899	3.527925312538663e-24	2.7067004003960174e-22	1.5253210495477831e-24	1.000200000000001	-2.370070978311437e-22	-5.161607022330893e-25	1.4756902127946014e-23	0.9999338800589289	-1.2849908680081373e-11	-0.0004941626033796866	0.0027412009144786097	-0.0004942944617331021	14.158906776133778	0.000727480346006708	0.0027412028173967097	0.0007272867876915218	7.30530330932816e-12	1599.565890624997	-1.2848188733720114e-11	-0.000494228300954701	0.0027408359103683264	-0.0004942283009547146	14.160789164306589	0.0007273834784932614	0.002740835910368294	0.0007273834784932226	7.30433057299181e-12	-6.681631826146364e-05	0.0	0.0	0.0	0.0001999800026675767	0.0	0.0	0.0	-6.61221270905273e-05	14.16079004196485	0.00017763326904637113
4	4.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998663539893821	5.984486295698645e-23	-3.390514069181354e-22	3.3285747849133834e-24	1.0003999999999935	-1.3406215449320426e-21	2.2896359355467804e-24	-3.936056226772327e-23	0.9998677425139983	2.1741686532725234e-12	-0.0009883614006016017	0.005482594259823401	-0.0009888889062191063	28.326310375531985	0.0014554063112554257	0.005482601873557978	0.0014546319700875412	4.923234415629696e-12	1599.565890624997	2.1735868066638607e-12	-0.0009886242617750394	0.005481134630760904	-0.0009886242617750491	28.333843942888965	0.0014550188389660357	0.005481134630760845	0.0014550188389660145	4.921923704733681e-12	-0.00013365494204179026	0.0	0.0	0.0	0.0003999200213200107	0.0	0.0	0.0	-0.00013226623279440384	28.33384569718111	0.0003552546439162425
6	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997995042228784	4.1716372652274293e-23	-7.954830514799956e-22	1.0614381620280452e-23	1.000599999999987	5.891378845949676e-22	6.815968247436948e-24	2.3319875829094956e-23	0.9998015873617153	-2.122799123115138e-12	-0.0014825963387135267	0.008224179771042972	-0.001483783388820397	42.50221249606538	0.0021837779609326815	0.008224196906586611	0.002182035450515707	6.805261024839248e-13	1599.565890624997	-2.1219472285452487e-12	-0.0014831879358602252	0.008220896477137632	-0.001483187935860265	42.51917206016552	0.002182906143308389	0.008220896477137385	0.0021829061433083522	6.802544198035805e-13	-0.0002005158790868293	0.0	0.0	0.0	0.0005998200719544568	0.0	0.0	0.0	-0.00019843232467648398	42.51917469008795	0.0005328641403783439
8	8.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997326366108236	3.0496494823605026e-23	-7.01224166318353e-22	2.2366963763433868e-23	1.0008000000000166	1.0504134988239384e-21	1.622597489584019e-23	4.4045713257223616e-23	0.9997354145986058	4.057416270152048e-12	-0.001976867365475761	0.010965957183094208	-0.001978977965624167	56.686614836233645	0.0029125953601522115	0.010965987654536147	0.002909497132233958	6.852369231064026e-12	1599.565890624997	4.0552458906605216e-12	-0.0019779193773774967	0.01096012176525101	-0.0019779193773774946	56.71678124725257	0.002911045453413486	0.010960121765250927	0.002911045453413533	6.8487228154335305e-12	-0.0002673991371393094	0.0	0.0	0.0	0.0007996801705808841	0.0	0.0	0.0	-0.0002646204102873033	56.71678475178174	0.0007104617742041497
10	10.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996657491670877	-1.182934450399834e-22	-7.949933605573642e-22	5.675120746603813e-23	1.0009999999999997	-7.862848030684059e-22	-8.735027268559973e-25	3.464894149862122e-23	0.9996692167745371	9.89006766986128e-11	-0.0024747620911924903	0.01369185791849936	-0.0024780651486235165	70.87750844580293	0.0036596202763871165	0.013691905412362582	0.003654754980407726	8.595072805914206e-11	1599.565890624997	9.883456764084994e-11	-0.002476408713526381	0.013682753210417719	-0.0024764087135262774	70.92466792379588	0.003657186729785589	0.013682753210417562	0.0036571867297855976	8.589357319432828e-11	-0.000334306707172952	0.0	0.0	0.0	0.0009995003330834232	0.0	0.0	0.0	-0.00033083794630148526	70.9246722957792	0.0008880506980693105
12	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995987677309234	3.1260809709604023e-23	2.380162581784584e-22	6.583034186942016e-23	1.001199999999993	2.404514779018145e-21	-1.9164120431628545e-23	-9.904991526954975e-23	0.9996027007388355	2.2424902648577465e-09	-0.003071604526439263	0.01570846003253244	-0.003076524852915524	84.99639520435784	0.0051329174726022645	0.015708521838829113	0.005124728494091564	2.3163525848454715e-09	1599.565890624997	2.2406927274206403e-09	-0.003074058769258823	0.01569593018724857	-0.0030740587692557734	85.06430817649445	0.00512882320354894	0.01569593018724897	0.005128823203550596	2.314504947365355e-09	-0.00040131278428108335	0.0	0.0	0.0	0.00119928057547509	0.0	0.0	0.0	-0.0003973782054263145	85.0643131489863	0.0010657531345209857
14	14.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995307541067946	1.2790197503539935e-22	-9.289039755623489e-22	-4.2563405599528595e-23	1.001400000000009	3.8037073287638423e-22	2.4352197233561134e-24	-3.642241673193491e-23	0.9995318140355579	8.049868247652542e-06	-0.004643076475429621	0.005908130371842773	-0.004651759598472121	97.97427207070572	0.01670850236653684	0.005908136626941979	0.016677331419461292	8.941110879010381e-06	1599.565890624997	8.042379517000141e-06	-0.004647432105326875	0.005902640342808356	-0.004647432102217404	98.0661808882432	0.016692976276667347	0.005902640332779692	0.016692976279872575	8.93280250474707e-06	-0.0004693560235130279	0.0	0.0	0.0	0.0013990209137169434	0.0	0.0	0.0	-0.0004682955977108049	98.06617752619998	0.0012452313000604815
16	16.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994600069227589	-1.1202010727438123e-22	-4.422809003867931e-21	-9.169131654027801e-23	1.00159999999999	3.8823755137400855e-21	6.675678415547954e-23	1.902647757769972e-22	0.9994456174116474	0.00016720978715799894	-0.005084004781743469	-0.05102909977847934	-0.00509489004913071	107.09456689210865	0.06146704707378109	-0.0510283651023683	0.0613348340395487	0.0005176189499342411	1599.565890624997	0.00016703528032285732	-0.005089573163132791	-0.050975109851079586	-0.005089572817687623	107.21186485282675	0.06140201356499108	-0.05097510985548462	0.061402012526400145	0.0005170712975231855	-0.0005401389260100445	0.0	0.0	0.0	0.0015987213636873192	0.0	0.0	0.0	-0.0005545363151980263	107.21161226661069	0.0014307301364717734
18	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993879932713864	-1.4484263398048537e-22	-3.869934717327288e-21	-2.583450489125616e-22	1.0018000000000014	6.310395457044537e-23	1.0942606887341493e-22	3.790472438962994e-23	0.9993434524220218	-0.0002925412796579875	-7.662090075286686e-05	-0.14733634236920426	-7.68031621110606e-05	112.51947286240605	0.13962658391544883	-0.14732977710783393	0.13928419709828882	0.0001710077489982675	1599.565890624997	-0.0002922074996114506	-7.671819111834982e-05	-0.14716167740173106	-7.671553221126123e-05	112.66234589745483	0.13946105874802697	-0.14716167864351865	0.13946105498312888	0.00017080502194236164	-0.000612194081176132	0.0	0.0	0.0	0.0017983819413809488	0.0	0.0	0.0	-0.0006567631997214794	112.66295388735995	0.0016221111642091535
