6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
2	2.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9999331859138989	-8.67712462568126e-25	-1.3492308407474945e-22	-4.003554164756654e-25	1.000200000000001	-4.1299804495792586e-22	-2.1076562007851146e-24	-2.855427474533052e-23	0.9999338800589291	-6.2634898871215955e-12	-0.0004941626033745273	0.0027412009144750322	-0.0004942944617279242	14.158906776133026	0.0007274803459992224	0.002741202817393165	0.0007272867876840728	1.3881137109553188e-11	1599.565890624997	-6.262651525783864e-12	-0.0004942283009495411	0.00274083591036475	-0.0004942283009495373	14.160789164305838	0.000727383478485777	0.0027408359103647494	0.0007273834784857727	1.3879288769260545e-11	-6.681631826157467e-05	0.0	0.0	0.0	0.0001999800026671327	0.0	0.0	0.0	-6.612212709074936e-05	14.16079004195752	0.000177633269046186
4	4.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998663539893823	-4.134414137662543e-23	-3.3193103620527895e-23	6.637297235125493e-24	1.0003999999999935	3.0534214259537444e-22	-5.287338475438953e-24	-3.209460776705747e-23	0.9998677425139985	9.813955400943264e-12	-0.0009883614006113532	0.005482594259821687	-0.0009888889062288665	28.326310375512765	0.0014554063112555838	0.005482601873556238	0.0014546319700876745	1.2597199360031563e-11	1599.565890624997	9.811329010097041e-12	-0.0009886242617847933	0.00548113463075919	-0.0009886242617848067	28.333843942869734	0.0014550188389661938	0.005481134630759106	0.0014550188389661476	1.259384561225797e-11	-0.00013365494204156818	0.0	0.0	0.0	0.00039992002132045463	0.0	0.0	0.0	-0.0001322662327942928	28.33384569715422	0.0003552546439164273
6	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999799504222878	1.504806970356468e-23	1.8184738586365762e-23	-9.529120656610878e-25	1.000599999999987	-2.419708432509519e-21	-6.948317145445433e-24	1.3917810114572222e-22	0.9998015873617152	5.772193932898629e-12	-0.0014825963387166718	0.008224179771040788	-0.001483783388823497	42.50221249608031	0.002183777960939691	0.00822419690658454	0.0021820354505227074	8.510758766136494e-12	1599.565890624997	5.76987750990218e-12	-0.001483187935863372	0.008220896477135453	-0.0014831879358633638	42.51917206018047	0.0021829061433153965	0.008220896477135314	0.002182906143315356	8.507361062880661e-12	-0.0002005158790872735	0.0	0.0	0.0	0.0005998200719544568	0.0	0.0	0.0	-0.00019843232467637293	42.51917469009504	0.0005328641403784557
8	8.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999732636610824	3.9618642618839814e-23	1.5658198123383792e-22	-5.346895479542771e-24	1.0008000000000166	2.9447629806887785e-21	-4.526332311890168e-24	-1.4603377406256173e-22	0.9997354145986068	3.0813465624543456e-12	-0.0019768673654724555	0.010965957183071457	-0.001978977965620797	56.68661483615835	0.002912595360143348	0.010965987654513504	0.0029094971322251445	5.897327966242205e-12	1599.565890624997	3.079698298901966e-12	-0.001977919377374187	0.010960121765228268	-0.001977919377374125	56.71678124717716	0.002911045453404627	0.010960121765228285	0.002911045453404711	5.894189765693722e-12	-0.0002673991371388652	0.0	0.0	0.0	0.0007996801705813279	0.0	0.0	0.0	-0.0002646204102856375	56.7167847517073	0.0007104617742037437
10	10.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999665751149649	-2.5152577194267446e-22	-1.8010038040994562e-22	-6.3262773248055554e-24	1.0010000000000248	2.193550635592621e-22	-6.829203137237797e-24	1.8767073737603092e-22	0.9996692242211899	-1.1391579859097723e-11	-0.002471174428105115	0.013707926230730399	-0.0024744726921857663	70.87951909391279	0.003641858574033539	0.013707973855257394	0.0036370169185088895	-8.509858609451193e-12	1599.565890624997	-1.1383965199394625e-11	-0.002472818640005818	0.013698810810495912	-0.002472818640005715	70.92667924071783	0.0036394368312565417	0.013698810810495987	0.003639436831256633	-8.504199771194872e-12	-0.00033430472394883334	0.0	0.0	0.0	0.000999500333108489	0.0	0.0	0.0	-0.0003308304971845091	70.92668361886334	0.0008880475611026141
12	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995988478357946	-9.656837343189066e-23	-1.0076780396569988e-21	-8.920315725771851e-24	1.0012000000000039	-1.0917195898923863e-21	-3.999583697816399e-23	-7.723881687775152e-23	0.9996030162259618	9.708137655752014e-12	-0.0029655174739959666	0.016450086648879668	-0.002970267624250431	85.08092696748855	0.004371567667896712	0.016450155246777544	0.0043645947128100725	1.2547006315866139e-11	1599.565890624997	9.700352736150166e-12	-0.0029678857776572354	0.016436963928286842	-0.0029678857776571557	85.14887378372153	0.004368080339089094	0.016436963928287085	0.004368080339089109	1.2536997197878477e-11	-0.00040123264725955336	0.0	0.0	0.0	0.001199280575486179	0.0	0.0	0.0	-0.00039706259295696516	85.14887903443598	0.0010656215168177064
14	14.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995319266656838	1.481910611001e-22	-3.535965508092679e-21	2.175815883259484e-23	1.0014000000000054	5.974202786323386e-21	-5.373365259144467e-23	2.861912570535467e-22	0.9995367906094428	4.21024294074146e-12	-0.0034598964507226927	0.019192438172133595	-0.0034663628177557843	99.29084015504772	0.005101722706820623	0.01919253156678893	0.005092230418368964	7.096610007972792e-12	1599.565890624997	4.206305241182761e-12	-0.0034631208444794214	0.01917458143354662	-0.0034631208444794257	99.3833726252115	0.0050969760389975	0.01917458143354654	0.005096976038997404	7.090007287223016e-12	-0.00046818291483516144	0.0	0.0	0.0	0.0013990209137127304	0.0	0.0	0.0	-0.0004633167051672266	99.38337874751164	0.001243183657124446
16	16.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994649876357238	-3.492091848402866e-22	1.4301886616592844e-21	6.334218258686064e-23	1.0015999999999816	3.8171539768015044e-21	-8.065341844637041e-23	1.096907666694319e-22	0.999470547368123	-4.132425807795714e-12	-0.003954311305710331	0.021934980535071594	-0.003962758328501842	113.50926035487849	0.005832323756159778	0.021935102552974556	0.005819923938695326	-1.2104200280971256e-12	1599.565890624997	-4.128010074379586e-12	-0.003958523894526348	0.02191166364103371	-0.003958523894526409	113.63018352043574	0.005826123993420095	0.021911663641033627	0.005826123993420105	-1.2091333510715154e-12	-0.0005351555344586752	0.0	0.0	0.0	0.0015987213636793382	0.0	0.0	0.0	-0.000529592841412738	113.6301905133157	0.0014207339977441824
18	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993980307423607	-7.470433548088903e-23	1.5823634245894398e-22	-1.44524996625265e-23	1.0017999999999954	-2.005774019098183e-21	-9.023547866218468e-23	1.113318930047371e-22	0.9994042864985185	1.7198109082683377e-12	-0.0044487619863797356	0.024677713472244057	-0.004459454212296958	127.73618926508719	0.006563370881133884	0.02467786794298863	0.006547675177165861	4.643867949905012e-12	1599.565890624997	1.7177440941621042e-12	-0.004454094981903179	0.024648210865320683	-0.004454094981903285	127.88931423055354	0.0065555242647358045	0.024648210865320604	0.006555524264735772	4.638316130409209e-12	-0.0006021505138770111	0.0	0.0	0.0	0.0017983819413747426	0.0	0.0	0.0	-0.0005958910092685244	127.8893220929915	0.0015982725544437706
