6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
2	2.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9999331859138989	9.266077221819016e-24	2.0855208475931955e-22	-7.676236084492097e-25	1.000200000000001	1.2915928956647996e-22	1.6345088904047827e-24	-5.8465125695248e-23	0.9999338800589289	-1.9336711831350814e-11	-0.000494162603371258	0.002741200914492427	-0.000494294461724654	14.158906776127473	0.0007274803459956438	0.002741202817410602	0.0007272867876804804	8.116447115097403e-13	1599.565890624997	-1.9334123633413067e-11	-0.0004942283009462715	0.0027408359103821426	-0.0004942283009462677	14.160789164300287	0.0007273834784821989	0.0027408359103821846	0.00072738347848218	8.115366371054418e-13	-6.681631826157467e-05	0.0	0.0	0.0	0.0001999800026671327	0.0	0.0	0.0	-6.612212709074936e-05	14.160790041965038	0.000177633269046186
4	4.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998663539893822	-7.719249476344855e-24	5.089476872916268e-22	-4.5197148669897436e-24	1.0003999999999935	-1.5790547021392276e-22	6.617444900424222e-26	7.279189390466644e-25	0.9998677425139985	9.595132301979531e-12	-0.000988361400616144	0.005482594259829871	-0.0009888889062336424	28.326310375533357	0.0014554063112448392	0.005482601873564418	0.0014546319700769364	1.2328584727758218e-11	1599.565890624997	9.592564472130316e-12	-0.0009886242617895852	0.005481134630767372	-0.0009886242617895813	28.33384394289033	0.0014550188389554517	0.005481134630767283	0.0014550188389554064	1.2325302493159908e-11	-0.00013365494204167923	0.0	0.0	0.0	0.00039992002132045463	0.0	0.0	0.0	-0.00013226623279384865	28.33384569717506	0.00035525464391631697
6	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999799504222878	-3.6018752593009035e-23	-2.299032707305383e-22	-2.3888976090531438e-23	1.000599999999987	-1.6420527775912662e-21	-2.3293406049493258e-24	-1.2255507955585659e-23	0.9998015873617155	9.551511778987248e-12	-0.0014825963387178327	0.0082241797710509	-0.001483783388824693	42.50221249608945	0.0021837779609246836	0.00822419690659455	0.0021820354505077085	1.2340334325580682e-11	1599.565890624997	9.547678688518574e-12	-0.0014831879358645332	0.008220896477145561	-0.0014831879358645588	42.519172060189604	0.002182906143300395	0.00822089647714532	0.0021829061433003513	1.233540776200725e-11	-0.0002005158790872735	0.0	0.0	0.0	0.0005998200719546787	0.0	0.0	0.0	-0.00019843232467626188	42.519174690100364	0.0005328641403785668
8	8.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997326366108238	-1.5296223887330588e-23	2.8076495223519885e-22	-2.7396221887756274e-23	1.0008000000000166	-6.170105625155544e-22	5.69100261436483e-25	-4.50515648820881e-23	0.9997354145986068	3.023292380333054e-14	-0.001976867365461169	0.010965957183076991	-0.0019789779656094416	56.686614836163066	0.0029125953601268294	0.010965987654518991	0.0029094971322085605	2.828356208961491e-12	1599.565890624997	3.0216751712379775e-14	-0.001977919377362895	0.010960121765233801	-0.0019779193773627754	56.71678124718189	0.002911045453388118	0.01096012176523377	0.002911045453388119	2.8268511291937613e-12	-0.0002673991371390873	0.0	0.0	0.0	0.000799680170581106	0.0	0.0	0.0	-0.0002646204102858596	56.71678475171508	0.0007104617742037439
10	10.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996657511496488	7.258013566785286e-23	-1.0952400705794121e-21	-2.3134587371883078e-23	1.001000000000008	1.5754812818929986e-22	-5.505714157152952e-24	-1.3552527156068806e-23	0.9996692242211909	-8.239488246200578e-12	-0.0024711744281014363	0.013707926230732725	-0.002474472692182143	70.87951909386739	0.0036418585740312986	0.013707973855259532	0.0036370169185066595	-5.376154597891425e-12	1599.565890624997	-8.233980590569027e-12	-0.002472818640002135	0.013698810810498466	-0.0024728186400021328	70.92667924067234	0.0036394368312543638	0.013698810810498337	0.0036394368312543984	-5.3725795926296845e-12	-0.0003343047239489444	0.0	0.0	0.0	0.0009995003330918524	0.0	0.0	0.0	-0.0003308304971835096	70.92668361881469	0.0008880475610912283
12	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995988477681097	-6.870893040110468e-23	1.7785044914380137e-21	-2.3849271421128895e-23	1.0012000000000116	-1.372325723449975e-21	1.876707373760309e-23	-2.779856253770207e-22	0.9996030160302611	2.01527972174681e-12	-0.0029657253116516418	0.016450311806191942	-0.002970475795020671	85.08087068828273	0.004372337495574761	0.01645038040292136	0.004365363311704728	5.602478155009027e-12	1599.565890624997	2.0136636768348464e-12	-0.0029680937820770288	0.016437188907097337	-0.0029680937820770925	85.14881748200624	0.004368849552948629	0.01643718890709694	0.0043688495529487234	5.598008892882633e-12	-0.00040123271497157387	0.0	0.0	0.0	0.0011992805754939412	0.0	0.0	0.0	-0.0003970627887353639	85.14882273300191	0.0010656216044857472
14	14.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995319228426575	1.361936334956309e-22	-6.800351077471947e-22	-2.0540548970916784e-23	1.0014000000000074	-1.2763463026142222e-21	5.908054807098745e-23	1.0418505251227894e-22	0.9995367760231377	1.234526561880167e-10	-0.0034652729554416127	0.01915978499026056	-0.0034717493841618517	99.28689801437532	0.005137114540491437	0.01915987801969933	0.005127556327006515	1.0454986946323297e-10	1599.565890624997	1.2333719684508235e-10	-0.003468502423626208	0.019141958705568556	-0.003468502423626059	99.37942864108427	0.00513233496356295	0.01914195870556785	0.0051323349635629175	1.0445259615152938e-10	-0.0004681867396518034	0.0	0.0	0.0	0.001399020913714726	0.0	0.0	0.0	-0.0004633312982322525	99.37943475067458	0.0012431897823695056
16	16.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994649286638781	9.836831844480605e-23	3.809001284684182e-23	7.713293775934473e-23	1.0016000000000052	4.1028158382630174e-23	6.230986118239447e-23	-2.5130408753851023e-22	0.9994703153059706	1.8223477938859867e-09	-0.004033471351847847	0.021393651327682936	-0.004042087711280498	113.44680745140099	0.006394860978383923	0.0213937666293206	0.006381263696489423	1.4700363569070118e-09	1599.565890624997	1.8204009336852694e-09	-0.004037769446833753	0.021370911127788807	-0.0040377694468310315	113.56769715452248	0.0063880636152449126	0.021370911127789112	0.006388063615245524	1.4684737942525268e-09	-0.0005352145378736004	0.0	0.0	0.0	0.0015987213637017289	0.0	0.0	0.0	-0.0005298250265239684	113.56770393949226	0.0014208308378635013
18	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.99939746873252	-2.402132498853992e-22	1.2729317010456033e-22	1.3531351332387448e-22	1.0018000000000065	-1.6038568856260177e-21	4.470745774726604e-23	4.536920223730846e-23	0.999402004162466	-5.652606450188852e-07	-0.0051437116799852465	0.019024634339773906	-0.005156077058090831	127.12457746252784	0.01202252640591049	0.019024720676014552	0.0119937482386116	-7.02887481552103e-07	1599.565890624997	-5.645826220696022e-07	-0.005149892409847312	0.019001900766378435	-0.00514989240928419	127.27733148938793	0.01200816003326088	0.019001900765702903	0.012008160033538778	-7.020475629568102e-07	-0.0006027128623922176	0.0	0.0	0.0	0.0017983819413860465	0.0	0.0	0.0	-0.0005981747083576963	127.2773383899956	0.001599219297518773
