6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
2	5.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998329313366077	4.350473713661394e-23	-4.45274632459745e-22	-4.261634515873199e-24	1.000499999999992	-7.686823996332775e-22	-6.220398206398768e-24	2.117582368135751e-24	0.9998346671389887	-1.7510011600819358e-11	-0.0012354743551404755	0.006853363011246715	-0.0012362986390793045	35.41319901448296	0.0018195364215004874	0.006853374909318347	0.001818326429123561	4.2234113838135465e-11	1599.565890624997	-1.7504154982360253e-11	-0.0012358851311044974	0.006851082643445688	-0.0012358851311045813	35.42497335112034	0.0018189309943165521	0.006851082643445692	0.001818930994316454	4.2220060983625404e-11	-0.00016708262091607556	0.0	0.0	0.0	0.0004998750416436691	0.0	0.0	0.0	-0.0001653465299949435	35.424975543343386	0.00044406087596489396
4	10.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996657465925793	1.5468277454741617e-23	-1.7020068283891098e-23	-9.582060215814272e-24	1.000999999999998	-1.909821068042032e-21	-2.1969917069408416e-24	2.047702149987271e-22	0.9996692068925395	2.7223237251180337e-10	-0.002478309073069389	0.0136685256286517	-0.002481616871037342	70.87485227473444	0.00368276050662312	0.013668572941665038	0.00367786441042059	2.375423156647516e-10	1599.565890624997	2.720504044983939e-10	-0.002479958086345965	0.013659436471077738	-0.0024799580863457973	70.92201086913512	0.003680311581884545	0.013659436471077853	0.0036803115818844464	2.37384357184356e-10	-0.00033430928254215886	0.0	0.0	0.0	0.000999500333081205	0.0	0.0	0.0	-0.0003308478315690794	70.92201523159689	0.0008880548420953597
6	15.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994951661173429	-5.113961419047838e-23	2.4747391043014468e-21	2.371692252312041e-23	1.0015000000000067	-1.1989751368384621e-21	3.091670257478196e-23	2.5728625772849372e-23	0.9994876075392856	0.001096281170986205	-0.004957991043981918	-0.026049531774085224	-0.004967938437546081	102.24882669916995	0.04147309695682524	-0.02604933493681416	0.04138976256334801	0.0011514468143716998	1599.565890624997	0.0010952003845879801	-0.004963038293472822	-0.02602365362218393	-0.004963040715654453	102.3529163060137	0.04143189671137847	-0.02602365378162549	0.041431897463587504	0.0011503029429260638	-0.0005049613541847386	0.0	0.0	0.0	0.0014988761237428217	0.0	0.0	0.0	-0.0005125237785910023	102.35182899776522	0.001338419581722206
8	20.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993169662933074	-4.065758146820642e-23	-8.481552659094122e-21	-8.936197593532868e-23	1.0019999999999867	-3.718474638446378e-21	4.276192894654132e-22	-6.666149294891344e-22	0.9992303866938216	-0.010924064595889335	0.009375872633596197	-0.24195191912384817	0.009401105694519478	115.82067778311736	0.23504294353039784	-0.24193098808410662	0.23439319830386796	-0.004847389476368335	1599.565890624997	-0.010910657062592524	0.009389507337582969	-0.24163402534552314	0.009389567348465251	115.98910804223388	0.23473412725955325	-0.2416340566855603	0.23473406064279675	-0.00484102062853594	-0.0006832670804890513	0.0	0.0	0.0	0.0019980026626599833	0.0	0.0	0.0	-0.0007699096105349908	115.99845267477463	0.0018170826872668804
10	25.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999141346103768	1.6966069933503637e-21	-6.5407884186977076e-21	2.99002630380768e-22	1.0025000000000135	1.3004496839195273e-20	3.8010603508036726e-23	-7.954062891191507e-21	0.9989371865137553	-0.0040562553263847915	0.04901385991657543	-0.4342197383040488	0.04917863139518889	122.1416618481822	0.4530120310652839	-0.43413104862802326	0.45140203862266864	-0.001193291919085863	1599.565890624997	-0.0040504448438489615	0.04910817485719922	-0.4335091303677257	0.04910818425716011	122.37669299252606	0.4522706692244285	-0.4335091669481629	0.4522706491859383	-0.0011913390767038824	-0.0008590227506493588	0.0	0.0	0.0	0.002496880198600435	0.0	0.0	0.0	-0.0010633786729921982	122.38415397673768	0.002308404411927767
12	30.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9989664033039328	2.6503660919587058e-21	2.0953583411821663e-20	5.014435047745458e-22	1.0030000000000205	2.2631873317687652e-20	-7.610591031079888e-22	5.569241628197025e-21	0.9986341023413922	-0.0007964347696097036	0.0947399767816857	-0.5728618130927268	0.09512247313832464	126.42026579632348	0.6112982200025208	-0.5726712153653412	0.6086373074010512	-0.003047825219606318	1599.565890624997	-0.0007951386898490975	0.09496771720878681	-0.5717393158566298	0.09496767538599422	126.72416079719554	0.6101004083371223	-0.5717392776850205	0.6101003784830359	-0.003041853141686436	-0.0010341312254892065	0.0	0.0	0.0	0.002995508979819402	0.0	0.0	0.0	-0.0013668313471266668	126.73446081599228	0.0028039140374870866
14	35.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9987899704933818	2.1141942363467336e-21	1.4619058103692217e-19	6.99649214432052e-22	1.0035000000000065	-3.382075503444333e-20	-1.167634917790053e-21	-8.597384414631148e-22	0.9983280838732289	0.0026655030302237736	0.13158691056180483	-0.6676027687907738	0.13220743967963727	129.66011439184246	0.7083342738957255	-0.6672939905903728	0.7046835564739773	0.0005511606530907887	1599.565890624997	0.002660654699645354	0.1319669652027986	-0.6660802855095267	0.1319669652306401	130.03460398215213	0.7067189014917226	-0.6660802377554704	0.7067188520434721	0.0005499037186998005	-0.0012107621834216403	0.0	0.0	0.0	0.0034938892542622554	0.0	0.0	0.0	-0.001673315338332746	130.04407846694863	0.0033014375277362713
16	40.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9986112942847487	-8.152692117322641e-21	-1.2637943331270973e-19	-9.723938234479367e-22	1.0039999999999945	-8.577055623897045e-21	-8.936197593532868e-22	-2.056595995933441e-21	0.9980216574528536	0.0011394592445215406	0.15900682054187143	-0.7343845996230048	0.15986485285068147	132.25485595103603	0.7632983871512697	-0.7339509281657401	0.7587532598698906	-0.0006066683018221603	1599.565890624997	0.0011371692766197652	0.1595435731328265	-0.732475958114067	0.15954357292477783	132.70130306793448	0.761314599656039	-0.7324759091380227	0.761314551119806	-0.0006050915907859962	-0.0013896708606718677	0.0	0.0	0.0	0.00399202126953237	0.0	0.0	0.0	-0.0019803020515702175	132.71394032262074	0.003800002960225457
18	45.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9984305106970434	-1.7738563981399558e-20	1.285516493059434e-19	-1.938011383317839e-21	1.0045000000000077	-1.571415523746178e-20	-6.945670167485262e-22	-6.447614794499734e-21	0.9977159313012763	2.3333830056980393e-05	0.17895825418637293	-0.7844318634702737	0.18004613034065017	134.46063059521413	0.7934104752896274	-0.7838704049555864	0.7880520138995277	-0.0011186339454004202	1599.565890624997	2.3282476991938594e-05	0.1796499014889472	-0.7821453023541609	0.17964988503418694	134.9803011344493	0.7910977421812501	-0.7821452639139466	0.7910977189002827	-0.0011153732098262675	-0.0015707222415174773	0.0	0.0	0.0	0.004489905272859517	0.0	0.0	0.0	-0.0022866811624232698	134.9949580139762	0.004298990236977017
