6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
2	4.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998663539893814	6.1691130084204806e-24	-2.1824995026089126e-22	5.0623453488245295e-24	1.0003999999999935	-1.0722907716647408e-21	2.3558103845510227e-24	1.105113298370845e-23	0.9998677425139983	-4.499844635574846e-09	-988.3614003600651	5482.594259852413	-988.8889059773675	28326310.37551021	1455.40631122686	5482.601873587048	1454.6319700588479	1.07790544452655e-05	1599.565890624997	-4.4986403974796615e-09	-988.624261533439	5481.134630789912	-988.6242615333749	28333843.9428672	1455.0188389374787	5481.1346307899075	1455.0188389373145	1.0776184741547018e-05	-0.00013365494204245647	0.0	0.0	0.0	0.00039992002132089856	0.0	0.0	0.0	-0.0001322662327937376	28333845.697157506	0.0003552546439168362
4	8.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999732636610824	-6.942692317280072e-23	-7.600135468137218e-22	1.0601146730479603e-23	1.0008000000000166	9.884212749967643e-22	-3.586655136029928e-24	8.711204466918445e-23	0.9997354145986068	5.441914657239977e-06	-1976.8673654095387	10965.957183008357	-1978.9779655578195	56686614.83622191	2912.5953600942494	10965.987654450346	2909.4971321760277	1.6179077210836112e-06	1599.565890624997	5.439003686520827e-06	-1977.9193773112368	10960.1217651652	-1977.919377311181	56716781.24724075	2911.045453355554	10960.12176516516	2911.045453355568	1.6170467686446878e-06	-0.0002673991371388652	0.0	0.0	0.0	0.0007996801705808841	0.0	0.0	0.0	-0.0002646204102856375	56716784.75177185	0.0007104617742034479
6	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995987343387781	-8.162618284673278e-23	1.903441851158023e-22	1.2440796412797536e-24	1.0011999999999988	-6.288425539975129e-21	-1.2864312886424686e-23	1.4823076576950256e-24	0.999602590356553	-0.011951598175815889	-3083.155253182792	15395.667805970403	-3088.094185686272	84965672.96496779	5410.939943553098	15395.727195756263	5402.306815600247	-0.00434788883820147	1599.565890624997	-0.011942019321319207	-3085.6191689587035	15383.387973139945	-3085.619169003015	85033573.62025045	5406.624090626165	15383.387973126011	5406.624090565733	-0.004344420891973258	-0.0004013461898302965	0.0	0.0	0.0	0.001199280575481078	0.0	0.0	0.0	-0.00039748863158695563	85033578.4864968	0.0010658009844689508
8	16.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994604556742941	-7.962109704190423e-23	-4.4025066829134295e-21	7.835054762102278e-24	1.0016000000000194	1.872260450787224e-21	-8.946785505373547e-23	3.5035400280806e-22	0.9994494586140721	1054.5227739897166	-5172.25991146397	-38734.226872681655	-5183.333860933559	108011510.63217671	53561.62774324108	-38733.80053905404	53446.62294102434	1546.6207168125472	1599.565890624997	1053.4181831236874	-5177.902731195581	-38693.227822418296	-5177.904425572286	108129348.77137877	53504.93432129024	-38693.22768151379	53504.93200972584	1544.983663858957	-0.000539689932122043	0.0	0.0	0.0	0.0015987213637168039	0.0	0.0	0.0	-0.0005506929894815223	108128110.42626871	0.001429289333835946
10	20.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993169990470315	-8.245865741520614e-22	-2.568119192780313e-20	2.4945120296639144e-22	1.0019999999999656	-1.0406858548203148e-20	-2.04690805659922e-22	1.2218450264143281e-21	0.9992435091859615	-4045.4287371144046	5832.308222540939	-218534.75676615903	5848.005733386924	118633755.8464429	209936.93632652503	-218518.70272657025	209359.4105486986	-897.8492258174578	1599.565890624997	-4040.41056253193	5840.712862817842	-218247.62298135215	5840.75154214133	118804712.86801006	209661.0992560736	-218247.63998611024	209661.10765850593	-896.6695377430763	-0.0006832343043782223	0.0	0.0	0.0	0.001998002662638931	0.0	0.0	0.0	-0.0007567770976040614	118808338.2313858	0.0018125029804223307
12	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991759865154817	3.7100043089738355e-22	-8.209019808315052e-20	6.860966872759833e-23	1.0024000000000028	-7.080221351156608e-20	1.0672615135404184e-22	4.750160768202116e-21	0.9990094923165126	-1806.6106226861966	34614.830136710916	-395212.2216643646	34726.528655500166	123710333.44164886	397402.97620773676	-395146.38717937144	396058.803143841	78.46399471890658	1599.565890624997	-1804.0720856165096	34677.72529965429	-394591.1317178397	34677.733093697	123935115.17678553	396778.4434131732	-394591.15201180876	396778.4421789166	78.34068578357339	-0.0008243531702462268	0.0	0.0	0.0	0.0023971245997241094	0.0	0.0	0.0	-0.0009909985603948218	123939782.43302459	0.002205300093290663
14	28.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9990369587569883	-1.0757318430129614e-21	-9.406322055082687e-20	-3.4389537658524596e-22	1.0027999999999757	-1.99823542586762e-20	2.5527455447876476e-21	3.823506723905912e-21	0.9987654388731051	-1197.1841666529522	72319.98251709573	-535273.1713288319	72592.39030768837	127013301.421428	555306.7331183443	-535127.7095489623	553072.5834750752	829.5074304649546	1599.565890624997	-1195.3171027323588	72479.17675479544	-534293.1376006473	72479.17912712954	127292889.23372768	554290.0198640765	-534293.1532064724	554290.033552557	827.9886820890229	-0.0009635052651684945	0.0	0.0	0.0	0.002796087301977053	0.0	0.0	0.0	-0.0012353238252794014	127300118.9722955	0.002601738618587534
16	32.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9988983669959505	3.415236843329339e-21	5.734868333120763e-20	4.760325163569168e-22	1.0031999999999768	-5.684861625497237e-21	4.7933594485120855e-21	-5.116079001415974e-21	0.998517300372686	1093.3366274057403	107578.62127846149	-641685.2598551381	108041.9044117865	129479202.5950462	670205.3416059791	-641440.4621677772	667076.9841648274	1670.0199205759106	1599.565890624997	1091.4674286025706	107857.1839455221	-640343.840830004	107857.1929575495	129814474.33933076	668804.3024171098	-640343.8376569588	668804.3045342036	1666.5288064207884	-0.0011022402477013993	0.0	0.0	0.0	0.003194890896496048	0.0	0.0	0.0	-0.0014837999141374366	129823135.9970967	0.0030000396868111465
18	36.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9987591456225435	4.836558128822055e-21	8.145947617480129e-20	4.643434616848075e-21	1.0035999999999923	1.06535145424436e-19	5.133866693308314e-21	-5.912289971835016e-22	0.9982674766301761	1513.4759790547175	136731.4892498166	-719230.0355822706	137394.21800237842	131396931.01719028	746228.639993338	-718875.9528908652	742263.6185758779	963.6904158495282	1599.565890624997	1510.6642709727978	137138.9603602372	-717540.4584582943	137138.9695289883	131788504.7042845	744475.6391771695	-717540.4382513111	744475.6253531415	961.4265653418164	-0.0012416248746986974	0.0	0.0	0.0	0.0035935355101226955	0.0	0.0	0.0	-0.0017340259241616141	131799650.70842853	0.0033994818421025363
