6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
4	3.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0000000000000002	7.510799961981491e-24	-2.511320339710992e-22	5.0888151284262264e-24	1.000256500000016	-3.380918774075739e-22	-4.369167995505092e-24	-1.8786926072304364e-23	0.9998726512123346	6824367.305462681	-250.86369972945312	700.4930890326496	-250.9280462684514	20440437.305554308	2750.595649819777	700.4038820869945	2749.540107760738	-6.592802962131827e-06	1599.565890624997	6823486.266827796	-250.89565098643672	700.3134586304994	-250.8956509864504	20443040.702003896	2749.890302957024	700.3134586305008	2749.890302957032	-6.5911123418160985e-06	2.2204460492503128e-16	0.0	0.0	0.0	0.0002564671095152424	0.0	0.0	0.0	-0.00012735689721054348	18027342.97785125	0.0002257412607729768
8	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0000000000000007	1.4707271291192832e-24	-6.15117973274033e-22	-6.994639259748402e-24	1.0005129999999862	-1.3635774612916142e-21	-2.3736774857821683e-23	7.001256704648827e-24	0.9997452535240169	13650487.042390654	-501.7961362057948	1401.185672792179	-502.0535576236891	40896607.060791805	5503.338449281827	1400.8287256798367	5499.115446981487	2.060994548628514e-06	1599.565890624997	13646964.449182468	-501.9239995758978	1400.467233101616	-501.9239995759257	40907027.982013136	5500.516684222892	1400.4672331016166	5500.5166842228755	2.0599378005368705e-06	6.661338147750937e-16	0.0	0.0	0.0	0.0005128684604710395	0.0	0.0	0.0	-0.00025477892937811406	36074477.374077894	0.0004514738520157844
12	9.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0000000000000147	-1.2364695796442657e-22	-4.048155743385513e-22	-6.736558908631857e-24	1.0007695	1.8578079511246978e-21	-1.575282758545986e-23	-6.561858363260658e-23	0.9996178068689874	20478356.763531543	-752.848477710044	2102.177350760408	-753.4277946136561	61368505.68359548	8258.231355308997	2101.373913016788	8248.727720030352	1.04103410285461e-05	1599.565890624997	20470434.443966173	-753.1363212387265	2100.5609690946585	-753.1363212387517	61391969.27254989	8251.881532469639	2100.5609690947003	8251.88153246987	1.0402336430661976e-05	1.465494392505196e-14	0.0	0.0	0.0	0.000769204086668898	0.0	0.0	0.0	-0.0003822661854216167	54141412.193673104	0.0006771978458589139
16	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.000000000000013	-1.0223952371155422e-24	-6.180693536996223e-23	-2.1612575044785507e-23	1.0010259999999942	4.9956415042282535e-22	4.5660369812927124e-24	3.917527381051139e-23	0.9994902349783423	27304278.53158406	-1053.9519509234703	2797.948595038997	-1055.0333056238292	81843615.63432102	11006.355012316893	2796.5222987131024	10989.469162155148	0.0010795390317580313	1599.565890624997	27290204.646672633	-1054.4894927825826	2795.080842094987	-1054.4894927813145	81885357.92557633	10995.074066324763	2795.0808420952762	10995.07406632455	0.0010784325599515136	1.3100631690576762e-14	0.0	0.0	0.0	0.0010254740217328134	0.0	0.0	0.0	-0.0005098949960189007	72217029.33680187	0.000902951690214111
20	15.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.000000000000008	-2.6146186546066143e-22	1.6546259229020724e-22	-3.531068598866365e-23	1.001282499999984	4.902785517385501e-21	8.629148150153185e-24	9.94734317431769e-23	0.9993590585525284	33960490.91118469	-3804.4148044691738	2501.38767884966	-3809.2939680667846	101748055.84693003	13451.179854487169	2499.784435347755	13425.340439204487	-2.5459275353170305	1599.565890624997	33938745.11689326	-3806.854775479254	2498.1837581798145	-3806.8547770891923	101813312.21863453	13433.950812570156	2498.183757717795	13433.950815085065	-2.5426665654468654	7.993605777301096e-15	0.0	0.0	0.0	0.0012816782993383484	0.0	0.0	0.0	-0.0006411469382506723	89790722.57715835	0.0011304891324576756
24	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9999999999999939	5.33207240296582e-22	1.725347880041886e-20	1.2949016181150117e-22	1.0015389999999982	-5.043022409715291e-22	-5.730707283767376e-23	-1.648537873593682e-22	0.9991990308250364	39252941.81787372	-28449.431820199334	-18109.710916146963	-28493.215382812876	116882249.70053433	17784.216742995293	-18095.20559574635	17742.66677121413	138.66734789197238	1599.565890624997	39224041.61722283	-28472.237204542602	-18081.882898366523	-28472.2370916679	116975943.82575175	17756.8888909922	-18081.882898177275	17756.889492340844	138.45426677540613	-6.10622663543838e-15	0.0	0.0	0.0	0.0015378169531489298	0.0	0.0	0.0	-0.0008012901221639138	103119398.36002846	0.0013726186450283282
28	21.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0000000000000009	7.746116302640576e-22	5.291921717776987e-20	-1.3933691982333241e-22	1.0017954999999767	9.463687361435485e-21	1.0100867896007531e-22	9.840405264726835e-22	0.9989974692413103	42672319.06177257	-71334.88556118749	-84881.02110876697	-71462.96729011592	125020753.84018575	45480.97539470462	-84795.9252011679	45353.94828553714	187.12176892704684	1599.565890624997	42638584.72691974	-71406.47274648532	-84728.89038608065	-71406.47268843628	125146216.77183303	45399.46066308506	-84728.89031302999	45399.46264326495	186.78639395670174	8.881784197001248e-16	0.0	0.0	0.0	0.0017938900167139016	0.0	0.0	0.0	-0.0010030336287738062	110197906.4673912	0.0016361811724733906
32	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9999999999999877	-1.3692287592365765e-21	-4.1845756934967384e-20	-7.199780051661553e-22	1.0020519999999882	7.551298724772087e-21	-5.338425150070228e-22	9.952637130238028e-23	0.9987755078212834	45242892.53702103	-101381.47837406333	-187777.0508737735	-101589.51348706415	129632601.17729658	86212.23428524329	-187547.11933662728	85930.34047714424	146.20435340734093	1599.565890624997	45205598.137202814	-101505.77139723509	-187392.52141982454	-101505.77171634902	129791529.89051276	86035.68905131209	-187392.52141281922	86035.69050726193	145.90495643673628	-1.2323475573339313e-14	0.0	0.0	0.0	0.002049897523684713	0.0	0.0	0.0	-0.0012252424818200492	114114926.82400404	0.001910778843679737
36	27.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.000000000000019	3.4296364034326624e-21	-4.974253922310082e-20	-9.647705269226481e-22	1.0023084999999927	7.608304042122301e-20	-4.70950318673391e-22	-1.5174595250060791e-21	0.998545470519696	47463114.198854215	-118047.83481344163	-295987.70931620395	-118320.34855623437	132846798.05747822	114445.7562454899	-295557.18646590394	114016.08687795342	104.57692560171228	1599.565890624997	47422775.781684816	-118219.78898166855	-295305.9954257601	-118219.78929752889	133040309.10914369	114182.16671363014	-295305.9954244749	114182.16820773443	104.336065793826	1.909583602355251e-14	0.0	0.0	0.0	0.0023058395075792933	0.0	0.0	0.0	-0.0014555883351899642	116789668.16649756	0.0021900772514321103
