6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
4	3.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998904999999959	9.345486560624107e-24	1.271277339820497e-22	-5.949082965481375e-24	1.0002964000000174	4.942437247228843e-22	-1.707300784309449e-24	-2.0699367648526965e-23	0.999907204565704	-834078.1616499015	-779.1601154505175	4406.589446709443	-779.4764111757224	20707817.656430267	856.1134151264195	4406.663064933543	855.7803184238993	5.508189457941626e-06	1599.565890624997	-833908.3970291623	-779.3177599564999	4405.766152008239	-779.3177599564449	20712007.390503775	855.9534652044159	4405.766152008183	855.9534652044548	5.507160348411704e-06	-0.00010950599556677296	0.0	0.0	0.0	0.0002963560822151212	0.0	0.0	0.0	-9.27997400584301e-05	21141301.57992606	0.00026518143858454105
8	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999780999999996	-1.3330842751904594e-22	-2.7977233550013522e-22	3.8778227116485935e-24	1.0005927999999968	7.047446470053788e-22	7.795350092699732e-24	-6.757734732313215e-23	0.9998143509175674	-1664680.466243786	-1558.1898513545477	8812.081279538657	-1559.45506695809	41435234.477769345	1713.94986578369	8812.375234910975	1712.616433541948	1.0167194810492219e-05	1599.565890624997	-1664003.1489630216	-1558.8205632879651	8808.789697535047	-1558.8205632879592	41452006.30876694	1713.309653062729	8808.78969753475	1713.3096530627033	1.0163397052118888e-05	-0.00021902398400569506	0.0	0.0	0.0	0.0005926243634849638	0.0	0.0	0.0	-0.00018566631735638422	42308560.025252745	0.0005303294904099385
12	9.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996714999999959	8.839913770231696e-23	1.7319176793390273e-22	-2.4246318115154348e-23	1.0008892000000023	4.0771401520493714e-22	2.999026028872257e-23	-9.571472303973594e-23	0.9997214385492385	-2491773.5901090764	-2337.159916815135	13215.923361690335	-2340.0068116507637	62182117.70939038	2575.5012043396305	13216.583562606247	2572.4963052731678	3.6226750704372534e-05	1599.565890624997	-2490253.5621146085	-2338.5793641992937	13208.521202090447	-2338.5793641992477	62219883.308436036	2574.0586815251077	13208.521202090775	2574.0586815252186	3.620646031805913e-05	-0.0003285539679483664	0.0	0.0	0.0	0.0008888048958830714	0.0	0.0	0.0	-0.0002786002562088879	63501646.336448155	0.000795444357408189
16	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995620000000042	1.832370492927467e-22	-8.41738991333961e-22	-8.179161896924338e-24	1.001185600000005	7.557651471876495e-22	-1.8740603958001394e-23	2.0519373147235425e-22	0.9996282792310746	-3305459.3850240298	-3089.0917883188126	17115.584031889728	-3094.1094354726138	82898184.08517227	4026.963328724877	17116.71893672953	4020.6994815165276	0.003002899613347836	1599.565890624997	-3302772.7824235135	-3091.594613332365	17102.806854849347	-3091.5946133291973	82965349.34374148	4023.9571080028513	17102.80685485187	4023.9571080047954	0.0030006578797369503	-0.00043809595001425704	0.0	0.0	0.0	0.0011848977313433425	0.0	0.0	0.0	-0.00037178987421602474	84665070.43644199	0.0010605848791761198
20	15.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994525000000013	1.5786576554452024e-22	1.5620611036349383e-21	2.752857078576476e-24	1.0014819999999964	4.063852322689319e-21	3.075788389717178e-23	9.550296480292237e-23	0.9995282574078026	-3815236.4139504014	-2825.3604160607833	927.009673911845	-2831.0976341108403	101868553.28766169	24860.8619097787	927.0799306169032	24812.36206689406	-0.7184367953030633	1599.565890624997	-3811388.595015891	-2828.242350649816	926.144942932053	-2828.242358604938	101972461.62642995	24837.671259149352	926.1449333260962	24837.671264286968	-0.7177666247844543	-0.00054764993285169	0.0	0.0	0.0	0.0014809029217759601	0.0	0.0	0.0	-0.0004718538977406882	103930593.36971572	0.0013278245298336097
24	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993430000000012	1.9185296255309903e-22	-3.214384155711663e-21	-1.8041801776516597e-22	1.0017783999999854	9.15600264334536e-21	1.3645171384674745e-22	-3.604125190567048e-22	0.9993971857037901	-3513213.464292369	5306.621482872234	-109042.12916437865	5319.554190086433	113366914.93609166	118501.66158427873	-109048.0415989985	118219.98477479679	152.9449421616891	1599.565890624997	-3509091.9878225764	5313.313166427206	-108920.11341241845	5313.313630653577	113509871.33929552	118369.06082292579	-108920.11343804409	118369.06093003791	152.77380012448404	-0.0006572159190765324	0.0	0.0	0.0	0.0017768205190607628	0.0	0.0	0.0	-0.0006029960617984667	115304735.81798415	0.0016049229911352866
28	21.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9992334999999951	6.412039410715054e-22	-2.898536157592375e-20	-6.988021814847977e-22	1.0020748000000137	-1.401373659584877e-20	1.5169830689732485e-22	-4.76879549304171e-22	0.9992392553874447	-3158784.081528886	23512.68544691248	-260333.00589092955	23579.544175725205	119037109.85603498	265277.1360108201	-260334.50572771643	264526.48841914977	152.37935987371364	1599.565890624997	-3154643.6842673263	23548.636243285342	-259993.2701717509	23548.63713123777	119219117.09238024	264930.9481800613	-259993.27054139657	264930.9482985564	152.18050413800884	-0.0007667939113281755	0.0	0.0	0.0	0.002072650575065003	0.0	0.0	0.0	-0.0007610341255774347	120828973.54299015	0.001891045986225938
32	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991240000000002	4.1674021004911576e-22	1.8850718241144453e-20	-1.0164395367051604e-23	1.0023712000000002	2.802535560932941e-20	8.77632012473862e-22	-1.7575933655526734e-21	0.9990700990839481	-3027605.314029034	50235.7706704286	-388540.2688258673	50399.03994708829	122503758.60519789	420972.52408247965	-388519.3079175102	419586.1390691945	94.07634863780224	1599.565890624997	-3023254.5662112455	50326.61455403539	-387960.995406941	50326.61521191809	122725288.34465654	420344.89752002264	-387960.99553667963	420344.8978952647	93.93609051660363	-0.0008763839122208774	0.0	0.0	0.0	0.002368393141486739	0.0	0.0	0.0	-0.0009303335421289388	124268436.13927928	0.002181390302028746
36	27.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9990144999999945	6.700030612781516e-22	-2.816373961708708e-20	-7.470830594782929e-22	1.0026675999999934	-1.32560656245298e-20	-8.004461351553138e-22	6.979551485375434e-22	0.998896178539029	-3017095.1784871905	82132.53378813229	-492411.34574995027	82432.86856803259	125045188.63278666	559525.730614997	-492353.02546002273	557421.1378004801	46.105056156839794	1599.565890624997	-3012393.3325978066	82304.40461497495	-491585.74171331007	82304.40505551554	125306858.63091983	558587.598896898	-491585.74172784504	558587.5992188078	46.027753875320194	-0.0009859859244090946	0.0	0.0	0.0	0.0026640482701075258	0.0	0.0	0.0	-0.0011044311205582436	126846492.27336857	0.0024737832386629573
