6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
4	3.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998904999999961	-4.113403750103696e-23	4.541949481855168e-22	3.169756107303202e-24	1.0002964000000174	-8.793856353724744e-22	-1.819797347616661e-24	-4.9763185651190145e-24	0.9999072045657037	-834078.161659707	-779.1601154363829	4406.589446718263	-779.4764111616065	20707817.656426337	856.1134151451478	4406.6630649424305	855.78031844261	3.159855768899433e-07	1599.565890624997	-833908.3970389658	-779.3177599423625	4405.766152017057	-779.317759942332	20712007.390499845	855.9534652231404	4405.7661520170695	855.9534652231691	3.159265404731609e-07	-0.00010950599556655089	0.0	0.0	0.0	0.0002963560822160091	0.0	0.0	0.0	-9.279974005854112e-05	21141301.57992976	0.00026518143858508857
8	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997809999999956	1.8607924187747888e-22	-1.1501119236937297e-23	-1.1673172804348327e-23	1.0005927999999968	-4.494965623062157e-22	-3.599890025830777e-24	2.109641434255242e-23	0.9998143509175664	-1664680.4662126738	-1558.1898513764459	8812.081279543028	-1559.4550669799935	41435234.47782984	1713.9498657968322	8812.375234915398	1712.6164335550907	7.686534476306406e-06	1599.565890624997	-1664003.148931924	-1558.8205633098746	8808.789697539423	-1558.8205633098557	41452006.30882752	1713.3096530758673	8808.789697539185	1713.3096530758542	7.683663320475035e-06	-0.00021902398400613923	0.0	0.0	0.0	0.0005926243634854076	0.0	0.0	0.0	-0.00018566631735760568	42308560.02529799	0.0005303294904107728
12	9.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996714999999962	7.941595624999108e-23	2.822472598928939e-22	-6.909935965022972e-23	1.0008892000000167	-5.490626382779985e-21	4.6586812098986516e-24	1.8475906161984425e-23	0.9997214385492388	-2491773.5901162624	-2337.1599168100374	13215.923361716776	-2340.0068116456773	62182117.70938411	2575.5012043427987	13216.58356263254	2572.4963052762755	4.169739093049429e-05	1599.565890624997	-2490253.5621217536	-2338.579364194192	13208.52120211668	-2338.5793641941304	62219883.30842973	2574.058681528237	13208.521202116859	2574.0586815283273	4.167403647132213e-05	-0.00032855396794814425	0.0	0.0	0.0	0.0008888048958972695	0.0	0.0	0.0	-0.000278600256208999	63501646.33644307	0.0007954443574176043
16	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995620000000038	-1.472844711487419e-22	5.338689847866245e-22	-4.566036981292713e-23	1.001185600000005	-1.8750927172046056e-21	1.1223186551119479e-23	-8.851494298807438e-23	0.9996282792310748	-3305459.385018851	-3089.0917883226657	17115.584031915576	-3094.1094354765196	82898184.08519174	4026.963328746068	17116.718936755788	4020.6994815376397	0.002999203874653176	1599.565890624997	-3302772.782418338	-3091.5946133362213	17102.80685487518	-3091.594613333099	82965349.34376098	4023.9571080240275	17102.806854878105	4023.9571080259248	0.0029969648999962064	-0.00043809595001459027	0.0	0.0	0.0	0.0011848977313435643	0.0	0.0	0.0	-0.00037178987421580264	84665070.43646047	0.0010605848791763162
20	15.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999452500000002	-7.353304773351395e-23	5.095961968918684e-22	3.1975493758849837e-23	1.0014819999999964	3.477599644070937e-21	3.687240298516376e-23	1.7787691892340308e-23	0.9995282574078005	-3815236.413959231	-2825.3604159020747	927.0096739252955	-2831.097633951724	101868553.28766406	24860.861909973555	927.0799306303253	24812.3620670872	-0.718460224007209	1599.565890624997	-3811388.5950247203	-2828.2423504909502	926.1449429454905	-2828.242358445989	101972461.62643248	24837.671259344013	926.1449333395068	24837.671264480345	-0.7177900316338911	-0.0005476499328510235	0.0	0.0	0.0	0.001480902921776182	0.0	0.0	0.0	-0.00047185389774235436	103930593.36973396	0.0013278245298340464
24	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993430000000009	6.153694361802492e-22	8.402355078525846e-21	-1.4399560103323107e-22	1.0017783999999854	-2.8441248786431268e-21	2.7480925182481706e-22	-6.297689962835723e-22	0.999397185703791	-3513213.4642783278	5306.621483352276	-109042.1291645792	5319.554190567534	113366914.93610938	118501.66158466588	-109048.0415991959	118219.98477518221	152.944954164617	1599.565890624997	-3509091.9878085484	5313.31316690785	-108920.11341261878	5313.313631134108	113509871.3393132	118369.06082331254	-108920.11343824115	118369.06093042374	152.77381211398097	-0.0006572159190768657	0.0	0.0	0.0	0.0017768205190607628	0.0	0.0	0.0	-0.0006029960617980223	115304735.8179888	0.0016049229911352582
28	21.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9992334999999941	-2.0066210520454377e-21	3.1586070361349674e-20	-6.013933925505532e-22	1.002074800000023	2.259290980211395e-20	-1.0084986028246514e-23	-3.5024812368965317e-22	0.999239255387446	-3158784.081543133	23512.685447765594	-260333.00589100915	23579.544176580966	119037109.85603864	265277.136010943	-260334.5057277945	264526.4884192675	152.37934115228114	1599.565890624997	-3154643.6842815205	23548.636244139754	-259993.2701718282	23548.637132092164	119219117.09238389	264930.94818018185	-259993.2705414718	264930.94829867425	152.18048544100662	-0.0007667939113291754	0.0	0.0	0.0	0.0020726505750738667	0.0	0.0	0.0	-0.000761034125576657	120828973.54301015	0.001891045986231923
32	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991240000000001	-2.0608311606697126e-21	5.959268536672108e-20	-1.094366567852556e-21	1.0023711999999914	3.617169497954764e-20	-1.2712376351510947e-21	-2.749468946787459e-21	0.9990700990839483	-3027605.3139733495	50235.77067170354	-388540.26882557187	50399.03994837426	122503758.60525276	420972.5240823762	-388519.307917205	419586.13906909723	94.07639758960063	1599.565890624997	-3023254.5661556674	50326.61455531264	-387960.99540664954	50326.615213202655	122725288.34471151	420344.8975199232	-387960.99553637824	420344.89789516723	93.9361393954208	-0.0008763839122209885	0.0	0.0	0.0	0.0023683931414776567	0.0	0.0	0.0	-0.0009303335421287166	124268436.13928188	0.0021813903020226517
36	27.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9990144999999936	-3.268700143454345e-21	-2.921046058165658e-20	3.4135427774348306e-22	1.0026675999999934	1.581537567465867e-20	-2.3674570875757694e-21	4.808606041562663e-21	0.9988961785390283	-3017095.178501499	82132.53378990313	-492411.345749015	82432.868569807	125045188.63279137	559525.7306147729	-492353.025459076	557421.1378002579	46.105048752197284	1599.565890624997	-3012393.3326120945	82304.40461674961	-491585.7417123768	82304.40505728724	125306858.63092475	558587.5988966748	-491585.74172690004	558587.5992185859	46.027746483092756	-0.0009859859244099837	0.0	0.0	0.0	0.0026640482701077474	0.0	0.0	0.0	-0.0011044311205589106	126846492.27338445	0.0024737832386636195
