6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
2	2.5	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9999164796052693	-1.2790693811907466e-23	-1.4718520947523554e-22	-7.0144915944496745e-25	1.000250000000017	1.5661506845834006e-22	-4.0829635035617446e-24	-7.391685953773855e-24	0.9999173473231824	-1.4645028346927864e-11	-0.000617708911554425	0.0034265312207906466	-0.0006179149472826651	17.699961032513492	0.000909420057969176	0.0034265341943015195	0.0009091176125638838	1.1325367010525667e-11	1599.565890624997	-1.464257825321502e-11	-0.0006178115709359384	0.0034259609397000817	-0.0006178115709359724	17.702902656016764	0.0009092687022601449	0.003425960939700086	0.0009092687022601519	1.1323482118127579e-11	-8.35238827530795e-05	0.0	0.0	0.0	0.0002499687552245336	0.0	0.0	0.0	-8.265609273811346e-05	17.702903752929103	0.00022203972723964483
4	5.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998329313366079	-1.8869644133559668e-23	7.907846656006944e-23	-1.9825864921670967e-23	1.000499999999992	-2.8118846870882603e-21	-8.218866566326883e-24	-3.671358430755358e-23	0.9998346671389885	2.112614544674124e-12	-0.0012354743553494349	0.006853363011244287	-0.0012362986392883604	35.41319901449335	0.0018195364214564445	0.006853374909315943	0.0018183264290796276	6.405746389923084e-12	1599.565890624997	2.1119079330728284e-12	-0.001235885131313526	0.006851082643443259	-0.0012358851313135674	35.42497335113073	0.0018189309942725235	0.00685108264344329	0.0018189309942725058	6.4036149607567016e-12	-0.00016708262091585347	0.0	0.0	0.0	0.0004998750416432252	0.0	0.0	0.0	-0.00016534652999538766	35.424975543361874	0.00044406087596467127
6	7.5	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997493551870642	3.220048688546426e-23	-8.526180707502583e-22	-1.1567293685941539e-23	1.0007499999999885	1.0306670432410725e-21	-2.031555584430236e-23	1.2575792288766191e-22	0.9997519594405856	-7.974826180499883e-12	-0.0018532962282807896	0.010280494853829264	-0.001855151184473647	53.13971726264729	0.002730349217733223	0.010280521633556639	0.0027276262606903173	-3.602336134250761e-12	1599.565890624997	-7.970826631647998e-12	-0.0018542207857867154	0.010275365728254337	-0.0018542207857867835	53.16622717709498	0.002728986996925735	0.010275365728254587	0.0027289869969256792	-3.600538863335328e-12	-0.00025067622959664717	0.0	0.0	0.0	0.0007497188905348803	0.0	0.0	0.0	-0.00024807132656129384	53.16623046307708	0.0006660634769942689
8	10.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996657488016281	-2.1390890640621295e-23	1.5217211595219522e-21	-4.9763185651190145e-24	1.0010000000000083	-5.212164301370133e-22	-1.0905549195899116e-23	4.036641389258775e-23	0.9996692153749789	1.3293409755789355e-10	-0.00247487382085164	0.013688622914501477	-0.0024781770283139907	70.87713208498168	0.003663056793648276	0.013688670382983032	0.00365818692385647	1.1590344443923595e-10	1599.565890624997	1.3284523942436052e-10	-0.00247652052189919	0.013679520362609185	-0.002476520521899177	70.92429143778114	0.003660620963195727	0.013679520362608938	0.003660620963195726	1.1582637188605852e-10	-0.00033430707275481064	0.0	0.0	0.0	0.0009995003330916306	0.0	0.0	0.0	-0.00033083934632261477	70.92429580842808	0.0008880512852609631
10	12.5	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995819196248906	-1.9090005048743793e-22	-1.168429011178104e-21	-6.019227881425872e-23	1.0012500000000033	4.826102565879384e-21	-4.243105670152011e-23	1.1514354126738144e-22	0.999585665293111	-1.6313288146705026e-07	-0.0033440057726505604	0.015215336548879074	-0.0033495861760587955	88.41971801904295	0.006463444169037547	0.015215393564216305	0.006452700264554682	-1.784053006547194e-07	1599.565890624997	-1.6299675515489308e-07	-0.0033467911123001453	0.015202697071770369	-0.00334679111224763	88.49336590219488	0.006458074944744972	0.015202697071668077	0.006458074944838055	-1.7825709823366528e-07	-0.0004181677950759652	0.0	0.0	0.0	0.0012492194004356683	0.0	0.0	0.0	-0.0004144205672308844	88.49337088724597	0.0011103444954397653
12	15.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994955998770999	-2.668153783851046e-23	-1.018662998191703e-21	-7.326834993749697e-23	1.0015000000000103	-2.9569920188647626e-21	-3.189608442004475e-23	2.24251972785576e-22	0.9994904216853682	0.00030468741904943875	-0.005407187913846574	-0.017361973890102668	-0.005418031808510647	102.94631561958636	0.03550334613307031	-0.01736188399316717	0.035432106176246855	0.0004726335779238576	1599.565890624997	0.000304386181037905	-0.0054126748582149714	-0.017344718613399958	-0.005412675114973663	103.05078040160173	0.03546806097106765	-0.017344718665412918	0.035468060908825386	0.00047216384889317884	-0.0005045273754346809	0.0	0.0	0.0	0.0014988761237459257	0.0	0.0	0.0	-0.0005097081937856991	103.05041524333318	0.0013373326173180095
14	17.5	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994059964754016	-4.586683409382036e-22	3.2855878628402277e-21	-2.22769665127881e-22	1.0017499999999764	-6.001440189533532e-21	-2.0117032497289633e-23	-1.085896238380013e-21	0.9993693589126513	-0.0005694666696596125	-0.0018530090156913806	-0.12310724006138521	-0.0018573497693281002	111.24205506611068	0.11893675486257903	-0.12310272884250871	0.11865409689145134	0.00039396571925418857	1599.565890624997	-0.0005688305718631006	-0.0018552803798185273	-0.12296522052297176	-0.0018552750981338621	111.37841231595004	0.1187995464984117	-0.12296522233206073	0.11879953960486289	0.00039351123071581097	-0.0005941800145859025	0.0	0.0	0.0	0.0017484705340930857	0.0	0.0	0.0	-0.000630840025082689	111.37889373293036	0.0015741293386504825
16	20.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993166156901969	2.498747194400186e-22	-4.031358021250276e-20	-3.3288394827094005e-22	1.0019999999999898	-1.6651397193598663e-20	-1.7239767454585181e-22	-8.406802001498931e-22	0.9992312590161027	-0.000664357660485463	0.00833853982183691	-0.2465416613181096	0.008360937011194685	115.92097021951611	0.2346094018494476	-0.24652060774366136	0.2339611164071962	9.006158028937507e-05	1599.565890624997	-0.0006635416889817328	0.008350661641843426	-0.24621782359116073	0.008350668014912422	116.08948571095766	0.2343012373996359	-0.2462178283780195	0.23430122805770182	8.994328248408567e-05	-0.0006836179232984519	0.0	0.0	0.0	0.001998002662663086	0.0	0.0	0.0	-0.0007690366167670608	116.09126604505612	0.0018168893866016592
18	22.5	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9992283421563918	-2.2658131339052533e-21	2.1706807460167547e-20	-1.4399560103323107e-23	1.0022500000000134	3.773192966839006e-20	-7.75193965415295e-22	-9.931461306556672e-22	0.9990852318377186	-0.00023370429123630718	0.025393560408992377	-0.35359076957545504	0.02547035238505524	119.11949762410921	0.35304879073564954	-0.3535401328651966	0.3519339761617801	0.0004913834893519411	1599.565890624997	-0.00023339313766456546	0.02543643912615411	-0.35306942516986906	0.025436441192940598	119.32063882545346	0.3525282454392609	-0.3530694300188213	0.35252824010824513	0.000490658979395195	-0.0007719557247734376	0.0	0.0	0.0	0.002247472540492441	0.0	0.0	0.0	-0.0009151868180113213	119.32364768387234	0.002062354448094489
