6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
2	3.3333333333333335	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998886332798268	-3.5398367133594264e-23	-3.903630746760248e-23	-5.214546581534287e-24	1.0003333333333262	-4.0026277224705944e-22	-1.3962808739895107e-24	2.5530102425836647e-23	0.9998897903184871	-8.0248411960665e-12	-0.0008236244497983652	0.004568775113196085	-0.0008239907564296555	23.602898312730627	0.0012127148055655795	0.004568780400034415	0.0012121770936218681	2.833585464531718e-11	1599.565890624997	-8.023051358288215e-12	-0.000823806975872611	0.0045677613922356945	-0.0008238069758726444	23.60812902725215	0.0012124457281023821	0.004567761392235811	0.0012124457281023568	2.8329567478828845e-11	-0.00011137292190683031	0.0	0.0	0.0	0.0003332777901136754	0.0	0.0	0.0	-0.00011021575504606903	23.60813048943703	0.00029604883956455734
4	6.666666666666667	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997772170018847	2.1863707078756604e-22	-6.207030967699911e-22	8.2056316765260345e-25	1.0006666666666504	1.5560259938857513e-21	8.060047888716701e-24	-5.616887231480079e-23	0.999779531730943	-5.83338634341235e-13	-0.0016473493404047079	0.009138084265799757	-0.0016488149012253053	47.22940205681274	0.00242666756303731	0.009138105422702408	0.0024245162156962905	7.14950518752866e-12	1599.565890624997	-5.830785513322057e-13	-0.0016480797729044037	0.00913403117513779	-0.0016480797729043926	47.2503435106728	0.0024255912429516813	0.009134031175137856	0.0024255912429516197	7.146334107916023e-12	-0.00022280781793377168	0.0	0.0	0.0	0.0006664445431440265	0.0	0.0	0.0	-0.00022049257575821755	47.25034643224137	0.0005920646689369487
6	10.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996657481079781	-6.254808919880974e-23	-1.56068467509565e-21	5.18278284601225e-23	1.0010000000000054	-1.13732702014611e-21	2.0619958309721875e-23	-2.9354985578281846e-23	0.9996692126573622	1.7435136764887283e-10	-0.0024759358973004152	0.0136816445690809	-0.0024792405240335264	70.87640467456146	0.003669158325416345	0.01368169198566319	0.0036642803339501906	1.5149081503823546e-10	1599.565890624997	1.7423482513319308e-10	-0.0024775833134738057	0.013672546667080569	-0.002477583313473668	70.92356378538494	0.0036667184401598767	0.01367254666708051	0.003666718440159874	1.513900779826712e-10	-0.000334307766636657	0.0	0.0	0.0	0.0009995003330889687	0.0	0.0	0.0	-0.0003308420648387711	70.92356815306037	0.000888052420087759
8	13.333333333333334	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995535296592875	2.713152409173931e-22	-2.2795244797389323e-21	1.300195574035351e-22	1.0013333333333274	-1.2741493109072814e-21	3.642241673193491e-23	3.536362554786704e-23	0.9995559307414744	-1.6178046155215232e-06	-0.004073700873097839	0.01064977069147823	-0.004080954490672777	93.77375872400032	0.011762506464435137	0.01064979626687933	0.011741627592604897	-5.686286529995487e-06	1599.565890624997	-1.6163681943938306e-06	-0.004077331089505284	0.010640340501387329	-0.004077331080778088	93.85732377899876	0.011752090965818453	0.010640340494398156	0.011752090964969389	-5.681251420372695e-06	-0.00044657003827088676	0.0	0.0	0.0	0.0013324452337727076	0.0	0.0	0.0	-0.00044416788647849573	93.85733171015586	0.0011852102755344764
10	16.666666666666668	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994358993284508	6.454391058077769e-22	-8.698816610064851e-21	1.3616054627112878e-22	1.0016666666666503	-4.781289229013712e-21	-8.697969577117597e-23	-5.395599874009893e-22	0.9994111731820323	0.0007747408676409537	-0.0036008595276059885	-0.08510736335768637	-0.00360889120895383	108.79435522460867	0.0880818771694005	-0.08510525908771471	0.08788353085509613	0.002633930482372268	1599.565890624997	0.0007739074788168882	-0.0036050146506638233	-0.08501371005900948	-0.0036050091243415025	108.91989578804647	0.08798495067532151	-0.08501371135252313	0.08798494188839538	0.002631032069492021	-0.0005642598361924408	0.0	0.0	0.0	0.0016652793190444016	0.0	0.0	0.0	-0.0005890002445610645	108.91839965468137	0.001494674493246659
12	20.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993166884081903	5.124549330888517e-22	5.460821410948474e-21	1.97358676710252e-22	1.0019999999999945	-1.048457382111373e-20	-2.167080855990924e-22	-9.495239338720707e-22	0.9992306202784996	-0.0030309112901669476	0.008529654967202949	-0.2454342756374452	0.00855257617460872	115.80211995043041	0.2349502177821358	-0.24541314914587237	0.23430082627706783	-0.0011845204990326053	1599.565890624997	-0.0030271906261137467	0.008542059451983174	-0.24511187464895695	0.008542077265307625	115.97052836084868	0.23464158858899742	-0.24511188665588388	0.23464156468263325	-0.0011829645200285284	-0.0006835451555793756	0.0	0.0	0.0	0.001998002662667961	0.0	0.0	0.0	-0.000769675845975711	115.97412356903061	0.0018170893407121217
14	23.333333333333336	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9991991862064535	-1.164670302474663e-21	3.404987744667562e-20	2.371692252312041e-23	1.0023333333333555	4.573977915173222e-21	-8.229983873759595e-22	1.785121936338438e-21	0.9990352162740607	-0.0006895791849605158	0.03260919752156333	-0.38315575303144955	0.0327114852391093	119.95074008472572	0.38850635841450615	-0.38309289007654973	0.38722799113999884	0.0007951748736421733	1599.565890624997	-0.000688638299522443	0.03266684878995313	-0.3825701716255164	0.03266685256922821	120.16280639839712	0.3879125996159643	-0.3825701850274945	0.38791258893884056	0.0007939595986090149	-0.000801134616203337	0.0	0.0	0.0	0.0023306153383044425	0.0	0.0	0.0	-0.000965249429317707	120.16647243396544	0.00214463237025194
16	26.666666666666668	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9990824884575383	-2.3513634615779376e-21	-9.903975087418269e-20	3.117081245895825e-22	1.0026666666666797	9.365643297790799e-21	-1.4530850210147523e-21	1.4450382080158363e-21	0.9988338765019315	-5.4385583188814815e-05	0.0636404633044389	-0.4932196289634271	0.0638687759077338	122.96865506447665	0.5165393880171532	-0.4930969064828613	0.5145648616942478	0.00117743144399631	1599.565890624997	-5.4304266161149056e-05	0.06377327530245519	-0.492359620265707	0.06377327966198365	123.22527973256499	0.5156387175240842	-0.49235963067491173	0.5156387128864315	0.0011753784006392682	-0.0009179327138163705	0.0	0.0	0.0	0.0026631174194969155	0.0	0.0	0.0	-0.001166803949119446	123.23095604146046	0.0024744990352189855
18	30.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9989656662057651	-3.546526950153756e-21	-1.8443083635278322e-20	2.163322147287483e-21	1.003000000000001	-1.8638112971383626e-20	-2.7964792753600725e-21	8.97177297731755e-21	0.9986297791005969	0.0008778202115547661	0.09366482156469719	-0.5792996425271484	0.09404309160202173	125.33215842652315	0.6127663575358175	-0.5791048637378032	0.610096431908745	0.0013685695184155065	1599.565890624997	0.000876395483078807	0.09389045322696528	-0.5781649572559739	0.0938904568497012	125.63407437286264	0.61156612037093	-0.5781649592117133	0.6115661093156498	0.0013658888751678256	-0.0010348690865796544	0.0	0.0	0.0	0.0029955089797994777	0.0	0.0	0.0	-0.0013711605104742288	125.64151482448275	0.0028057417999928593
