6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
4	3.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0000000000000064	-2.932355271500483e-24	-2.2621073647610157e-22	4.767869050755652e-24	1.000256500000016	2.584906327003709e-22	-6.1095560043166625e-24	5.885555494437303e-23	0.9998726512123346	6.824367305472954	-0.0002508636997315596	0.0007004930890164774	-0.00025092804627055134	20.440437305549764	0.0027505956498372203	0.0007004038820708083	0.0027495401077782503	-3.869273335326689e-12	1599.565890624997	6.823486266838067	-0.0002508956509885419	0.000700313458614327	-0.00025089565098855007	20.443040701999227	0.002749890302974445	0.0007003134586143167	0.002749890302974529	-3.8682811212188516e-12	6.4392935428258874e-15	0.0	0.0	0.0	0.00025646710951568636	0.0	0.0	0.0	-0.00012735689721009934	18.027342977842842	0.00022574126077224294
8	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0000000000000007	7.405086279697215e-23	3.837720995552023e-22	2.2122118302118172e-23	1.0005129999999862	-3.761488030299136e-22	5.538801381655073e-24	3.5945960699104373e-23	0.9997452535240174	13.650487042356167	-0.0005017961361870194	0.0014011856727837184	-0.0005020535576048972	40.89660706074023	0.0055033384492898475	0.001400828725671356	0.005499115446989443	2.627984002287476e-13	1599.565890624997	13.646964449147982	-0.0005019239995571173	0.00140046723309316	-0.0005019239995571384	40.90702798196153	0.005500516684230909	0.0014004672330931373	0.0055005166842308295	2.626636537745702e-13	6.661338147750937e-16	0.0	0.0	0.0	0.0005128684604708176	0.0	0.0	0.0	-0.0002547789293775588	36.074477374036995	0.0004514738520153651
12	9.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0000000000000073	-1.5754812818929986e-22	-8.888287292453797e-22	1.4121627417505288e-23	1.0007695000000068	1.5850368723292112e-21	1.6589934365363524e-23	-1.2070219498373779e-22	0.999617806913148	20.478359039871886	-0.0007528017019493252	0.0021020769568215573	-0.0007533809828589894	61.36851278002908	0.008258224643735204	0.002101273557540657	0.008248721016544513	-6.742823957170407e-12	1599.565890624997	20.470436718521412	-0.0007530895275605339	0.0021004606523495448	-0.0007530895275605485	61.391976368985034	0.008251874826056438	0.002100460652349588	0.008251874826056538	-6.737639343696299e-12	7.327471962526006e-15	0.0	0.0	0.0	0.000769204086675776	0.0	0.0	0.0	-0.0003822661412440572	54.141418469309045	0.0006771978236298326
16	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9999999999999968	3.858962993682385e-23	2.4617953820762173e-21	-9.277657750394758e-24	1.0010259999999809	4.948419417418826e-21	1.564363974460286e-23	-1.470925652466296e-22	0.9994902323486977	27.304114495948724	-0.0010548839465839624	0.002811458701925128	-0.0010559662575125204	81.84322073183513	0.011003319657021145	0.0028100255112256	0.010986438434768918	2.703993626073514e-10	1599.565890624997	27.290040767388906	-0.0010554219665609924	0.002808577101818725	-0.0010554219665603723	81.8849630371198	0.010992041822111904	0.0028085771018184014	0.010992041822111628	2.7012221721249585e-10	-3.219646771412959e-15	0.0	0.0	0.0	0.0010254740217192826	0.0	0.0	0.0	-0.0005098976270047019	72.21668717553176	0.000902953014522027
20	15.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9999999999999922	-6.958905057286111e-23	6.478213859719296e-22	1.5908337540619828e-23	1.0012825000000007	-3.2312718750975456e-21	4.566698725782755e-23	-7.517417406881915e-24	0.9993572590993911	33.87140196439415	-0.005215939953011938	0.0022361409921710386	-0.005222629395253065	101.4536948739772	0.0130739529044208	0.002234703734465232	0.013048814636121613	2.4753960399408365e-06	1599.565890624997	33.84977416624247	-0.005219294607128307	0.0022332768146562576	-0.0052192946063801295	101.5189452522783	0.013057207036396713	0.002233276816224628	0.013057207037132198	2.472225410851437e-06	-7.771561172376126e-15	0.0	0.0	0.0	0.0012816782993552022	0.0	0.0	0.0	-0.0006429475470926184	89.52938265927902	0.001131396920249513
24	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9999999999999989	1.0333801956502464e-22	2.589320162752292e-21	2.2329906071991493e-22	1.0015389999999988	-2.342522555190971e-21	6.093343264310623e-23	1.2581350942482546e-21	0.9991873151505009	38.68877977497426	-0.03952446035883898	-0.027566526385245746	-0.039585288289573334	114.94680853441074	0.019922341501373567	-0.027544123407202026	0.019875562032045595	0.0002049117251092697	1599.565890624997	38.66074824164441	-0.03955660741438227	-0.027524166692705732	-0.039556607200779255	115.04030004333791	0.019891728131778804	-0.027524166613066333	0.019891727737808493	0.00020459685055626404	-1.1102230246251571e-15	0.0	0.0	0.0	0.0015378169531489298	0.0	0.0	0.0	-0.0008130152568553895	101.39702519450495	0.0013785892038898392
28	21.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9999999999999863	6.916024014331362e-22	1.881507006546587e-20	3.6867109029243424e-22	1.0017955000000052	7.803291026580242e-21	-3.1753147610195585e-22	1.2159157957835481e-21	0.9989796249297705	41.843525234889505	-0.0805815740663168	-0.10609302034245165	-0.0807262583121416	122.03952140471615	0.056186053466206504	-0.10598476555749413	0.05602812389303339	0.00018921692566060288	1599.565890624997	41.81119293849335	-0.08066388148004809	-0.1059028717362501	-0.08066388150961243	122.16417468303955	0.056085352216302606	-0.10590287162446037	0.05608535198800776	0.00018887779557864303	-1.3655743202889519e-14	0.0	0.0	0.0	0.0017938900167416073	0.0	0.0	0.0	-0.0010208960072692406	107.53819407426201	0.001645417232518609
32	24.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0000000000000155	2.498747194400186e-22	1.6449591593915326e-20	-1.0452386569118066e-21	1.0020519999999935	-7.327682026696952e-21	-7.388244882425634e-22	3.873905184267543e-21	0.9987567599405061	44.38921181178557	-0.10138129866448431	-0.21138077677516523	-0.10158933336383004	126.48089537967887	0.09523769348761123	-0.21111797980803337	0.09492450510590408	0.00015526770999699227	1599.565890624997	44.353453666601474	-0.10150749685090675	-0.2109479116604361	-0.10150749712517408	126.63833723359343	0.09504266593710743	-0.21094791174273503	0.09504266595557968	0.00015494975310362225	1.5543122344752072e-14	0.0	0.0	0.0	0.0020498975236898096	0.0	0.0	0.0	-0.001244013523550837	111.3005601923572	0.001920619083728294
36	27.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9999999999999957	-2.65714235553674e-21	-6.010545793716515e-21	1.5479527111072338e-21	1.0023084999999878	-5.565006463460753e-22	-1.5449880957918439e-21	-4.200012868960448e-21	0.9985273411092838	46.640558210523785	-0.109832298465004	-0.31178069234506256	-0.11008584670461902	129.7938087623238	0.11455807194289358	-0.3113215459567729	0.11412590742599407	0.0001266324169594355	1599.565890624997	46.60176496849885	-0.10999428252309007	-0.3110626043229881	-0.10999428290138458	129.985232670879	0.11429422372742074	-0.31106260454304957	0.11429422383087663	0.00012634075931655534	-4.32986979603812e-15	0.0	0.0	0.0	0.0023058395075746412	0.0	0.0	0.0	-0.0014737443185942204	114.06440024751583	0.0021997005882278746
