6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
4	3.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998904999999958	1.8674429508997153e-23	-1.470660954670279e-22	-4.387365968981259e-24	1.0002964000000174	-9.08581802273146e-22	1.5881867761018132e-25	-5.0199937014618146e-23	0.9999072045657041	-0.8340781616664176	-0.0007791601154364241	0.004406589446714393	-0.0007794764111616715	20.707817656419326	0.0008561134151394015	0.004406663064938605	0.0008557803184368616	-9.851955629774922e-12	1599.565890624997	-0.8339083970456748	-0.0007793177599424037	0.004405766152013189	-0.0007793177599423967	20.712007390492836	0.0008559534652173955	0.004405766152013243	0.0008559534652174196	-9.850114962981615e-12	-0.00010950599556688398	0.0	0.0	0.0	0.00029635608221534316	0.0	0.0	0.0	-9.279974005854112e-05	21.141301579931085	0.0002651814385847629
8	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997809999999963	-1.0466150854510949e-22	6.501771963564806e-22	-2.1559635485582113e-23	1.0005927999999968	5.493802756332188e-23	1.7920040790348793e-23	9.137367918505765e-23	0.9998143509175669	-1.6646804662130594	-0.0015581898513569595	0.008812081279551373	-0.0015594550669605497	41.435234477840424	0.001713949865815481	0.008812375234923958	0.0017126164335737244	-1.1309765936273753e-12	1599.565890624997	-1.6640031489323086	-0.0015588205632903788	0.008808789697547757	-0.0015588205632904191	41.452006308838065	0.0017133096530945076	0.008808789697547736	0.0017133096530944933	-1.1305541392619686e-12	-0.00021902398400547296	0.0	0.0	0.0	0.0005926243634849638	0.0	0.0	0.0	-0.0001856663173573836	42.308560025312886	0.0005303294904101718
12	9.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996714999999924	2.27309232329572e-23	-8.836671222230488e-22	-5.9557004103817994e-24	1.0008892000000056	4.941643153840792e-22	2.874618064744282e-23	1.9322939109238726e-23	0.999721438800724	-2.491785894421333	-0.002337172399370079	0.013216354708785055	-0.0023400193094108134	62.18218373845546	0.0025745427782172567	0.013217014934573263	0.0025715389980163366	1.5616004680335527e-11	1599.565890624997	-2.4902658582945585	-0.002338591853747097	0.013208952307590246	-0.0023385918537471395	62.219949361951564	0.0025731007922114714	0.013208952307590083	0.0025731007922114896	1.5607258249549937e-11	-0.00032855396795192026	0.0	0.0	0.0	0.0008888048958857335	0.0	0.0	0.0	-0.0002786000046537594	63.50171885821358	0.0007954442788805262
16	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995619999999987	-7.952183536839786e-23	-9.165690582679581e-22	-4.6692691217393307e-23	1.0011855999999908	3.542185906299077e-22	6.03510974918689e-24	1.231903542662973e-22	0.9996282529772845	-3.303385207998573	-0.0030849349854949262	0.01705513304749043	-0.0030899458807079026	82.89046389450245	0.004132349398506725	0.0170562634959707	0.004125921517369598	1.0698348780271983e-09	1599.565890624997	-3.3007003779303785	-0.0030874345236961906	0.017042400998500257	-0.003087434523694639	82.95762507682849	0.00412926450466041	0.017042400998501694	0.004129264504659954	1.0690362216906868e-09	-0.0004380959500196995	0.0	0.0	0.0	0.0011848977313291486	0.0	0.0	0.0	-0.0003718161377695528	84.6562543277824	0.001060593080775977
20	15.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994525000000024	-2.0508785235394748e-22	-9.949725454481842e-22	-9.486769009248164e-23	1.0014820000000142	-1.5948571605614408e-21	-4.4310411053240585e-23	1.6210093028079172e-22	0.9995250951131328	-3.6912653455748736	-0.0021434463951335667	-0.009645739324137596	-0.0021477989202797945	101.06451473392426	0.03353890932923981	-0.009646439962795765	0.03347337399009454	6.372994669775571e-05	1599.565890624997	-3.68755422307136	-0.0021456395496058816	-0.009636741608308429	-0.0021456395672775435	101.16792300808696	0.03350762364286328	-0.00963674162981961	0.03350762363591564	6.367049827903684e-05	-0.0005476499328505792	0.0	0.0	0.0	0.0014809029217943625	0.0	0.0	0.0	-0.0004750176899077539	103.06117774274043	0.0013288196571965855
24	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993430000000086	9.546061315555965e-22	-6.378316911502492e-21	5.632769099241098e-23	1.001778399999984	-3.2953816812928553e-21	-7.39565642071411e-23	-1.7279472123987726e-22	0.9993863744427609	-3.324896885716164	0.009339039800666	-0.1412902891775406	0.009361799837932835	110.85592182887041	0.14302860975602197	-0.1412964218284686	0.14268708782964973	0.00021188555744676657	1599.565890624997	-3.3210322563688996	0.009350917545642018	-0.14113218844151423	0.009350918331636407	110.99691259415991	0.14286856387737817	-0.14113218867561278	0.14286856267896889	0.00021164846215323516	-0.000657215919069089	0.0	0.0	0.0	0.001776820519059433	0.0	0.0	0.0	-0.000613813902454465	112.69457240638678	0.0016084188270548804
28	21.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9992335000000045	-1.1121542597448963e-21	2.265071980076406e-20	-7.292953675859526e-22	1.0020748000000004	-9.167861104606919e-21	-5.613446160131859e-22	1.3438177708189475e-21	0.9992252283250745	-3.0625060589586646	0.027743449930216563	-0.2849056069320058	0.027822338751765773	115.92881022879037	0.2936844550234911	-0.28490324902099623	0.2928493116873604	0.0001803082076789359	1599.565890624997	-3.0585347936769334	0.027786259603878736	-0.28453380386025334	0.027786260492387888	116.10769477798743	0.2933011955163177	-0.28453380440286075	0.29330119432982416	0.000180072904673849	-0.0007667939113187313	0.0	0.0	0.0	0.002072650575051708	0.0	0.0	0.0	-0.0007750719656138657	117.6688308790182	0.0018957283669682914
32	24.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9991239999999961	-4.148767375651563e-21	5.678297120156016e-22	-1.2527617289891103e-21	1.0023711999999907	4.3977103588496017e-20	-1.248844201608059e-22	-7.004962473793063e-22	0.9990555543332726	-2.97762397414972	0.05445115249746655	-0.39806162571874987	0.054628121743854584	119.3299476993986	0.4422832309241637	-0.3980343565333249	0.44082024466413094	0.00011899957395217914	1599.565890624997	-2.973388338266312	0.054550413429779405	-0.39746815693990706	0.05455041386847804	119.54747848282945	0.44162383229842267	-0.39746815723549617	0.4416238314838916	0.00011882215787568924	-0.0008763839122249888	0.0	0.0	0.0	0.002368393141477435	0.0	0.0	0.0	-0.0009448919365432443	121.06591527556027	0.00218637851179953
36	27.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9990145000000044	3.6422416731934914e-22	8.08608356393293e-20	-1.790627650495591e-21	1.0026676000000099	-3.0848939939001618e-21	-1.0708614035662493e-21	1.3408531555035574e-21	0.998882049446877	-2.9521931244791206	0.0853028422814002	-0.48884420677785856	0.08561476979963595	121.94332885518148	0.5677481333384032	-0.4887793956036835	0.5656046114898177	7.114785591748645e-05	1599.565890624997	-2.947634115469254	0.08548255643243521	-0.48802458360326334	0.08548255673279498	122.20023637705862	0.5667962154861196	-0.4880245839858671	0.566796214839212	7.102856549586705e-05	-0.0009859859243992039	0.0	0.0	0.0	0.0026640482701243565	0.0	0.0	0.0	-0.0011185759259764844	123.70723354941316	0.0024787351406463137
