6	header																																														
postResults v2.0.3	#NAME?																																														
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt																																														
addStrainTensors v2.0.3	#NAME?																																														
addMises v2.0.3	#NAME?																																														
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt																																														
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0	nan	nan	1	1	6.00E-05	6.00E-05	6.00E-05	1	0	0	0	1	0	0	0	1	2.77E-06	-1.19E-09	-2.81E-08	-1.19E-09	2.70E-06	-1.68E-08	-2.81E-08	-1.68E-08	2.70E-06	1599.565891	2.77E-06	-1.19E-09	-2.81E-08	-1.19E-09	2.70E-06	-1.68E-08	-2.81E-08	-1.68E-08	2.70E-06	0	0	0	0	0	0	0	0	0	9.10E-08	0
2	4	nan	nan	1	1	6.00E-05	6.00E-05	6.00E-05	0.999866354	3.08E-23	2.24E-23	4.76E-25	1.0004	2.45E-22	2.38E-24	-7.11E-24	0.999867743	-5.23E-06	-988.3614004	5482.59426	-988.888906	28326310.38	1455.406311	5482.601874	1454.63197	5.50E-06	1599.565891	-5.23E-06	-988.6242615	5481.134631	-988.6242615	28333843.94	1455.018839	5481.134631	1455.018839	5.50E-06	-0.000133655	0	0	0	0.00039992	0	0	0	-0.000132266	28333845.7	0.000355255
4	8	nan	nan	1	1	6.00E-05	6.00E-05	6.00E-05	0.999732637	7.28E-23	-8.20E-23	-1.71E-23	1.0008	-4.56E-22	1.12E-24	-1.21E-22	0.999735415	-2.42E-06	-1976.867365	10965.95718	-1978.977966	56686614.84	2912.59536	10965.98765	2909.497132	-6.28E-06	1599.565891	-2.41E-06	-1977.919377	10960.12177	-1977.919377	56716781.25	2911.045453	10960.12177	2911.045453	-6.28E-06	-0.000267399	0	0	0	0.00079968	0	0	0	-0.00026462	56716784.75	0.000710462
6	12	nan	nan	1	1	6.00E-05	6.00E-05	6.00E-05	0.999598848	1.10E-22	-1.18E-21	-2.35E-23	1.0012	-4.12E-21	-7.54E-24	-7.09E-24	0.999603016	-6.52E-06	-2965.517474	16450.08665	-2970.267624	85080926.97	4371.567668	16450.15525	4364.594713	-1.01E-05	1599.565891	-6.51E-06	-2967.885778	16436.96393	-2967.885778	85148873.78	4368.080339	16436.96393	4368.080339	-1.01E-05	-0.000401233	0	0	0	0.001199281	0	0	0	-0.000397063	85148879.03	0.001065622
8	16	nan	nan	1	1	6.00E-05	6.00E-05	6.00E-05	0.999464988	-1.04E-22	-6.12E-22	-4.61E-23	1.0016	1.73E-21	-6.43E-24	1.35E-22	0.999470547	6.50E-06	-3954.311306	21934.98054	-3962.758328	113509260.4	5832.323756	21935.10255	5819.923939	3.28E-06	1599.565891	6.50E-06	-3958.523894	21911.66364	-3958.523894	113630183.5	5826.123993	21911.66364	5826.123993	3.27E-06	-0.000535156	0	0	0	0.001598721	0	0	0	-0.000529593	113630190.5	0.001420734
10	20	nan	nan	1	1	6.00E-05	6.00E-05	6.00E-05	0.999331056	-2.74E-22	-3.96E-21	-3.64E-23	1.002	4.67E-21	5.82E-24	-7.21E-23	0.999338008	4.09E-06	-4943.24844	27420.63672	-4956.450525	141971628.6	7294.864147	27420.82747	7275.484037	1.13E-06	1599.565891	4.08E-06	-4949.834161	27384.22342	-4949.834161	142160772.5	7285.176916	27384.22342	7285.176916	1.12E-06	-0.000669168	0	0	0	0.001998003	0	0	0	-0.000662211	142160781.3	0.001775799
12	24	nan	nan	1	1	6.00E-05	6.00E-05	6.00E-05	0.999197053	1.87E-22	-4.36E-22	-5.19E-23	1.0024	7.08E-22	-4.50E-24	-8.80E-23	0.999205398	3.00E-05	-5933.127879	32907.37735	-5952.146646	170467943.9	8759.568662	32907.65218	8731.652323	2.17E-05	1599.565891	3.00E-05	-5942.617714	32854.96955	-5942.617714	170740601.5	8745.618301	32854.96955	8745.618301	2.16E-05	-0.00080327	0	0	0	0.002397125	0	0	0	-0.000794918	170740612	0.002130818
14	28	nan	nan	1	1	6.00E-05	6.00E-05	6.00E-05	0.999061217	-3.27E-22	2.14E-20	-1.65E-23	1.0028	-8.28E-21	2.13E-23	-3.86E-22	0.999058408	552.3488724	-17137.30973	10299.34425	-17201.45841	195505976.6	32580.55211	10299.32161	32458.96476	1451.776564	1599.565891	551.3257377	-17169.57979	10280.23752	-17169.59556	195874120.2	32520.11061	10280.24382	32520.08597	1449.083315	-0.000939224	0	0	0	0.002796087	0	0	0	-0.000942036	195873131.2	0.002491145
16	32	nan	nan	1	1	6.00E-05	6.00E-05	6.00E-05	0.99892266	-1.62E-21	7.69E-21	4.67E-22	1.0032	-1.34E-20	-9.59E-23	3.24E-22	0.998857374	-13770.30731	-6399.615649	-197058.649	-6426.909813	208251780.1	163606.6098	-197045.7997	162898.4703	-3632.084943	1599.565891	-13742.08495	-6413.846275	-196641.923	-6413.737805	208714863.1	163260.6259	-196641.9526	163260.7026	-3624.404062	-0.001077921	0	0	0	0.003194891	0	0	0	-0.001143279	208724016.3	0.002870575
18	36	nan	nan	1	1	6.00E-05	6.00E-05	6.00E-05	0.998786699	-2.14E-21	-3.24E-20	2.44E-22	1.0036	2.05E-20	-8.89E-23	-7.90E-21	0.99862906	-8779.345858	9952.996198	-437115.6402	10000.99028	215574031.5	345845.2848	-437046.6754	344132.2874	-1771.54753	1599.565891	-8759.862828	9978.767133	-436076.7609	9978.796193	216132209.5	345023.3249	-436076.7861	345023.3367	-1767.337147	-0.001214037	0	0	0	0.003593536	0	0	0	-0.00137188	216139619.8	0.003258937
