6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
2	4.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998663539893814	-3.1267427154504446e-25	-4.236289701904574e-22	-2.514629062161204e-24	1.0003999999999935	-1.7880997865436287e-21	-7.762262868197612e-24	2.6205081805679917e-23	0.999867742513998	-1.3899585364470112e-05	-988.36140036558	5482.594259848725	-988.8889059829042	28326310.375508144	1455.4063112354065	5482.601873583209	1454.6319700674433	-3.2160294877030536e-06	1599.565890624997	-1.3895865585619353e-05	-988.6242615389559	5481.134630786226	-988.6242615389107	28333843.94286515	1455.0188389460232	5481.134630786072	1455.0188389459129	-3.2151732853500073e-06	-0.00013365494204245647	0.0	0.0	0.0	0.00039992002132134243	0.0	0.0	0.0	-0.00013226623279407072	28333845.697169393	0.00035525464391724266
4	8.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997313485855088	-6.45862622281404e-24	-1.4035600633799774e-22	2.541098841762901e-23	1.000799999999997	9.353890715647646e-22	1.522012327097571e-24	9.529120656610879e-23	0.9997295087646759	88.09180902805126	-2824.3069782255193	-5657.441586354276	-2827.326506961431	55155962.07317271	16048.45114827437	-5657.431136104319	16031.284844794334	20.851944412118694	1599.565890624997	88.04520737142616	-2825.8302985135674	-5654.438323807374	-2825.8308162667095	55185711.03342407	16039.931800520846	-5654.438285053879	16039.931490373527	20.840875121746517	-0.00026868750774690717	0.0	0.0	0.0	0.0007996801705615817	0.0	0.0	0.0	-0.00027052782467604155	55185664.66961547	0.000712859349675844
6	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995899982153551	2.244637310223896e-22	-1.3345057023550705e-20	2.295459287059154e-22	1.0012000000000245	-6.753181930221723e-21	-2.1546400595781263e-23	-2.1112296210313436e-22	0.9995195751144068	-6482.742169878989	9780.906013515843	-174546.68273431275	9796.660918910022	65403630.17672699	168221.01377029828	-174534.38978460222	167938.67548037294	-4309.071208306037	1599.565890624997	-6478.084436209077	9789.621024856706	-174408.98575641352	9789.622194213127	65461906.30962674	168088.30700754313	-174408.98996419372	168088.31268773985	-4305.671853625436	-0.0004100858583576373	0.0	0.0	0.0	0.0011992805755063607	0.0	0.0	0.0	-0.0004805403266042856	65468644.70554647	0.0010971500873436563
8	16.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994509877136195	1.4984012836928572e-21	8.33691119543861e-20	6.91178884959509e-22	1.0016000000000027	-2.5762930607213173e-20	-8.339039365718587e-22	3.1175047623694523e-21	0.9992750671084456	4068.359664871078	43307.66433675363	-309991.5302909136	43400.79591113363	68718699.7180245	315885.8946292212	-309936.9505553488	315152.6378030501	2758.4800792183387	1599.565890624997	4064.807400352983	43362.88902182177	-309666.3467821298	43362.90075926114	68806327.82284933	315554.52788673487	-309666.3309142657	315554.51136140537	2755.586412316444	-0.0005491630488085975	0.0	0.0	0.0	0.0015987213636999553	0.0	0.0	0.0	-0.000725195782462882	68807219.9688275	0.0014940612716161452
10	20.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993108405041453	3.217878166619087e-21	2.8870588611570794e-20	-6.801674566452032e-22	1.0019999999999782	-8.07281691039656e-20	-1.9248823726353975e-21	-1.767757760919725e-21	0.999024256484187	-2481.003471927758	73457.5649386935	-386157.9013889265	73655.22636601442	70425737.24210632	392436.4679404736	-386047.1644127021	391271.02168430627	-1275.3758645766968	1599.565890624997	-2478.469719947811	73580.01905565574	-385652.9034952132	73580.00515905122	70543137.28759645	391923.2592530082	-385652.9095161446	391923.27237480023	-1273.7079921261075	-0.0006893970754197953	0.0	0.0	0.0	0.0019980026626515626	0.0	0.0	0.0	-0.0009762198634043379	70551556.69054186	0.0018944588379089843
12	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991682635432072	-6.674619624363887e-22	-2.3036755066475206e-20	-1.432332713807022e-21	1.0023999999999942	6.107446362882407e-20	-8.876905287225068e-22	-5.313437678126226e-21	0.9987727835279009	-2593.44132726888	95307.99254703039	-428502.8380432606	95616.21488708144	71411675.111251	423152.90444596054	-428333.2107829934	421621.65848439944	-4529.838839287247	1599.565890624997	-2590.4109655460243	95504.53440441148	-427832.737584124	95504.49008550927	71558938.5556902	422491.17030938144	-427832.7157253506	422491.1165608533	-4522.754995689191	-0.0008320825414737144	0.0	0.0	0.0	0.002397124599715692	0.0	0.0	0.0	-0.0012279701188889663	71570264.0447355	0.002296171569930927
14	28.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9990234316475569	9.446958460727212e-21	3.941456061811073e-20	-7.038843791683236e-21	1.0028000000000037	3.986137049778738e-21	2.214144124122741e-21	-2.0464316005663896e-21	0.9985222588615909	-929.6425274638243	109942.91786182308	-454289.21892487176	110358.48916510367	72057671.9735739	432370.34569867695	-454061.28616768535	430525.89367783617	-2811.183144789751	1599.565890624997	-928.4187590276923	110213.25625223215	-453463.598994408	110213.21479166477	72234854.41912661	431584.5608728888	-453463.566233769	431584.51281756617	-2806.0741333146057	-0.0009770455059905788	0.0	0.0	0.0	0.0027960873020047307	0.0	0.0	0.0	-0.001478834074696307	72245111.14120513	0.002698282405590218
16	32.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.998876919875734	-3.3046990437126527e-21	1.46350352626598e-20	-7.482689056044489e-21	1.0032000000000028	9.650246368068244e-21	5.819963380584298e-21	-2.778268066994105e-22	0.9982728771382479	-78.1854337438856	119546.94788096064	-470442.3659630705	120064.29051811312	72536143.7520838	432902.9780653622	-470157.84818675776	430776.80118584464	-1045.6657776713846	1599.565890624997	-78.07087641643422	119888.42167114191	-469469.0036625038	119888.37227368468	72743335.92529446	432007.2861185086	-469468.9727276154	432007.2716380855	-1043.5022572901057	-0.001123711251330505	0.0	0.0	0.0	0.0031948908965219445	0.0	0.0	0.0	-0.0017286160579785062	72752585.68235098	0.003100435634894481
18	36.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9987292134370066	-4.429982314139991e-21	1.3806044117182017e-19	-2.4436900528286563e-21	1.0035999999999843	-8.116608513769607e-20	1.1184223035545782e-20	-1.2597073991565955e-20	0.9980245138713115	-18.180930043749452	126163.69656216679	-480752.3785594241	126778.95233495516	72926056.43931545	429633.58506420214	-480413.1292076209	427246.7554430572	-693.3846710721236	1599.565890624997	-18.151571653253843	126574.27341467948	-479637.3949545365	126574.2309053954	73163381.05435845	428637.1585776789	-479637.36271973565	428637.15246594115	-691.7765406195143	-0.0012715946969541446	0.0	0.0	0.0	0.0035935355101145094	0.0	0.0	0.0	-0.0019774399750328636	73172547.29142159	0.003502490458213061
