6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
4	3.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0001425000000086	1.1906024146782003e-23	2.2010945227791046e-22	-4.946540063067105e-25	1.0001574999999803	5.052419181473893e-23	-1.4558378780933287e-24	-2.269783600845508e-23	0.9998510483974113	15542125.423946906	482.9412285614564	-4252.90541720995	482.94847164774325	16340978.316804515	4711.159528878746	-4251.666077716183	4709.716013844751	-4.8847878442757064e-06	1599.565890624997	15541992.929428337	482.9443545772857	-4251.62983283763	482.94435457729764	16341084.089834161	4709.746499224658	-4251.629832837525	4709.746499224628	-4.883322737854431e-06	0.00014248984784803666	0.0	0.0	0.0	0.00015748759815767006	0.0	0.0	0.0	-0.00014896269698008732	15956556.067651365	0.00019948895919944952
8	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0002850000000223	-4.5580133293509485e-23	1.2323932335856045e-21	-1.255660169855496e-23	1.0003149999999967	3.877505074293373e-21	-1.810532924756067e-23	5.569241628197025e-23	0.9997020521993236	31090961.339355603	966.0772348712406	-8507.630394856957	966.106208930692	32689624.49095479	9424.539511371755	-8502.672303485297	9418.76457970953	-6.919202230619703e-06	1599.565890624997	31090434.097024255	966.0898256453535	-8502.528114673529	966.0898256453903	32690050.531092104	9418.88733339093	-8502.528114673665	9418.887333391083	-6.915052578273083e-06	0.0002849593952370148	0.0	0.0	0.0	0.00031495039791312176	0.0	0.0	0.0	-0.00029799219594065423	31920324.56331154	0.0003990072795933788
12	9.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0004274999999871	2.7618733472533043e-23	2.746239633676052e-22	-2.269783600845508e-23	1.000472500000007	4.060543600239107e-21	-3.8142952406045214e-23	-1.23216824045899e-22	0.9995530113857696	46646508.71615627	1449.4080475298913	-12764.175212441753	1449.4732430209779	49045939.70684563	14140.1401507288	-12753.017856318098	14127.144593257417	-4.4778053097616065e-06	1599.565890624997	46645328.58077646	1449.4365720095163	-12752.695210787391	1449.436572009508	49046904.935312696	14127.422616722759	-12752.695210787151	14127.422616722788	-4.473778005882398e-06	0.0004274086478965705	0.0	0.0	0.0	0.0004723884070326031	0.0	0.0	0.0	-0.00044708854342030116	47891310.88739769	0.0005985549967801539
16	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0005699999999922	6.458129914446508e-23	1.211045356336836e-21	2.369045274351871e-24	1.0006300000000157	3.1659444590405576e-21	-2.1281702799764297e-23	-5.603652341679231e-23	0.9994039259368634	62208768.52442022	1932.9336950668117	-17022.540149163295	1933.049605019892	65409925.14954744	18857.961650602334	-17002.701914400055	18834.85495016068	4.598435719344706e-06	1599.565890624997	62206681.4647387	1932.984752588491	-17002.131485914648	1932.984752588495	65411652.92152426	18835.352463870473	-17002.131485914102	18835.352463871262	4.592922562949945e-06	0.0005698376116968143	0.0	0.0	0.0	0.000629801633325523	0.0	0.0	0.0	-0.0005962517859086135	63869520.44714091	0.0007981321463842097
20	15.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0007125000000097	-5.015857798399049e-23	2.558476252071415e-21	1.2592997645507294e-22	1.0007875000000215	6.156235460644255e-21	7.186545161860704e-23	-9.237953080992212e-24	0.9992547958326662	77777741.7341437	2416.654206219366	-21282.725484122126	2416.835326236886	81781582.0035693	23578.004215092973	-21251.72365529483	23541.89454613933	-1.125500320995343e-05	1599.565890624997	77774497.83882616	2416.734526694162	-21250.83730445279	2416.7345266941993	81784300.11503066	23542.67698995839	-21250.83730445309	23542.676989958833	-1.1238139694762737e-05	0.0007122462923886242	0.0	0.0	0.0	0.0007871900845918339	0.0	0.0	0.0	-0.0007454819699805752	79854958.65587437	0.000997738764046752
24	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0008549999999854	-8.142600513849494e-23	1.7943598894194302e-21	-1.2202568396382265e-23	1.0009449999999778	-1.3789696381300009e-21	8.229454478167562e-23	9.746172849344793e-23	0.9991056210531941	93353429.31548797	2900.5696095692474	-25544.73149627829	2900.8304378260013	98160911.45384033	28300.268048298258	-25500.082255897152	28248.262276515212	1.6292834070554818e-06	1599.565890624997	93348782.79907118	2900.6860536683175	-25498.813030421014	2900.6860536683917	98164852.14840612	28249.39631013507	-25498.813030420373	28249.396310134063	1.6263546546239717e-06	0.0008546346956940246	0.0	0.0	0.0	0.0009445537685809986	0.0	0.0	0.0	-0.0008947791422919786	95847630.93356718	0.001197374885435842
28	21.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.000997500000001	-1.0292442925874813e-22	-2.0288027273516595e-21	-9.245894014872722e-23	1.0011024999999851	4.86128090297004e-21	-4.2828103395545564e-23	2.0005859422962506e-22	0.9989564015784538	108935832.23835231	3384.6799336825907	-29808.558464516555	3385.034970925963	114547914.68497728	33024.753354870016	-29747.776892504713	32953.95703676348	-1.0422023013234138e-05	1599.565890624997	108929541.44718644	3384.8394930225218	-29746.059027516676	3384.8394930225613	114553314.66075511	32955.510540119474	-29746.05902751728	32955.51054011858	-1.04001712161492e-05	0.0009970028274683598	0.0	0.0	0.0	0.0011018926931900977	0.0	0.0	0.0	-0.0010441433495357087	111847542.70641719	0.001397040546338158
32	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0011399999999857	4.189173494213553e-23	2.779062160382156e-22	-8.576208590949791e-24	1.0012599999999947	-3.842300267423116e-21	-2.0964065444543934e-23	-9.502650877009182e-23	0.9988071373884964	124524951.4729582	3868.985207209641	-34074.20666788667	3869.448956760174	130942592.88197573	37751.460339872705	-33994.80674105065	37658.97772237291	-3.25638255890226e-06	1599.565890624997	124516778.8911768	3869.195004538639	-33992.57565936917	3869.19500453876	130949693.29843313	37661.01979607403	-33992.57565936824	37661.01979607333	-3.248581297528948e-06	0.0011393506934118689	0.0	0.0	0.0	0.0012592068661572324	0.0	0.0	0.0	-0.0011935746383982114	127854699.40731618	0.0015967357824313957
36	27.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0012824999999883	-8.232101456127731e-24	-1.4695492239270077e-21	8.856788254727778e-23	1.0014174999999967	9.684762960668856e-21	9.105604182983729e-23	-3.705769144237564e-22	0.9986578284632814	140120787.98932123	4353.485458941054	-38341.67638505507	4354.072426692038	147344947.2295183	42480.389208425666	-38241.17097656325	42363.32322848467	8.315213352034333e-06	1599.565890624997	140110500.24481997	4353.75274832506	-38238.36328898185	4353.752748325191	147353993.71435273	42365.924194234765	-38238.36328898111	42365.924194234285	8.292807695379806e-06	0.00128167829934234	0.0	0.0	0.0	0.001416496295260764	0.0	0.0	0.0	-0.0013430730556881275	143869106.47539365	0.0017964606295252537
