6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
4	3.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0000000000000064	1.643607877142866e-24	3.672681919735443e-23	-1.346650037236329e-24	1.000256500000016	9.679270481401505e-22	3.672681919735443e-25	-6.960228546266197e-23	0.9998726512123346	6824367.30547619	-250.86369973812873	700.4930890290124	-250.92804627711664	20440437.305556253	2750.5956498193837	700.4038820833601	2749.5401077603724	2.987186105656292e-06	1599.565890624997	6823486.266841303	-250.89565099511185	700.3134586268587	-250.89565099511452	20443040.702005718	2749.8903029566136	700.3134586268669	2749.8903029566495	2.98642008890323e-06	6.4392935428258874e-15	0.0	0.0	0.0	0.0002564671095154644	0.0	0.0	0.0	-0.00012735689721098763	18027342.977843177	0.00022574126077255004
8	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.000000000000014	3.2236882832416596e-23	7.195147840231256e-22	9.529120656610878e-24	1.0005130000000098	-1.0181071328200673e-21	-1.160038091044366e-23	9.998959244540998e-23	0.9997452424278344	13649960.773005381	-508.0260356195429	1400.0174985683104	-508.28665297564737	40894782.49586365	5502.352895512511	1399.6608335094181	5498.130588455854	0.00026687290107201987	1599.565890624997	13646438.467065925	-508.1554920789805	1399.2996578438035	-508.1554920788143	40905203.40617178	5499.5316357832235	1399.2996578438554	5499.531635783358	0.00026673606547042775	1.3988810110276875e-14	0.0	0.0	0.0	0.0005128684604945642	0.0	0.0	0.0	-0.00025479002838858187	36072852.73774925	0.00045147943767215743
12	9.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9999999999999941	-8.856788254727778e-23	-6.544653006519555e-23	4.870439446712227e-24	1.0007694999999888	-1.5959159517455087e-21	3.2954875604112622e-24	-1.1445532699773733e-22	0.999608920268572	20050557.68014236	-7665.038501512464	-1825.3526999423245	-7670.936806193373	59909713.797498666	7393.791485908506	-1824.6388853620679	7385.216852862759	361.1429506523093	1599.565890624997	20042979.042281426	-7668.037315486429	-1823.9491710552288	-7668.037373018712	59933152.43865837	7388.106338081479	-1823.949214902037	7388.106191447916	360.865264831028	-5.884182030513347e-15	0.0	0.0	0.0	0.0007692040866580261	0.0	0.0	0.0	-0.00039115622304974456	52843508.03561747	0.000681683237958562
16	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999999999999999	-3.172138387467355e-22	3.802780886477783e-21	-9.634999775017667e-23	1.0010260000000146	5.293955920339377e-21	-2.234049398383217e-23	7.397774003082246e-22	0.9994093595435483	23548490.398013163	-50272.80318005899	-68280.46180725141	-50324.38450035628	68409080.11240362	34604.089387027845	-68240.13145732936	34548.21300324681	804.1505600324189	1599.565890624997	23538257.057280153	-50302.51387981769	-68210.47785696924	-50302.515303432534	68449509.16173887	34568.621980875	-68210.47671067405	34568.63063502403	803.3263472001805	-9.992007221626415e-16	0.0	0.0	0.0	0.0010254740217529989	0.0	0.0	0.0	-0.0005908149532394308	60234159.29636066	0.000944345667520877
20	15.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0000000000000102	1.367534693342068e-21	-2.3553656922537143e-20	-1.1930459062076821e-21	1.0012825000000118	-3.0535537748517527e-21	4.4469229730850766e-23	-1.4369913950169204e-21	0.9991803146837908	25804224.394733287	-66372.85999104085	-172931.15474597097	-66457.98568343389	71869521.32079652	64539.913599208725	-172789.4057766113	64404.41861066887	765.3432949599685	1599.565890624997	25792314.44695616	-66427.30948121722	-172709.6546139248	-66427.31197951801	71928480.03970158	64457.24717969934	-172709.65477275394	64457.25327470067	764.3629994132042	1.0214051826551388e-14	0.0	0.0	0.0	0.0012816782993658466	0.0	0.0	0.0	-0.0008200214419085744	63117257.899485126	0.0012231358814964721
24	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0000000000000087	-3.0831999280056533e-21	6.192403767492013e-20	-1.599198204416119e-21	1.0015389999999897	1.930472790087276e-20	1.5881867761018131e-22	-4.124626936654816e-21	0.9989429064636413	27619489.376932196	-67926.77871261591	-252035.5693116598	-68031.32001373479	73969368.60553764	59224.92436869657	-251769.14675328188	59071.412822256796	553.5385294989904	1599.565890624997	27606230.667601347	-67998.65965621897	-251648.28260473153	-67998.66164394574	74047643.89127706	59133.91727001811	-251648.28521635334	59133.922909943925	552.6879427550912	8.659739592076183e-15	0.0	0.0	0.0	0.0015378169531398399	0.0	0.0	0.0	-0.0010576526537922851	64816196.739652276	0.001507018587066548
28	21.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9999999999999993	1.6474790824096142e-21	-8.257300686308547e-20	-9.359714067160019e-23	1.0017954999999996	6.008512914643105e-20	9.097133853511186e-22	-9.46347560319867e-21	0.998700736864605	29102338.722180873	-63968.233569075586	-300269.55216983036	-64083.08992778908	75363450.46293645	36659.14084739028	-299879.42417605047	36545.89856833036	400.19866689846555	1599.565890624997	29087972.05533584	-64051.453261066206	-299731.3844690165	-64051.45465571758	75461494.8012736	36593.43733066311	-299731.38563447667	36593.4430799213	399.4813980482703	-6.661338147750941e-16	0.0	0.0	0.0	0.0017938900167360661	0.0	0.0	0.0	-0.0013001079095450198	65922450.95723566	0.0017938874693084947
32	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999999999999988	4.2436350657440445e-21	1.2430208500956858e-20	-1.5009423825346202e-21	1.002051999999984	4.158762364429164e-20	2.262001485642609e-21	-1.3192538153485729e-21	0.9984554752071767	30322192.01145277	-56257.20640830972	-326712.6166457511	-56372.64810179948	76336042.26130189	12644.973341422907	-326208.00247326767	12599.5917956364	301.2178906517773	1599.565890624997	30306908.06065616	-56344.231470749546	-326043.57522938953	-56344.23337572898	76454127.55682799	12619.078991333045	-326043.5767926514	12619.08228108236	300.60105728224255	-1.1990408665951763e-14	0.0	0.0	0.0	0.002049897523680281	0.0	0.0	0.0	-0.001545718800849272	66685462.46778265	0.002082721682058517
36	27.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0000000000000158	6.0681440341298074e-21	2.696105871110438e-21	-1.1079190950086249e-21	1.0023085000000094	-1.2272152152999204e-19	2.641895762486163e-21	-6.7190888540947375e-21	0.9982081750929687	31337263.837495267	-47540.671088686526	-340139.24789010873	-47650.420160426394	77052463.29200293	-8247.608393416462	-339529.77906701434	-8213.865697999492	242.91582228159194	1599.565890624997	31321210.506070662	-47626.00855704077	-339355.8449220975	-47626.00998883886	77190775.646398	-8228.612641134197	-339355.84607464616	-8228.6099262154	242.35634266454474	1.57651669496771e-14	0.0	0.0	0.0	0.002305839507595908	0.0	0.0	0.0	-0.001793432145493626	67246202.38951121	0.0023728708716605177
