6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
4	3.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0000000000000064	5.710854949066103e-24	-2.2459607992039808e-23	-1.0819522412193602e-24	1.000256500000016	5.839167205685329e-22	2.3210687988237957e-24	1.4538526446232015e-23	0.9998726512123346	6824367.305457244	-250.86369972898882	700.493089043361	-250.9280462679864	20440437.30556101	2750.5956498198607	700.4038820976994	2749.5401077609235	6.258405991957261e-06	1599.565890624997	6823486.266822359	-250.8956509859708	700.3134586412037	-250.89565098598547	20443040.702010475	2749.89030295709	700.3134586412043	2749.8903029572	6.256801122469248e-06	6.4392935428258874e-15	0.0	0.0	0.0	0.0002564671095154644	0.0	0.0	0.0	-0.00012735689721076555	18027342.977848772	0.0002257412607724383
8	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0000000000000007	7.083974765904129e-24	8.131913340335308e-22	1.5147331377071044e-23	1.0005129999999862	-6.984845441295775e-22	-1.7579242377976943e-23	-2.845501307182415e-23	0.999745253524016	13650487.042409489	-501.7961361882358	1401.1856727922557	-502.05355760607586	40896607.06082386	5503.338449294536	1400.828725679925	5499.115446993942	-7.146402953367215e-06	1599.565890624997	13646964.44920131	-501.9239995583347	1400.467233101693	-501.92399955831746	40907027.98204523	5500.516684235595	1400.4672331017061	5500.516684235338	-7.142738728399821e-06	6.661338147750937e-16	0.0	0.0	0.0	0.0005128684604712615	0.0	0.0	0.0	-0.00025477892937855826	36074477.374111615	0.0004514738520161478
12	9.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.999999999999989	-8.352869825560474e-23	-1.4730432348344317e-23	6.63067979022507e-24	1.0007695000000323	1.6470290961563853e-21	-2.711167175703804e-23	-1.6464202912255463e-23	0.9996178069163735	20478359.207495883	-752.7973176883958	2102.077711727844	-753.3765952243372	61368513.29519278	8258.228821569046	2101.2743121651815	8248.725189597037	8.778010615060339e-06	1599.565890624997	20470436.886013992	-753.0851416209135	2100.4614066753625	-753.0851416208611	61391976.88414874	8251.879000677849	2100.4614066753447	8251.87900067811	8.771261129620717e-06	-1.099120794378911e-14	0.0	0.0	0.0	0.0007692040867015135	0.0	0.0	0.0	-0.00038226613801740407	54141418.924429454	0.0006771978220244216
16	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.99999999999998	-5.047786970043596e-23	1.5209005963542996e-21	-4.006201142716824e-23	1.00102599999999	6.472496387325329e-21	-7.411538288475129e-24	-8.576208590949791e-24	0.9994903113707525	27307983.797384165	-1003.8672525119852	2803.1691665620133	-1004.8972203130091	81856160.03803022	11015.267189974267	2801.740423112032	10998.368507450556	8.71192324484582e-06	1599.565890624997	27293905.916497223	-1004.3791731560157	2800.2960628016626	-1004.3791731559523	81897902.46767884	11003.97710946029	2800.2960628016795	11003.977109459966	8.702993973029637e-06	-1.9984014443253017e-14	0.0	0.0	0.0	0.0010254740217288207	0.0	0.0	0.0	-0.000509818564649606	72228183.37661304	0.0009029132189026603
20	15.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0000000000000029	1.3192207281240707e-22	1.5179095112593079e-21	-3.0704944337968385e-23	1.0012825000000058	2.3126381740206552e-21	4.995509155330245e-23	1.5241299094657067e-22	0.9993627668684727	34139360.80891159	-1255.0059489568187	3504.4599980588173	-1256.6154940864371	102359551.31897059	13774.453978279753	3502.2268400399485	13748.044572671828	2.8865203421446496e-06	1599.565890624997	34117373.88038176	-1255.8061902680308	3499.971284885921	-1255.8061902681086	102424819.80764244	13756.810868340986	3499.971284885937	13756.81086834125	2.882823121493581e-06	2.8865798640254027e-15	0.0	0.0	0.0	0.0012816782993594156	0.0	0.0	0.0	-0.0006374362508536441	90334786.49082755	0.0011286200909652604
24	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9999999999999976	6.276646488052374e-23	6.537770863823114e-22	1.0508502501873664e-22	1.0015390000000046	-3.387125937392337e-21	-1.0045281358843968e-23	4.775148240146118e-23	0.9992351733908437	40972490.238735005	-1506.2134153370112	4205.950167229562	-1508.5314777833698	122878691.16733018	16535.78960989092	4202.73334462483	16497.752556809053	-3.950386239012005e-06	1599.565890624997	40940843.117557034	-1507.3662891847287	4199.487156495707	-1507.3662891848728	122972743.99413815	16510.38013486333	4199.4871564956475	16510.380134863524	-3.944315936784539e-06	-2.4424906541753475e-15	0.0	0.0	0.0	0.001537816953154916	0.0	0.0	0.0	-0.0007651192382441139	108461244.0391815	0.0013543184864065324
28	21.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9999999999999992	1.4227506535912075e-23	-1.7755398761226238e-21	1.1429650832012714e-22	1.0017955000000207	-4.405312479551209e-21	-7.031696951190777e-23	1.1059073917588959e-22	0.9991075309191263	47807372.083586596	-1757.4896601163189	4907.639635026153	-1760.64523280101	143413583.6125764	19299.274508812734	4903.259718391963	19247.4916318053	-3.987817388406257e-06	1599.565890624997	47764315.96832381	-1759.059566390739	4898.843761053085	-1759.0595663906538	143541690.1328364	19264.68476731264	4898.843761053222	19264.68476731292	-3.980670095248373e-06	-7.771561172376099e-16	0.0	0.0	0.0	0.0017938900167577875	0.0	0.0	0.0	-0.0008928675685129899	126607571.8061323	0.001580008453503195
32	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9999999999999976	-2.171183671829187e-22	1.103895688509167e-21	-1.0987605512664377e-22	1.0020519999999773	7.926110803932115e-21	-6.162164691275035e-23	3.1414334431293865e-22	0.9989798394346189	54644006.34022048	-2008.8346916215812	5609.528362410658	-2012.9568204086293	163964232.6842132	22064.909099171313	5603.805742784997	21997.260969520084	-6.0466883369372226e-06	1599.565890624997	54587794.77334926	-2010.88611834099	5598.041181905529	-2010.8861183408712	164131673.34489006	22019.72462424292	5598.041181905573	22019.724624242343	-6.0343059411395845e-06	-2.4424906541753475e-15	0.0	0.0	0.0	0.002049897523672969	0.0	0.0	0.0	-0.0010206812833450027	144773785.5884312	0.0018056900404520217
36	27.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.99999999999999	-1.1804859957866768e-22	-6.841379235854577e-22	-1.7581227611447072e-22	1.0023085000000052	9.562207881113e-21	-1.079437612157199e-22	-1.7734752333136914e-22	0.9988518474372684	61469227.605499655	-2450.3101863914835	6966.053200127783	-2455.966729692993	184489799.9495154	24747.775225868238	6958.055116902181	24662.42780754042	-3.632055561414072	1599.565890624997	61398147.15920488	-2453.1267501564053	6950.009104110976	-2453.126752390007	184701865.87015733	24690.776568160756	6950.009112709202	24690.776585953663	-3.623690272420207	-9.99200722162646e-15	0.0	0.0	0.0	0.0023058395075914776	0.0	0.0	0.0	-0.0011488121948393412	162923792.8384933	0.002031490075941115
