6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	1599.565890624997	2.7716487604837305e-06	-1.193192284640359e-09	-2.8066754232013673e-08	-1.19319228464005e-09	2.7018729684353462e-06	-1.6832583398956398e-08	-2.8066754232013544e-08	-1.6832583398956544e-08	2.6991213888906947e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058541354e-08	0.0
4	3.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9998904999999961	5.528875214304437e-24	-2.0424081940669317e-22	3.4212190135193226e-24	1.0002964000000174	6.652583532845474e-22	3.943997160652836e-24	-3.691210765456631e-23	0.9999072045657049	-834078.1616863045	-779.1601154447734	4406.589446703861	-779.47641117001	20707817.656334564	856.113415111206	4406.663064927806	855.7803184086646	5.1170007973269095e-06	1599.565890624997	-833908.397065557	-779.317759950754	4405.766152002657	-779.317759950733	20712007.39040803	855.9534651892051	4405.766152002442	855.953465189216	5.1160447746037784e-06	-0.00010950599556655089	0.0	0.0	0.0	0.00029635608221556515	0.0	0.0	0.0	-9.279974005754182e-05	21141301.57984982	0.00026518143858448093
8	6.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9997809999999959	3.609816193181413e-23	-8.037548576055259e-22	-4.923379005915621e-24	1.0005927999999968	2.6889193259485774e-21	2.6469779601696887e-24	-3.4807760176231403e-23	0.9998143509175667	-1664680.4661997075	-1558.1898513840379	8812.08127952307	-1559.455066987638	41435234.47787729	1713.9498658095886	8812.375234895608	1712.6164335678723	6.209476056028507e-06	1599.565890624997	-1664003.1489189623	-1558.8205633174687	8808.789697519467	-1558.8205633174966	41452006.308874965	1713.309653088618	8808.789697519398	1713.3096530886396	6.207156626714385e-06	-0.0002190239840058061	0.0	0.0	0.0	0.0005926243634854076	0.0	0.0	0.0	-0.0001856663173571615	42308560.025339246	0.0005303294904105162
12	9.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9996714999999984	-3.111191719934448e-23	5.695767174693136e-22	-6.577740231021676e-24	1.0008892000000083	4.5666722560031535e-21	-1.6543612251060553e-23	-1.1964340379966993e-23	0.9997214390393919	-2491807.9989080643	-2337.089169767915	13216.475534015877	-2339.9359784265357	62182256.97011279	2573.5103619996153	13217.1357689954	2570.507786956923	-9.856201129878172e-06	1599.565890624997	-2490287.9487026134	-2338.508573038109	13209.073065147462	-2338.508573038036	62220022.623230845	2572.068954243953	13209.073065147457	2572.0689542440177	-9.850680730598222e-06	-0.0003285539679459231	0.0	0.0	0.0	0.0008888048958892831	0.0	0.0	0.0	-0.0002785997659186167	63501803.765730575	0.0007954442043522524
16	12.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9995619999999981	-6.379878628498992e-23	-4.103080536059034e-22	5.505714157152952e-23	1.0011855999999906	1.2921222912568334e-21	-5.124549330888517e-23	1.6411263353052069e-24	0.9996284689150104	-3315461.844697049	-3115.858032704336	17619.772245809218	-3120.9191565785463	82948891.63946468	3434.795913866436	17620.943926149434	3429.453819964945	-1.5616116725141183e-06	1599.565890624997	-3312766.483711415	-3118.3819523734455	17606.618680674062	-3118.3819523735237	83016082.2293254	3432.231759736137	17606.618680674343	3432.231759736161	-1.5604458934933756e-06	-0.0004380959500203659	0.0	0.0	0.0	0.0011848977313291486	0.0	0.0	0.0	-0.00037160011976245834	84721061.2527535	0.001060525629172726
20	15.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9994524999999909	-1.827208885905136e-22	-6.95466989254984e-22	2.5940384009662947e-23	1.0014820000000226	-4.781765685046543e-22	-5.632769099241098e-23	1.2303153558868712e-22	0.9995354405282476	-4135643.088901578	-3894.496402369688	22021.971450662848	-3902.4046125634463	103735144.99146	4297.807531612802	22023.798965172606	4289.453973627305	-1.0753476337413303e-05	1599.565890624997	-4131442.4363303003	-3898.440864817977	22001.428967142212	-3898.440864817921	103840211.04922748	4293.798460917618	22001.428967142405	4293.798460917713	-1.0743445304954193e-05	-0.0005476499328621318	0.0	0.0	0.0	0.0014809029218023444	0.0	0.0	0.0	-0.00046466741293514825	105966360.95937443	0.0013255738137116643
24	18.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9993430000000044	1.686522007322117e-22	6.257720595637161e-21	-9.314715441837134e-23	1.0017783999999823	2.2993238748810017e-21	-1.2440796412797536e-23	3.239901023247699e-23	0.9994423538628691	-4952352.81654566	-4673.004241170231	26423.073184394798	-4684.392357691856	124541023.53231667	5162.5462252170055	26425.700144697006	5150.507688383693	-3.921222290955484e-06	1599.565890624997	-4946319.483283067	-4678.685474261943	26393.50634478518	-4678.685474262172	124692435.03285286	5156.769449171576	26393.506344784844	5156.7694491714465	-3.9168345291786085e-06	-0.0006572159190733106	0.0	0.0	0.0	0.0017768205190578814	0.0	0.0	0.0	-0.0005578016795656268	127237731.3809589	0.0015905888066633923
28	21.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9992335000000095	-3.0526273325656936e-23	-8.50474018602521e-22	-7.909170144987029e-23	1.002074799999993	-3.3103106369882126e-22	1.5791870510372362e-22	-1.6167741380716457e-22	0.9993492089026604	-5765592.1127710175	-5451.381511706088	30823.077482706114	-5466.88240342892	145366533.76788813	6029.013005046841	30826.64672300072	6012.614404690601	-8.543565156287514e-06	1599.565890624997	-5757401.296065826	-5459.115944955846	30782.853230848377	-5459.115944956053	145572780.1569479	6021.145116523878	30782.85323084845	6021.145116523878	-8.532415766129367e-06	-0.0007667939113137315	0.0	0.0	0.0	0.002072650575043731	0.0	0.0	0.0	-0.0006510029537873771	148535201.0345571	0.0018555706568818848
32	24.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9991239999999968	-1.3875458467209507e-22	-1.4478969442128197e-21	-2.3505164286306835e-23	1.002371199999988	5.256580591541781e-21	8.899139902090493e-23	-1.2557263443045002e-22	0.9992560056313415	-6575362.062719354	-6229.628176610889	35221.98438123388	-6249.874761233912	166211682.20414224	6897.208881373157	35226.63795805168	6875.77356253437	-1.1949260660912842e-06	1599.565890624997	-6564691.540838759	-6239.732441350433	35169.472039655164	-6239.73244135029	166481272.4256102	6886.925855158672	35169.47203965422	6886.925855158487	-1.193144554716324e-06	-0.0008763839122243221	0.0	0.0	0.0	0.0023683931414749983	0.0	0.0	0.0	-0.0007442712698187708	169858798.45932207	0.002120519413091037
36	27.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9990144999999895	5.130902077992924e-22	4.147814463585902e-21	-1.3181950241645049e-23	1.0026676000000099	-5.394488143266622e-21	-1.4346620544119713e-23	3.3118988237643144e-22	0.9991627426876806	-7381494.857130229	-7007.805234444196	39618.84760048033	-7033.430701643729	187076007.71164167	7772.961638009862	39624.72659868503	7745.790996976744	7.045915477647213e-05	1599.565890624997	-7368025.30214157	-7020.596284845398	39552.420454175655	-7020.596284844915	187417469.633519	7759.929061566562	39552.42045417611	7759.929061566858	7.034101906919565e-05	-0.0009859859244140956	0.0	0.0	0.0	0.0026640482701239137	0.0	0.0	0.0	-0.0008376080079851707	191207995.1275369	0.0023854355445495244
