6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
2	4.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9998663539893816	1.0371190520189861e-23	4.339918889045217e-22	-6.379216884008949e-24	1.0003999999999935	9.72943071374672e-22	3.202843331805323e-24	-6.167458647195375e-24	0.9998677425139987	-1.0687968691070609e-11	-0.0009883614004257766	0.0054825942598411975	-0.0009888889060432505	28.326310375534597	0.0014554063112867622	0.005482601873575659	0.0014546319701187968	3.457806956562448e-11	1599.565890624997	-1.0685108398557561e-11	-0.0009886242615991677	0.0054811346307787	-0.0009886242615992401	28.33384394289158	0.0014550188389973646	0.00548113463077852	0.0014550188389972785	3.456886385882383e-11	-0.0001336549420422344	0.0	0.0	0.0	0.0003999200213200107	0.0	0.0	0.0	-0.00013226623279407072	28.33384569717533	0.00035525464391628054
4	8.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997326366108236	1.7121315190867589e-22	1.0314743715189243e-21	1.2811373327221292e-23	1.0008000000000166	-1.3646627222552838e-21	-2.3822801641527195e-25	-6.900671542162379e-23	0.9997354145986064	-1.3569970433793821e-11	-0.00197686736540566	0.010965957183002585	-0.0019789779655539456	56.68661483621532	0.002912595360098971	0.010965987654444826	0.0029094971321807707	-2.2826965109801202e-12	1599.565890624997	-1.3562711630775219e-11	-0.0019779193773073575	0.010960121765159437	-0.0019779193773073103	56.71678124723421	0.002911045453360275	0.010960121765159649	0.002911045453360316	-2.281481798235383e-12	-0.0002673991371393094	0.0	0.0	0.0	0.0007996801705806623	0.0	0.0	0.0	-0.00026462041028652597	56.71678475177676	0.0007104617742037437
6	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995988478357939	-4.851248856500997e-23	1.0644292471230369e-21	1.2440796412797536e-24	1.0012000000000039	-2.5139937874507634e-21	-2.744916144695967e-23	2.1472285212896514e-22	0.9996030162259615	-1.505561463780586e-11	-0.002965517473878608	0.01645008664878954	-0.002970267624133018	85.08092696749941	0.004371567667873618	0.01645015524668683	0.004364594712787072	-3.6088528589106605e-12	1599.565890624997	-1.5043541596240732e-11	-0.002967885777539786	0.016436963928196796	-0.0029678857775398376	85.14887378373247	0.0043680803390660225	0.01643696392819645	0.0043680803390660945	-3.605973970261203e-12	-0.00040123264726021977	0.0	0.0	0.0	0.0011992805754859571	0.0	0.0	0.0	-0.0003970625929575205	85.14887903446737	0.001065621516817966
8	16.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994649876357237	3.5482739556074676e-23	4.44136431936872e-22	-1.519365349137401e-23	1.0015999999999816	-6.1208718350963875e-22	-2.882558998624791e-23	-6.268043809681822e-23	0.9994705473681237	-9.485715215043489e-12	-0.003954311305677866	0.021934980535027612	-0.003962758328469308	113.50926035488527	0.00583232375618512	0.02193510255293067	0.005819923938720439	2.217672240290014e-12	1599.565890624997	-9.475579185667933e-12	-0.003958523894493846	0.021911663640989773	-0.003958523894493906	113.63018352044246	0.00582612399344541	0.02191166364098977	0.005826123993445242	2.2153148537139563e-12	-0.0005351555344587862	0.0	0.0	0.0	0.001598721363678895	0.0	0.0	0.0	-0.000529592841412738	113.63019051332337	0.001420733997743924
10	20.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993310559820118	1.3445986293171975e-22	1.3109952441128433e-21	6.019227881425872e-23	1.0019999999999922	-3.231483633334359e-21	-1.4928955695357042e-23	1.598774687942492e-22	0.9993380079971264	-5.913408941335407e-12	-0.004943248440255999	0.027420636718135064	-0.004956450525065829	141.97162858383945	0.00729486414706742	0.027420827474421084	0.0072754840372654984	6.0000569998552855e-12	1599.565890624997	-5.905515133631779e-12	-0.004949834160875269	0.027384223420763215	-0.004949834160875427	142.16077252289412	0.007285176915505115	0.02738422342076304	0.007285176915505076	5.992089210412285e-12	-0.0006691678608689652	0.0	0.0	0.0	0.0019980026626653016	0.0	0.0	0.0	-0.0006622112163299558	142.1607812538926	0.0017757993429259016
12	24.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9991970528460178	1.271211165371493e-22	-3.0048493803846303e-21	8.120928381800605e-23	1.0024000000000075	-7.923516765531149e-21	1.3923104070492562e-23	3.958820237229786e-22	0.9992053980849896	-1.087512784860023e-11	-0.005932328457224717	0.03290705307316114	-0.00595134466077976	170.46804523992566	0.008759189363055834	0.032907327911062066	0.008731274236247059	1.267106863878098e-12	1599.565890624997	-1.0857717595815848e-11	-0.005941817010439898	0.03285464578091796	-0.005941817010439817	170.74070295441499	0.008745239605970552	0.03285464578091681	0.008745239605970657	1.2650888879918267e-12	-0.0008032696887120447	0.0	0.0	0.0	0.0023971245997289827	0.0	0.0	0.0	-0.000794917778446899	170.74071341951773	0.002130817678209302
14	28.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9990629781921602	-2.247681334878091e-22	4.828140738908715e-21	1.4076628792182403e-22	1.002799999999986	-5.36060682537645e-21	7.268601478625965e-23	3.866705404215881e-22	0.9990727175974179	-1.0079309883254118e-11	-0.006921537678716085	0.038394246438830305	-0.006947427875644424	198.9985210382159	0.01022533723096185	0.038394620726671345	0.010187330929085513	2.305581635331233e-12	1599.565890624997	-1.006049553701357e-11	-0.006934459595697511	0.03832295216113282	-0.006934459595697669	199.370034203013	0.010206349801862127	0.038322952161132365	0.010206349801861825	2.3013004007101226e-12	-0.000937461087205018	0.0	0.0	0.0	0.0027960873019867954	0.0	0.0	0.0	-0.0009277125948697851	199.37004639821657	0.0024857891337837735
16	32.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9989288291854607	-3.7919282768410873e-22	4.357931574064172e-21	2.438925492500351e-22	1.003199999999987	-3.876075706194882e-21	-7.676236084492096e-24	5.954641619197731e-22	0.9989399558277907	-4.9409116086723826e-11	-0.007916015614643043	0.043860006068071174	-0.007949862525326817	227.56012634532334	0.01171904854392887	0.043860494605979836	0.011669284125613973	-4.378333218202357e-11	1599.565890624997	-4.930377543034127e-11	-0.00793291335073378	0.04376698365803065	-0.007932913350734068	228.0458822036929	0.01169419368783865	0.04376698365803165	0.011694193687838394	-4.369047238913742e-11	-0.001071744928015313	0.0	0.0	0.0	0.0031948908965062296	0.0	0.0	0.0	-0.0010606064164034867	228.04589611695323	0.002840718324873066
18	36.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9987945796617466	-4.499862532288471e-22	-4.375560447278902e-21	2.7851502096905464e-22	1.003599999999991	-1.3358768369384384e-20	-4.8916152703935847e-23	5.039846036163087e-23	0.9988070072594832	5.472069893562581e-10	-0.008949667979714136	0.04905319050556848	-0.008992726800220853	256.12398665776914	0.01349941651593647	0.04905380085461454	0.013434946004415464	4.0917795042505477e-10	1599.565890624997	5.458953597593178e-10	-0.00897117165407858	0.0489362211849753	-0.008971171654077065	256.7393845494558	0.013467226610203546	0.048936221184974905	0.013467226610203038	4.082022490207276e-10	-0.001206147441718311	0.0	0.0	0.0	0.003593535510121147	0.0	0.0	0.0	-0.0011937049228316827	256.7394000701761	0.0031956492026000657
