6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
4	3.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0001425000000086	-1.01292401910181e-23	-1.7061096442273728e-22	1.1514354126738144e-24	1.0001574999999803	1.7590028813164635e-21	-4.0234064994579265e-24	1.04092408283673e-23	0.9998510483974116	15.542125423952694	0.00048294122855219895	-0.0042529054171901205	0.0004829484716384881	16.340978316826387	0.004711159528883547	-0.0042516660776965075	0.0047097160138495926	9.670439561756602e-12	1599.565890624997	15.54199292943412	0.0004829443545680281	-0.004251629832817806	0.0004829443545680425	16.34108408985603	0.004709746499229457	-0.004251629832817848	0.004709746499229468	9.667539083056031e-12	0.00014248984784803666	0.0	0.0	0.0	0.0001574875981581141	0.0	0.0	0.0	-0.0001489626969794211	15.956556067651244	0.00019948895919916476
8	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0002850000000223	-2.6712970701787473e-23	-7.78906352004433e-22	5.955700410381799e-26	1.0003149999999967	-7.99903504673479e-22	-9.396771758602394e-24	2.9527039145692874e-23	0.9997020521993245	31.090961339322593	0.0009660772348913865	-0.008507630394847305	0.0009661062089508447	32.68962449087447	0.009424539511360705	-0.00850267230347581	0.009418764579698412	1.1533877240441082e-11	1599.565890624997	31.09043409699122	0.0009660898256654988	-0.008502528114663883	0.0009660898256655417	32.69005053101176	0.009418887333379887	-0.008502528114664173	0.009418887333379958	1.1526960029590628e-11	0.0002849593952370148	0.0	0.0	0.0	0.00031495039791312176	0.0	0.0	0.0	-0.00029799219593976584	31.9203245632347	0.00039900727959278707
12	9.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0004274999999871	-1.4917540602903813e-22	1.5709020100219051e-21	1.80590071332577e-23	1.0004724999999934	-2.799417420895861e-21	3.930762270851987e-24	-5.770411953169921e-23	0.9995530113857699	46.64650871614234	0.0014494080475309261	-0.01276417521244465	0.0014494732430219745	49.045939706907085	0.014140140150753691	-0.012753017856321042	0.014127144593282178	-4.035107371500035e-12	1599.565890624997	46.64532858076315	0.0014494365720105506	-0.012752695210790456	0.0014494365720105235	49.04690493537413	0.01412742261674782	-0.012752695210790263	0.014127422616747544	-4.031478226763487e-12	0.0004274086478965705	0.0	0.0	0.0	0.00047238840701817705	0.0	0.0	0.0	-0.0004470885434201901	47.891310887424105	0.0005985549967749144
16	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0005699999999922	-2.197504558920624e-22	-3.9094540982726217e-22	9.800435897528273e-24	1.0006300000000157	8.092605717626789e-22	-2.649624938129858e-23	-9.251187970793062e-23	0.9994039259368632	62.20876852439835	0.0019329336950932939	-0.017022540149178693	0.001933049605046326	65.4099251495456	0.018857961650627968	-0.017002701914415597	0.01883485495018621	-4.430969428176335e-12	1599.565890624997	62.20668146471685	0.0019329847526149743	-0.01700213148593003	0.0019329847526149287	65.41165292152242	0.018835352463896077	-0.017002131485929647	0.0188353524638968	-4.42565705046359e-12	0.0005698376116968143	0.0	0.0	0.0	0.0006298016333253011	0.0	0.0	0.0	-0.0005962517859086135	63.86952044713884	0.0007981321463841303
20	15.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0007125000000112	1.052934745331e-22	-1.3647818362634913e-22	1.7800926782141155e-23	1.0007875000000215	1.7138123500914664e-21	-5.569241628197025e-23	-4.314574075076592e-23	0.9992547958326662	77.7777417341729	0.0024166542062547336	-0.021282725484149098	0.0024168353262722236	81.78158200356512	0.02357800421512846	-0.021251723655321308	0.023541894546174197	-5.460161306598821e-12	1599.565890624997	77.77449783885537	0.0024167345267295266	-0.02125083730447969	0.0024167345267295352	81.78430011502635	0.023542676989993783	-0.021250837304479565	0.023542676989993665	-5.4519802771107506e-12	0.0007122462923901774	0.0	0.0	0.0	0.0007871900845913902	0.0	0.0	0.0	-0.0007454819699810196	79.85495865587977	0.0009977387640473677
24	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0008549999999854	2.430422075803306e-23	1.4005160387257823e-22	4.395306902861768e-23	1.0009449999999778	-6.0322510129899065e-21	-2.0355260513704905e-23	1.2636672781850093e-22	0.999105621053194	93.35342931546543	0.002900569609605475	-0.025544731496280806	0.0029008304378622517	98.16091145381218	0.028300268048330853	-0.025500082255899302	0.02824826227654781	1.2272684465908234e-12	1599.565890624997	93.34878279904866	0.002900686053704547	-0.025498813030423527	0.002900686053704641	98.16485214837797	0.028249396310167613	-0.02549881303042253	0.02824939631016667	1.2250623445550141e-12	0.0008546346956940246	0.0	0.0	0.0	0.0009445537685814424	0.0	0.0	0.0	-0.0008947791422920896	95.84763093354206	0.001197374885436075
28	21.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0009975	-7.509476473001407e-23	-3.987884055232449e-21	1.1831991481958508e-23	1.0011024999999851	9.432717719301499e-21	1.164670302474663e-23	-6.178046559036053e-23	0.9989564015784524	108.9358322383659	0.003384679933709438	-0.02980855846454965	0.0033850349709528276	114.5479146850056	0.033024753354927786	-0.029747776892537183	0.03295395703682158	-1.0771292642541841e-11	1599.565890624997	108.92954144720018	0.003384839493049379	-0.029746059027549735	0.003384839493049429	114.55331466078371	0.03295551054017715	-0.029746059027549787	0.03295551054017676	-1.0748708533798378e-11	0.0009970028274672506	0.0	0.0	0.0	0.0011018926931898759	0.0	0.0	0.0	-0.0010441433495372646	111.84754270643923	0.0013970405463387733
32	24.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0011399999999857	-1.5536437137215988e-22	3.3603385204354197e-22	-6.776263578034403e-23	1.0012599999999987	1.4041371045752942e-20	-4.7645603283054395e-23	-3.298663933963466e-22	0.9988071373884962	124.52495147296088	0.0038689852072449154	-0.03407420666792515	0.003869448956795254	130.94259288197483	0.03775146033993968	-0.03399480674108979	0.03765897772244062	2.6089548958718733e-12	1599.565890624997	124.51677889117897	0.0038691950045739152	-0.03399257565940742	0.0038691950045738215	130.9496932984322	0.03766101979614069	-0.03399257565940724	0.03766101979614104	2.602704666137386e-12	0.0011393506934118689	0.0	0.0	0.0	0.0012592068661612243	0.0	0.0	0.0	-0.001193574638398545	127.85469940731085	0.0015967357824330471
36	27.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0012824999999872	4.680981999213081e-22	3.3076901288076445e-21	5.293955920339377e-25	1.0014174999999939	9.454634696811703e-21	-9.057958579700675e-23	-3.434189205524154e-22	0.9986578284632814	140.1207879893129	0.004353485458992929	-0.03834167638510354	0.004354072426743643	147.34494722951354	0.04248038920851842	-0.038241170976612636	0.04236332322857772	-6.624407562424995e-12	1599.565890624997	140.11050024481202	0.004353752748376943	-0.03823836328903033	0.004353752748376804	147.35399371434812	0.04236592419432744	-0.03823836328903061	0.042365924194327394	-6.6065578459017406e-12	0.0012816782993412311	0.0	0.0	0.0	0.0014164962952572162	0.0	0.0	0.0	-0.00134307305568835	143.86910647540242	0.0017964606295237902
