6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
4	3.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0000000000000064	-1.3383782311107989e-24	-7.287792068837195e-23	-4.4006008587821075e-25	1.000256500000016	5.701061130613475e-22	-3.9274535484017756e-24	-2.584773978105701e-23	0.9998726512123347	6.824367305479895	-0.0002508636997328701	0.0007004930890300646	-0.0002509280462718556	20.440437305556262	0.0027505956498293112	0.0007004038820844058	0.002749540107770322	1.0868566348559011e-11	1599.565890624997	6.823486266845006	-0.0002508956509898525	0.0007003134586279108	-0.0002508956509898541	20.44304070200572	0.0027498903029665378	0.0007003134586279124	0.0027498903029665994	1.0865779276174352e-11	6.4392935428258874e-15	0.0	0.0	0.0	0.0002564671095150204	0.0	0.0	0.0	-0.00012735689721109865	18.027342977836526	0.00022574126077232605
8	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0000000000000007	-6.930615480336798e-23	-8.562973701148943e-24	9.535738101511303e-24	1.0005129999999862	-2.286459561994577e-22	1.8297235149672974e-24	6.782881022934827e-23	0.9997452535240173	13.650487042369503	-0.0005017961361996118	0.001401185672810053	-0.0005020535576174997	40.89660706074147	0.005503338449282155	0.0014008287256976968	0.0054991154469816355	1.1300276762937766e-11	1599.565890624997	13.646964449161315	-0.000501923999569713	0.001400467233119481	-0.0005019239995697377	40.90702798196276	0.00550051668422322	0.0014004672331194715	0.0055005166842230216	1.1294482693316617e-11	6.661338147750937e-16	0.0	0.0	0.0	0.0005128684604703737	0.0	0.0	0.0	-0.00025477892937766987	36.07447737402731	0.0004514738520151412
12	9.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.000000000000007	-6.924494343803906e-23	1.2818255469917734e-21	-5.227781471335135e-24	1.0007695000000048	2.609999678066118e-21	9.757422505675514e-24	-2.6416840042493492e-23	0.9996178059473484	20.478311352513533	-0.0007531452932035054	0.0021025946262777646	-0.000753724838506583	61.368355450836425	0.008257932242297842	0.00210179102711649	0.008248428943635547	3.877825567599746e-12	1599.565890624997	20.47038906938943	-0.0007534332509110681	0.0021009779237654022	-0.0007534332509110274	61.39181903895413	0.008251582649448991	0.002100977923765443	0.00825158264944907	3.874843875237507e-12	7.105427357600977e-15	0.0	0.0	0.0	0.0007692040866737792	0.0	0.0	0.0	-0.00038226710741298323	54.14127881173264	0.0006771983098967602
16	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0000000000000198	5.373365259144468e-24	-1.928614611559237e-21	-4.708973791141876e-23	1.0010259999999966	4.604550510613182e-21	-3.106890380749172e-23	-4.936613895716469e-23	0.9994897965337453	27.282834646075848	-0.0013399775373169511	0.002823847448319345	-0.0013413523542585492	81.77179980826466	0.01094424755561821	0.002822406711564611	0.010927452196631956	-5.481024710039459e-09	1599.565890624997	27.26878377628102	-0.0013406615474855263	0.0028209531503870016	-0.0013406615474738741	81.81354136065183	0.010933030266564536	0.0028209531503886297	0.010933030266570413	-5.475406942516348e-09	1.976196983832759e-14	0.0	0.0	0.0	0.0010254740217350317	0.0	0.0	0.0	-0.0005103336643303448	72.15321709895815	0.0009031725154217196
20	15.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0000000000000155	-1.622597489584019e-23	6.765940363989741e-21	-3.589302113990098e-23	1.0012824999999972	-3.135080696024979e-22	-6.014595669995575e-23	3.000084820056325e-22	0.9993439104439156	33.2302926451544	-0.016391960793473465	-0.006137903608620431	-0.01641298345452586	99.25042083313694	0.01259334064078479	-0.006133876604633447	0.012568958422094632	0.00018026577107904557	1599.565890624997	33.20951780001299	-0.016402722448362935	-0.006130041829973412	-0.016402722419715923	99.31558074842091	0.012577210368487045	-0.006130041840433849	0.012577210198350253	0.00018003487635012425	1.5543122344752072e-14	0.0	0.0	0.0	0.0012816782993509887	0.0	0.0	0.0	-0.0006563048770222587	87.56832555526952	0.0011381480226438764
24	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0000000000000018	-4.785736151986797e-23	5.678293811433566e-21	-2.541098841762901e-23	1.0015390000000155	1.2409667951985941e-20	-1.5580112273558787e-22	-1.2028397246603099e-21	0.9991494372665569	36.943381017239766	-0.06102231398435828	-0.06378658932571629	-0.06111622710855878	108.61306343030283	0.03557045062401031	-0.06373233462947174	0.03548558296290058	0.0002591273744346654	1599.565890624997	36.91801360713701	-0.06107426147514148	-0.0636885726124646	-0.061074261258268245	108.70552429819007	0.03551579182039811	-0.06368857241213172	0.035515791371489844	0.00025872919021092635	1.7763568394002489e-15	0.0	0.0	0.0	0.0015378169531662226	0.0	0.0	0.0	-0.0008509246671707362	95.74250979815535	0.0013980176679357788
28	21.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0000000000000162	-2.8079142201480056e-21	-1.1893507249752852e-20	-2.5114526886090004e-22	1.0017955000000105	2.0732401933469884e-20	1.750181827264198e-22	3.380296734255099e-21	0.9989292556956272	39.589757554571776	-0.0893229663848337	-0.1650267864311676	-0.08948334621471657	113.54314612549939	0.07734493033038382	-0.16485008500798004	0.07712363816327807	0.0002380060369768942	1599.565890624997	39.561161434675356	-0.08941871096029734	-0.164731011899298	-0.08941871140371625	113.66485211851081	0.07720630640722757	-0.1647310119677038	0.07720630637609067	0.00023757946305097983	1.6209256159527153e-14	0.0	0.0	0.0	0.0017938900167475918	0.0	0.0	0.0	-0.0010713179605845754	99.94076952002487	0.001671671174351
32	24.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0000000000000162	1.198551620364835e-21	-6.162662323131547e-20	4.586683409382036e-22	1.002052000000004	2.843320197343235e-20	1.4638846910922446e-21	5.324872622914159e-21	0.9986996902068693	41.83679824841774	-0.10038066842483302	-0.2697864629683357	-0.10058665001604103	116.84815893484625	0.10196542918077105	-0.26943565729884217	0.1016243096622451	0.00019708547131583394	1599.565890624997	41.8054850216208	-0.10051136433619866	-0.2692339948109781	-0.10051136479545615	117.00029556496665	0.10175662458711622	-0.26923399512110846	0.10175662479798418	0.0001966818800978691	1.6209256159527153e-14	0.0	0.0	0.0	0.0020498975237002244	0.0	0.0	0.0	-0.0013011559294821861	102.69255685736259	0.001950763147338352
36	27.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0000000000000095	1.3306887601365058e-21	-5.8059873369546015e-21	-3.782002109490451e-22	1.0023084999999914	9.962801525605081e-21	1.367958209815695e-21	8.32379277266801e-21	0.9984651575010285	43.81912302576232	-0.10366905358833092	-0.3584059675935458	-0.10390837399653645	119.33374450706727	0.1022319666492082	-0.3578558717092104	0.10183995908493415	0.0001641268060831393	1599.565890624997	43.78540325983145	-0.10382841385050849	-0.35758049302539635	-0.10382841424820097	119.5171845612882	0.1019965077111569	-0.35758049385137586	0.10199650765963586	0.00016374879199681448	9.5479180117763e-15	0.0	0.0	0.0	0.002305839507577078	0.0	0.0	0.0	-0.001536021576340088	104.73218809574259	0.002232893225580165
