6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
4	3.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0000000000000064	3.8927946807358035e-23	5.193966327893967e-22	-1.01908651466533e-24	1.000256500000016	1.0599492369254497e-21	3.606507470731201e-24	-4.352955255499053e-23	0.9998726512123343	6.824367305494973	-0.00025086369973285915	0.000700493089022683	-0.0002509280462718366	20.44043730558432	0.0027505956498245724	0.000700403882077021	0.0027495401077655152	9.183290500865832e-12	1599.565890624997	6.823486266860084	-0.0002508956509898417	0.0007003134586205309	-0.00025089565098983523	20.44304070203379	0.0027498903029618007	0.0007003134586205287	0.0027498903029617933	9.180935590886445e-12	6.4392935428258874e-15	0.0	0.0	0.0	0.0002564671095152424	0.0	0.0	0.0	-0.00012735689721132072	18.02734297786148	0.00022574126077257772
8	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0000000000000007	5.321087444431117e-23	-7.814143636216938e-22	-2.177139372239569e-23	1.0005129999999862	-5.899584477626202e-22	1.7671886606582884e-23	3.533715576826534e-23	0.9997452535240172	13.650487042389278	-0.0005017961361859493	0.0014011856728029812	-0.0005020535576038505	40.896607060790934	0.005503338449298897	0.0014008287256906447	0.005499115446998522	6.425979959083505e-12	1599.565890624997	13.646964449181088	-0.0005019239995560471	0.0014004672331124131	-0.0005019239995560921	40.90702798201226	0.005500516684239954	0.0014004672331124216	0.005500516684239913	6.42268512161642e-12	6.661338147750937e-16	0.0	0.0	0.0	0.0005128684604712615	0.0	0.0	0.0	-0.0002547789293775588	36.07447737407402	0.00045147385201564486
12	9.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999999999999989	9.196924922609583e-23	5.1530043439603415e-22	-2.2486077771641505e-23	1.0007695000000323	1.530747354366131e-22	-1.8628107394694183e-23	-3.7878254610028245e-23	0.999617806916373	20.478359207477265	-0.0007527973176641326	0.002102077711747491	-0.0007533765952000391	61.368513295184506	0.008258228821581918	0.002101274312184811	0.008248725189609967	-8.466072239088352e-12	1599.565890624997	20.47043688599539	-0.0007530851415966413	0.002100461406694995	-0.0007530851415965729	61.39197688414049	0.008251879000690712	0.002100461406694968	0.008251879000691048	-8.459562605663465e-12	-1.099120794378911e-14	0.0	0.0	0.0	0.000769204086700626	0.0	0.0	0.0	-0.0003822661380182926	54.1414189244382	0.0006771978220243094
16	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.99999999999998	1.0456886431650354e-22	3.056068403913914e-21	-3.704445655257479e-23	1.00102599999999	4.307797811498558e-21	-1.5365707058785043e-23	1.6771252355635148e-22	0.9994903113707524	27.307983797372028	-0.0010038672525051625	0.0028031691665898273	-0.0010048972203062145	81.85616003802733	0.01101526719000295	0.002801740423139722	0.010998368507479457	-4.2138709847872045e-12	1599.565890624997	27.293905916485098	-0.0010043791731491898	0.0028002960628294485	-0.0010043791731491614	81.89790246767596	0.011003977109488944	0.0028002960628293557	0.011003977109488885	-4.209551984449483e-12	-1.9984014443253017e-14	0.0	0.0	0.0	0.001025474021728599	0.0	0.0	0.0	-0.000509818564649495	72.22818337662237	0.0009029132189024646
20	15.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9999999999999946	-2.233255304995166e-22	-1.687580798506185e-21	1.7734752333136914e-24	1.0012825000000058	3.016046097156148e-21	1.9322939109238726e-23	5.886878983417388e-23	0.9993627668684737	34.13936080889033	-0.0012550059489502478	0.0035044599981075763	-0.0012566154940797493	102.35955131894798	0.013774453978300296	0.003502226840088656	0.013748044572691907	-1.4320190103167541e-12	1599.565890624997	34.11737388036049	-0.0012558061902614652	0.0034999712849346468	-0.0012558061902614237	102.42481980762058	0.013756810868361618	0.00349997128493461	0.013756810868361445	-1.430184798312041e-12	-5.440092820663282e-15	0.0	0.0	0.0	0.0012816782993594156	0.0	0.0	0.0	-0.0006374362508528664	90.33478649081415	0.0011286200909659252
24	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9999999999999976	3.4979151999152393e-22	-1.4899838937795177e-21	-2.7581510344968156e-23	1.0015390000000046	1.1151718146194899e-21	5.805484411142169e-23	-2.6152142246476523e-23	0.9992351733908432	40.97249023871089	-0.0015062134153454023	0.0042059501672855855	-0.0015085314777915553	122.87869116730819	0.016535789609927378	0.004202733344680871	0.016497752556845425	-5.518351477162842e-12	1599.565890624997	40.94084311753295	-0.001507366289193127	0.004199487156551643	-0.0015073662891930525	122.97274399411623	0.016510380134899732	0.004199487156551646	0.016510380134899933	-5.509871784486693e-12	-2.4424906541753475e-15	0.0	0.0	0.0	0.0015378169531551375	0.0	0.0	0.0	-0.0007651192382445584	108.46124403916653	0.0013543184864068959
28	21.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0000000000000024	1.4564996225833712e-22	4.389748249145411e-22	-1.4674845811180752e-22	1.0017955000000311	-1.1301007703148469e-21	6.315027668474834e-23	1.5765400730770666e-22	0.9991075309191271	47.80737208356249	-0.001757489660124319	0.004907639635127472	-0.0017606452328090153	143.41358361256545	0.01929927450886649	0.004903259718493115	0.01924749163185885	-1.5490307439525174e-12	1599.565890624997	47.764315968299194	-0.0017590595663987394	0.004898843761154156	-0.0017590595663986323	143.5416901328249	0.019264684767366036	0.004898843761154228	0.019264684767366442	-1.5462544440947464e-12	2.4424906541753412e-15	0.0	0.0	0.0	0.0017938900167679833	0.0	0.0	0.0	-0.0008928675685128788	126.60757180612428	0.0015800084535091564
32	24.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9999999999999974	4.479745499791181e-22	-2.794679330347157e-22	-2.31239994600424e-22	1.0020519999999773	1.6423968847260884e-21	8.37106779903664e-23	2.378044999416448e-22	0.9989798394346195	54.64400634025897	-0.0020088346916449814	0.005609528362502693	-0.0020129568204321165	163.96423268425656	0.022064909099245467	0.005603805742876967	0.021997260969594097	1.1447064577480014e-11	1599.565890624997	54.58779477338768	-0.002010886118364413	0.005598041181997376	-0.002010886118364333	164.1316733449334	0.022019724624316925	0.0055980411819974455	0.022019724624316422	1.1423623302469343e-11	-2.5535129566378632e-15	0.0	0.0	0.0	0.002049897523673412	0.0	0.0	0.0	-0.0010206812833441136	144.77378558845172	0.0018056900404518675
36	27.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0000000000000027	2.180448094689781e-22	-2.8313135053159056e-21	-1.4092510659943421e-22	1.0023085000000045	-4.056070207486421e-21	8.330039640654009e-23	-2.703093892925286e-22	0.9988520988203343	61.48238792407066	-0.002260324468485623	0.006311918369052957	-0.002265542427520886	184.53062639692988	0.024832666837834933	0.006304672910511211	0.024747032864909282	-6.39069099375722e-12	1599.565890624997	61.411276804233125	-0.002262922079410063	0.006297380865325309	-0.0022629220794098234	184.74269275187388	0.02477547265920099	0.006297380865325368	0.02477547265920149	-6.375972062257624e-12	2.664535259100372e-15	0.0	0.0	0.0	0.002305839507590813	0.0	0.0	0.0	-0.0011485605228469904	162.95988702009421	0.002031363345128462
