6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	1599.565890624997	2.7716487604837245e-12	-1.1931922846408178e-15	-2.8066754232013122e-14	-1.1931922846409345e-15	2.7018729684354e-12	-1.6832583398957215e-14	-2.806675423201312e-14	-1.6832583398957266e-14	2.699121388890668e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.102600058540028e-14	0.0
4	3.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.999890499999996	-4.531460831687996e-23	4.814852909548664e-22	-1.2870930331325111e-23	1.0002964000000174	1.111135173230231e-22	-6.5512704514199795e-25	4.063111168860472e-24	0.9999072045657043	-0.8340781616522548	-0.0007791601154356956	0.004406589446711301	-0.000779476411160952	20.70781765642131	0.000856113415142359	0.004406663064935476	0.0008557803184398067	-5.5354154723449846e-12	1599.565890624997	-0.8339083970315146	-0.0007793177599416747	0.004405766152010096	-0.0007793177599416773	20.712007390494808	0.0008559534652203523	0.004405766152010114	0.000855953465220365	-5.5343812761071764e-12	-0.00010950599556666192	0.0	0.0	0.0	0.00029635608221534316	0.0	0.0	0.0	-9.27997400584301e-05	21.141301579923535	0.0002651814385846496
8	6.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9997809999999958	-4.36321229509471e-23	2.9479393542409823e-22	-4.0895809484621686e-23	1.0005927999999968	-2.0383715526776727e-21	-2.4630129919378952e-23	-3.0572595439959904e-23	0.9998143509175671	-1.664680466230372	-0.0015581898513511285	0.008812081279535188	-0.0015594550669547171	41.43523447781088	0.0017139498658062344	0.00881237523490771	0.001712616433564458	-9.16040303160226e-12	1599.565890624997	-1.6640031489496139	-0.0015588205632845456	0.008808789697531582	-0.0015588205632845887	41.45200630880852	0.0017133096530852654	0.008808789697531492	0.0017133096530852234	-9.156981340766039e-12	-0.00021902398400591716	0.0	0.0	0.0	0.0005926243634851858	0.0	0.0	0.0	-0.00018566631735671734	42.30856002529628	0.000530329490410269
12	9.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9996714999999904	2.0232837783047056e-22	-1.6796398646256758e-21	-2.9540274035493727e-23	1.000889199999996	-7.898846930942368e-22	-2.5278639519620525e-23	-4.0075246316969085e-23	0.9997214353706118	-2.4915829322317533	-0.002336698358250926	0.013207682789937973	-0.00233954469086206	62.18124749635484	0.002585693337223417	0.013208342537199961	0.002582676538539132	2.9209810605002054e-11	1599.565890624997	-2.49006302845932	-0.002338117532746848	0.013200285245833176	-0.0023381175327468642	62.21901276471303	0.0025842451058562797	0.013200285245833023	0.0025842451058562485	2.9193450364853515e-11	-0.0003285539679539193	0.0	0.0	0.0	0.0008888048958764159	0.0	0.0	0.0	-0.000278603435721722	63.50067547538428	0.0007954453499911317
16	12.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9995619999999976	-2.099053522414563e-23	-3.313222312744399e-22	-1.6199505116238494e-23	1.0011856000000052	-3.356368053495165e-23	2.734328232855288e-23	1.8052389688357277e-23	0.9996271714186341	-3.2471324990553407	-0.0029324904898917533	0.014067562532391154	-0.0029372537668460046	82.60214657970822	0.007503962886547759	0.014068479736486844	0.007492282344714952	-6.679398499117757e-07	1599.565890624997	-3.2444968988586624	-0.0029348696868554004	0.014057060773487302	-0.002934869685935279	82.66916360056834	0.007498361005704755	0.014057060772840847	0.007498361005657512	-6.674412174550231e-07	-0.00043809595002081023	0.0	0.0	0.0	0.0011848977313433425	0.0	0.0	0.0	-0.00037289809922102114	84.33823602499831	0.0010609311527794388
20	15.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9994525000000132	-3.9810548520952114e-22	4.4230472318843465e-21	3.0704944337968385e-23	1.001482000000005	4.5940949476705115e-21	4.8069119756681546e-23	-3.796825186067401e-22	0.999508781737106	-3.20599781480043	0.002055209168647525	-0.06122542334475305	0.0020593827674197877	97.0763926380415	0.07316649788772354	-0.061228871063316294	0.07302233739325086	0.00027782756665674634	1599.565890624997	-3.2028268440675896	0.002057345617807156	-0.0611683111896071	0.0020573458844084964	97.17730634582145	0.07309824688755781	-0.061168311147383005	0.07309824621739296	0.0002775684042006311	-0.0005476499328398041	0.0	0.0	0.0	0.001480902921784607	0.0	0.0	0.0	-0.0004913389501090278	98.81766156410428	0.0013339944704226108
24	18.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9993429999999961	-9.232659125071874e-23	4.785736151986797e-21	-1.5585406229479126e-22	1.001778399999985	-1.5650627766417708e-20	-3.1996669582531193e-22	2.202709179334808e-21	0.9993546525747482	-2.8420568296315385	0.017576887169757777	-0.21196117046448848	0.017619723362123	103.56534314515726	0.21160100074804494	-0.2119636428517215	0.21108904201494938	0.00027749068087379823	1599.565890624997	-2.838843528762589	0.017599800762769312	-0.2117239905616504	0.01759980206012796	103.7003530647186	0.2113642238672234	-0.21172399143072954	0.21136422204831995	0.00027718017488544247	-0.0006572159190816428	0.0	0.0	0.0	0.0017768205190605412	0.0	0.0	0.0	-0.0006455557515345892	105.14966862872463	0.0016188182341211124
28	21.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9992335000000026	4.760325163569168e-22	4.993979202069267e-20	-8.614325073576234e-22	1.0020748000000206	-6.002922497191226e-21	-4.481863082159316e-22	3.645629804982509e-21	0.9991861787328766	-2.7044323210120087	0.04072298592833355	-0.3370091064085096	0.04083878169593451	107.19133998555547	0.3636347368235277	-0.3369931469848508	0.3625865074176416	0.00021042053108302395	1599.565890624997	-2.7010309391757543	0.04078741770902357	-0.33656930804047375	0.04078741849886129	107.36093778769045	0.36316019189054216	-0.33656930854741207	0.363160190653154	0.00021014593136327815	-0.0007667939113207312	0.0	0.0	0.0	0.002072650575071651	0.0	0.0	0.0	-0.0008141525994267177	108.73992015406584	0.0019089450492607502
32	24.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9991239999999946	2.767256638679799e-21	1.073010749669907e-20	4.0572878173480985e-22	1.0023712000000102	1.1841520602615119e-20	-4.76879549304171e-22	4.0911691352382705e-22	0.9990122130937676	-2.670448595919966	0.07039812059898883	-0.4342933630228509	0.07062691831072253	109.72065951451495	0.49463702115089797	-0.43424477262331873	0.4929794713931931	0.00012194103389008252	1599.565890624997	-2.6667656036717102	0.07052951154983864	-0.4336458764650838	0.07052951205731102	109.92544199533712	0.4938995684301381	-0.4336458769419486	0.4938995675682707	0.0001217592324005675	-0.0008763839122265445	0.0	0.0	0.0	0.002368393141496486	0.0	0.0	0.0	-0.0009882750892256308	111.28862315817601	0.002201429806840035
36	27.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9990144999999928	4.118274189550408e-21	1.3762803085224684e-20	2.7308342219478645e-21	1.0026676000000128	-8.959533351229724e-20	-3.438318491142018e-21	-2.3530575274724464e-21	0.9988355128663355	-2.639345963701068	0.09844923868959403	-0.5104366254459152	0.098809238816042	111.6388738796533	0.5939875758579206	-0.5103451741591357	0.5917174185105247	8.609190284978448e-05	1599.565890624997	-2.6353928573364773	0.0986612458749672	-0.5095807992305794	0.09866124630720989	111.87928450897347	0.5929916635082555	-0.5095807996573264	0.5929916624366787	8.59475564143722e-05	-0.0009859859244107617	0.0	0.0	0.0	0.0026640482701267925	0.0	0.0	0.0	-0.0011651656756272127	113.22817323011103	0.0024952280878551792
